OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,UpdateDTS
856,001,37001021101,686,2718,30.6523681858803,Alamance,2169,2238,202105041931
879,001,37001020602,1047,2638,46.7619472979008,Alamance,2194,2239,202105041931
880,001,37001021701,1672,3432,55.5851063829787,Alamance,2932,3008,202105041931
881,001,37001021207,880,3476,33.6648814078041,Alamance,2556,2614,202105041931
896,001,37001020400,1247,6746,25.6848609680742,Alamance,4627,4855,202105041931
897,001,37001021300,1585,6018,31.6304130911994,Alamance,4857,5011,202105041931
935,001,37001020300,1690,7400,29.7902344438569,Alamance,5398,5673,202105041931
938,001,37001020901,975,3406,37.8200155159038,Alamance,2526,2578,202105041931
939,001,37001020502,766,4012,25.713326619671,Alamance,2807,2979,202105041931
940,001,37001020701,1650,4973,38.515406162465,Alamance,4152,4284,202105041931
958,001,37001021500,1082,4760,28.8379530916844,Alamance,3593,3752,202105041931
959,001,37001020501,1095,3819,36.5487316421896,Alamance,2931,2996,202105041931
961,001,37001021102,812,3369,30.3098170959313,Alamance,2634,2679,202105041931
973,001,37001021400,710,2748,30.8026030368764,Alamance,2281,2305,202105041931
974,001,37001021000,727,3999,25.3486750348675,Alamance,2769,2868,202105041931
1062,001,37001021204,1229,4976,31.7817429531937,Alamance,3777,3867,202105041931
1063,001,37001021201,1004,5565,22.745808790213,Alamance,4266,4414,202105041931
1064,001,37001020200,784,4093,25.64605822702,Alamance,2902,3057,202105041931
1068,001,37001021703,2139,6408,40.4500756429652,Alamance,5253,5288,202105041931
1069,001,37001020601,1521,3113,57.5264750378215,Alamance,2567,2644,202105041931
1070,001,37001021702,1918,6911,31.3398692810458,Alamance,5968,6120,202105041931
1076,001,37001020902,1232,3459,43.5028248587571,Alamance,2740,2832,202105041931
1077,001,37001021901,1033,4819,25.8120939530235,Alamance,3797,4002,202105041931
1078,001,37001021803,528,3246,19.6501674730182,Alamance,2609,2687,202105041931
1079,001,37001021205,1692,6830,31.3856427378965,Alamance,5185,5391,202105041931
1080,001,37001021902,1026,4139,29.9474605954466,Alamance,3290,3426,202105041931
1164,001,37001021600,1992,7553,30.4261493813961,Alamance,6434,6547,202105041931
1165,001,37001020100,1258,4058,38.9835760768516,Alamance,3170,3227,202105041931
1167,001,37001020802,1048,5915,23.1193470108096,Alamance,4412,4533,202105041931
1172,001,37001020702,1000,4941,25.4582484725051,Alamance,3886,3928,202105041931
1173,001,37001022001,895,4044,27.3449434769325,Alamance,3121,3273,202105041931
1174,001,37001022002,1036,4449,28.9304663501815,Alamance,3476,3581,202105041931
1175,001,37001021206,1210,5029,32.5356278569508,Alamance,3507,3719,202105041931
1218,001,37001021801,1025,4858,25.4090233019336,Alamance,3847,4034,202105041931
1257,001,37001021802,698,3743,23.6129905277402,Alamance,2860,2956,202105041931
1291,001,37001020801,375,1661,28.3875851627555,Alamance,1293,1321,202105041931
1946,003,37003040500,1094,7016,19.0360187924134,Alexander,5511,5747,202105041931
1950,003,37003040100,587,3167,22.2939612609191,Alexander,2577,2633,202105041931
2003,003,37003040400,1446,6761,26.9023255813953,Alexander,5164,5375,202105041931
2004,003,37003040700,1796,6823,32.0142602495544,Alexander,5463,5610,202105041931
2005,003,37003040600,1477,6372,26.9132653061224,Alexander,5340,5488,202105041931
2134,003,37003040200,834,3910,25.9570494864613,Alexander,3133,3213,202105041931
2182,003,37003040300,690,3164,26.9005847953216,Alexander,2457,2565,202105041931
1414,005,37005950300,719,3180,25.5962976148095,Alleghany,2742,2809,202105041931
1515,005,37005950200,834,3711,28.4544524053224,Alleghany,2838,2931,202105041931
1757,005,37005950100,884,4117,24.5011086474501,Alleghany,3510,3608,202105041931
898,007,37007920300,1408,7496,21.7855485068853,Anson,6318,6463,202105041931
949,007,37007920500,1389,5566,29.6985246953175,Anson,4600,4677,202105041931
1179,007,37007920400,455,3175,19.3370165745856,Anson,2281,2353,202105041931
1219,007,37007920100,632,3031,24.930966469428,Anson,2304,2535,202105041931
1220,007,37007920200,286,1881,18.89035667107,Anson,1501,1514,202105041931
1289,007,37007920600,708,3753,22.1874020683171,Anson,3067,3191,202105041931
1430,009,37009970300,456,2573,21.1994421199442,Ashe,2113,2151,202105041931
1617,009,37009970700,1688,5230,36.3558044367866,Ashe,4562,4643,202105041931
1684,009,37009970800,1180,5234,27.5829827021973,Ashe,4096,4278,202105041931
1721,009,37009970400,1182,5029,29.2068198665678,Ashe,3930,4047,202105041931
1773,009,37009970500,1519,5839,30.2048120898787,Ashe,4839,5029,202105041931
