OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,GeoName,FIPS,SVI,UpdateDTS
856,001,37001021101,749,2718,33.467381590706,Alamance,2169,2238,"Census Tract 211.01, Alamance County, North Carolina",37001021101,0.6747,202105071931
879,001,37001020602,1128,2638,50.3796337650737,Alamance,2194,2239,"Census Tract 206.02, Alamance County, North Carolina",37001020602,0.3457,202105071931
880,001,37001021701,1761,3432,58.5438829787234,Alamance,2932,3008,"Census Tract 217.01, Alamance County, North Carolina",37001021701,0.218,202105071931
881,001,37001021207,968,3476,37.0313695485846,Alamance,2556,2614,"Census Tract 212.07, Alamance County, North Carolina",37001021207,0.5576,202105071931
896,001,37001020400,1429,6746,29.4335736354274,Alamance,4627,4855,"Census Tract 204, Alamance County, North Carolina",37001020400,0.9607,202105071931
897,001,37001021300,1736,6018,34.643783675913,Alamance,4857,5011,"Census Tract 213, Alamance County, North Carolina",37001021300,0.4489,202105071931
935,001,37001020300,1958,7400,34.5143662964922,Alamance,5398,5673,"Census Tract 203, Alamance County, North Carolina",37001020300,0.9773,202105071931
938,001,37001020901,1094,3406,42.4359968968192,Alamance,2526,2578,"Census Tract 209.01, Alamance County, North Carolina",37001020901,0.6719,202105071931
939,001,37001020502,867,4012,29.103726082578,Alamance,2807,2979,"Census Tract 205.02, Alamance County, North Carolina",37001020502,0.9579,202105071931
940,001,37001020701,1811,4973,42.2735760971055,Alamance,4152,4284,"Census Tract 207.01, Alamance County, North Carolina",37001020701,0.4993,202105071931
958,001,37001021500,1180,4760,31.4498933901919,Alamance,3593,3752,"Census Tract 215, Alamance County, North Carolina",37001021500,0.4109,202105071931
959,001,37001020501,1182,3819,39.4526034712951,Alamance,2931,2996,"Census Tract 205.01, Alamance County, North Carolina",37001020501,0.6127,202105071931
961,001,37001021102,895,3369,33.4079880552445,Alamance,2634,2679,"Census Tract 211.02, Alamance County, North Carolina",37001021102,0.77,202105071931
973,001,37001021400,784,2748,34.0130151843818,Alamance,2281,2305,"Census Tract 214, Alamance County, North Carolina",37001021400,0.4618,202105071931
974,001,37001021000,821,3999,28.626220362622,Alamance,2769,2868,"Census Tract 210, Alamance County, North Carolina",37001021000,0.9783,202105071931
1062,001,37001021204,1343,4976,34.729764675459,Alamance,3777,3867,"Census Tract 212.04, Alamance County, North Carolina",37001021204,0.3406,202105071931
1063,001,37001021201,1116,5565,25.2831898504758,Alamance,4266,4414,"Census Tract 212.01, Alamance County, North Carolina",37001021201,0.82,202105071931
1064,001,37001020200,913,4093,29.8658815832516,Alamance,2902,3057,"Census Tract 202, Alamance County, North Carolina",37001020200,0.9324,202105071931
1068,001,37001021703,2332,6408,44.0998487140696,Alamance,5253,5288,"Census Tract 217.03, Alamance County, North Carolina",37001021703,0.3466,202105071931
1069,001,37001020601,1638,3113,61.9515885022693,Alamance,2567,2644,"Census Tract 206.01, Alamance County, North Carolina",37001020601,0.0227,202105071931
1070,001,37001021702,2070,6911,33.8235294117647,Alamance,5968,6120,"Census Tract 217.02, Alamance County, North Carolina",37001021702,0.2517,202105071931
1076,001,37001020902,1348,3459,47.5988700564972,Alamance,2740,2832,"Census Tract 209.02, Alamance County, North Carolina",37001020902,0.5035,202105071931
1077,001,37001021901,1124,4819,28.0859570214893,Alamance,3797,4002,"Census Tract 219.01, Alamance County, North Carolina",37001021901,0.1596,202105071931
1078,001,37001021803,593,3246,22.0692221808709,Alamance,2609,2687,"Census Tract 218.03, Alamance County, North Carolina",37001021803,0.2073,202105071931
1079,001,37001021205,1898,6830,35.2068261918011,Alamance,5185,5391,"Census Tract 212.05, Alamance County, North Carolina",37001021205,0.4382,202105071931
1080,001,37001021902,1137,4139,33.1873905429072,Alamance,3290,3426,"Census Tract 219.02, Alamance County, North Carolina",37001021902,0.1624,202105071931
1164,001,37001021600,2169,7553,33.129677714984,Alamance,6434,6547,"Census Tract 216, Alamance County, North Carolina",37001021600,0.4887,202105071931
1165,001,37001020100,1357,4058,42.0514409668423,Alamance,3170,3227,"Census Tract 201, Alamance County, North Carolina",37001020100,0.7038,202105071931
1167,001,37001020802,1190,5915,26.2519302889918,Alamance,4412,4533,"Census Tract 208.02, Alamance County, North Carolina",37001020802,0.9329,202105071931
1172,001,37001020702,1122,4941,28.5641547861507,Alamance,3886,3928,"Census Tract 207.02, Alamance County, North Carolina",37001020702,0.6964,202105071931
1173,001,37001022001,987,4044,30.1558203483043,Alamance,3121,3273,"Census Tract 220.01, Alamance County, North Carolina",37001022001,0.3966,202105071931
1174,001,37001022002,1176,4449,32.8399888299358,Alamance,3476,3581,"Census Tract 220.02, Alamance County, North Carolina",37001022002,0.5414,202105071931
1175,001,37001021206,1343,5029,36.1118580263512,Alamance,3507,3719,"Census Tract 212.06, Alamance County, North Carolina",37001021206,0.5609,202105071931
1218,001,37001021801,1125,4858,27.8879524045612,Alamance,3847,4034,"Census Tract 218.01, Alamance County, North Carolina",37001021801,0.155,202105071931
1257,001,37001021802,763,3743,25.8119079837618,Alamance,2860,2956,"Census Tract 218.02, Alamance County, North Carolina",37001021802,0.2041,202105071931
1291,001,37001020801,410,1661,31.0370931112793,Alamance,1293,1321,"Census Tract 208.01, Alamance County, North Carolina",37001020801,0.4845,202105071931
1946,003,37003040500,1198,7016,20.8456586044893,Alexander,5511,5747,"Census Tract 405, Alexander County, North Carolina",37003040500,0.6701,202105071931
1950,003,37003040100,628,3167,23.8511203949867,Alexander,2577,2633,"Census Tract 401, Alexander County, North Carolina",37003040100,0.3142,202105071931
2003,003,37003040400,1529,6761,28.446511627907,Alexander,5164,5375,"Census Tract 404, Alexander County, North Carolina",37003040400,0.8973,202105071931
2004,003,37003040700,1911,6823,34.0641711229947,Alexander,5463,5610,"Census Tract 407, Alexander County, North Carolina",37003040700,0.2827,202105071931
2005,003,37003040600,1559,6372,28.4074344023324,Alexander,5340,5488,"Census Tract 406, Alexander County, North Carolina",37003040600,0.4419,202105071931
2134,003,37003040200,892,3910,27.7622159975101,Alexander,3133,3213,"Census Tract 402, Alexander County, North Carolina",37003040200,0.2638,202105071931
2182,003,37003040300,745,3164,29.0448343079922,Alexander,2457,2565,"Census Tract 403, Alexander County, North Carolina",37003040300,0.5882,202105071931
1414,005,37005950300,760,3180,27.0558917764329,Alleghany,2742,2809,"Census Tract 9503, Alleghany County, North Carolina",37005950300,0.4563,202105071931
1515,005,37005950200,891,3711,30.3991811668373,Alleghany,2838,2931,"Census Tract 9502, Alleghany County, North Carolina",37005950200,0.8709,202105071931
1757,005,37005950100,953,4117,26.4135254988914,Alleghany,3510,3608,"Census Tract 9501, Alleghany County, North Carolina",37005950100,0.572,202105071931
898,007,37007920300,1539,7496,23.8124709887049,Anson,6318,6463,"Census Tract 9203, Anson County, North Carolina",37007920300,0.7066,202105071931
949,007,37007920500,1488,5566,31.8152661962797,Anson,4600,4677,"Census Tract 9205, Anson County, North Carolina",37007920500,0.8001,202105071931
1179,007,37007920400,494,3175,20.9944751381215,Anson,2281,2353,"Census Tract 9204, Anson County, North Carolina",37007920400,0.8325,202105071931
1219,007,37007920100,676,3031,26.6666666666667,Anson,2304,2535,"Census Tract 9201, Anson County, North Carolina",37007920100,0.5382,202105071931
1220,007,37007920200,320,1881,21.1360634081902,Anson,1501,1514,"Census Tract 9202, Anson County, North Carolina",37007920200,0.702,202105071931
1289,007,37007920600,767,3753,24.0363522406769,Anson,3067,3191,"Census Tract 9206, Anson County, North Carolina",37007920600,0.7455,202105071931
1430,009,37009970300,476,2573,22.1292422129242,Ashe,2113,2151,"Census Tract 9703, Ashe County, North Carolina",37009970300,0.4503,202105071931
1617,009,37009970700,1781,5230,38.3588197286237,Ashe,4562,4643,"Census Tract 9707, Ashe County, North Carolina",37009970700,0.0925,202105071931
