OBJECTID,loc_vfc_pin,OrganizationName,LocationName,VaccineAdministrationStreetAddr,VaccineAdministrationCity,VaccineAdministrationCounty,VaccineAdministrationState,VaccineAdministrationZipCode,StatusforLocation,ProviderType,Id,X,Y,UpdateDTS
84,01C011,"Glen Raven, Inc.",Glen Raven Corporate Wellness Clinic,1914 W Webb Ave,Burlington,Alamance,North Carolina,27215,Approved,Other,,-79.4655958309488,36.1087606713688,202105041931
164,01C001,"Piedmont Health Services, Inc",Piedmont Health SeniorCare Burlington,1214 Vaughn Rd.,Burlington,Alamance,North Carolina,27217,Approved,Health center : community (non-Federally Qualified Health Center/non-Rural Health Clinic),,-79.4174409281418,36.100718739815,202105041931
208,010006,"Piedmont Health Services, Inc",Charles Drew Community Health Center,221 N Graham Hopedale Rd,Burlington,Alamance,North Carolina,27217,Approved,Public health provider : Federally Qualified Health Center,,-79.4054366973922,36.0987042593953,202105041931
279,010030,"Piedmont Health Services, Inc",Burlington Community Health center,1214 Vaughn Rd,Burlington,Alamance,North Carolina,27217,Approved,Public health provider : Federally Qualified Health Center,,-79.4174409281418,36.100718739815,202105041931
383,010001,Alamance County Health Department,Alamance County Health Department,319 N Graham Hopedale Rd Suite B,Burlington,Alamance,North Carolina,27217,Approved,Public health provider : public health clinic,,-79.4056376486087,36.1005585134316,202105041931
384,01C002,The Moses H. Cone Memorial Hospital Operating Corp,"Alamance Regional Medical Center, Inc.",1240 Huffman Mill Rd,Burlington,Alamance,North Carolina,27215,Approved,Hospital,,-79.7863854847803,36.091130350885,202105041931
399,010022,"Piedmont Health Services, Inc",Scott Communicaty Health Center,5270 Union Ridge Rd,Burlington,Alamance,North Carolina,27217,Approved,Public health provider : Federally Qualified Health Center,,-79.3997048468775,36.2133710759065,202105041931
416,010029,"Piedmont Health Services, Inc",Sylvan Community Health Center,7718 Sylvan Rd,Snow Camp,Alamance,North Carolina,27349,Approved,Public health provider : Federally Qualified Health Center,,-79.436546928961,35.8799779670569,202105041931
634,01C004,THREE GUYS PHARMACY DBA TOTAL CARE PHARMACY,TOTAL CARE PHARMACY,2479 S CHURCH ST,BURLINGTON,Alamance,North Carolina,27215,Approved,Pharmacy : independent,,-79.4794969871553,36.0814595369566,202105041931
798,NS0345,The Kroger Co.,HARRIS TEETER PHARMACY 09700345,2727 S Church St,Burlington,Alamance,North Carolina,27215,Approved,Pharmacy : chain,,-79.48364693128,36.0820729614213,202105041931
819,01C003,Fresenius Kidney Care of Garber Olin,Burlington Kidney Center,3325 Garden Road,Burlington,Alamance,North Carolina,27215,Approved,Other,,-79.5044049488659,36.0723993980182,202105041931
903,01C005,DaVita,Alamance County Dialysis,829 S Main Street,Graham,Alamance,North Carolina,27253,Approved,Other,,-79.4002657036679,36.0570143786076,202105041931
1008,01C008,Carolina Dialysis Lee County,Carolina Dialysis Mebane,1410 South Third Street,Mebane,Alamance,North Carolina,27302,Approved,Other,,-79.3002321697106,36.0750986007948,202105041931
1055,01C006,South Court Drug Company,South Court Drug,210 east elm street suite a,graham,Alamance,North Carolina,27253,Approved,Pharmacy : independent,,-79.3976598023463,36.0699078278864,202105041931
1252,01C009,Warren's Drug Store,Warren's Drug Store,943 S Fifth St,Mebane,Alamance,North Carolina,27302,Approved,Pharmacy : independent,,-79.2781243464584,36.0747258228013,202105041931
1396,010019,Burlington Pediatrics P.A.,Burlington Pediatrics West,3804 S Church St,Burlington,Alamance,North Carolina,27215,Approved,Medical practice : pediatrics,,-79.523392082082,36.0800310772105,202105041931
1397,010020,Burlington Pediatrics P.A.,Mebane Pediatrics,3940 Arrowhead Blvd,Mebane,Alamance,North Carolina,27302,Approved,Medical practice : pediatrics,,-79.271080417594,36.0749251196601,202105041931
1452,010005,Burlington Pediatrics P.A.,Burlington Pediatrics Webb,530 West Webb Ave,Burlington,Alamance,North Carolina,27217,Approved,Medical practice : pediatrics,,-79.4506843472095,36.1029201840747,202105041931
1472,01C010,"Labcorp Employer Services,  Inc.","Labcorp Employer Services, Inc.",358 South Main Street,Burlington,Alamance,North Carolina,27215,Approved,Commercial vaccination service provider,,-79.4373905211819,36.0931707799681,202105041931
1581,010011,Elon University,Elon University,100 Campus Drive,Elon,Alamance,North Carolina,27244,Approved,Other,,-79.5042450297052,36.104970745507,202105041931
1631,010004,Cone Health Medical Group,Burlington Family Practice,1041 Kirkpatrick Road Suite 200,Burlington,Alamance,North Carolina,27215,Approved,Medical practice : family medicine,,-79.4974838134271,36.0609876388547,202105041931
1744,01C015,Haw River Pharmacy LLC,Haw River Pharmacy,740 E. Main St,Haw River,Alamance,North Carolina,27258,Approved,Pharmacy : independent,,-79.3576612651591,36.0944479823598,202105041931
