OBJECTID,loc_vfc_pin,OrganizationName,LocationName,VaccineAdministrationStreetAddr,VaccineAdministrationCity,VaccineAdministrationCounty,VaccineAdministrationState,VaccineAdministrationZipCode,StatusforLocation,COVID_19VaccinationProviderType,POINT_X,POINT_Y,V1,V2,UpdateDTS
1054,60C084,"Eastway Medical Clinic and Urgent Care, PLLC",1220 Eastway Drive,1220 Eastway Drive,Charlotte,Mecklenburg,North Carolina,28205,Approved,Medical practice : internal medicine,1469144.00307488,546811.969560891,-80.7779812382693,35.2394048050096,202106031931
1055,60C045,"VaxClinic, LLC",4400 Park Rd Ste 316,4400 Park Rd Ste 316,Charlotte,Mecklenburg,North Carolina,28209,Approved,Pharmacy : independent,1446734.00918105,522620.001868814,-80.8515102915992,35.1718185795434,202106031931
1056,60C097,"Family First Medical Center, PLLC","4913 Albemarle Road, Suite 102 Charlotte, NC 28205",4913 Albemarle Road,Charlotte,Mecklenburg,North Carolina,28205,Approved,Medical practice : family medicine,1472892.02215363,532648.017245814,-80.7645875897886,35.2006768489106,202106031931
1057,60C092,"Amity Medical Group, Inc",AMG1 Main Location,6010 E. WT Harris Blvd,Charlotte,Mecklenburg,North Carolina,28215,Approved,Medical practice : family medicine,1482280.01223588,544787.972624645,-80.7338758391639,35.2344828096579,202106031931
1058,60C059,"Amity Medical Group, Inc",AMG2 South Location,10508 Park Rd,Charlotte,Mecklenburg,North Carolina,28210,Approved,Medical practice : family medicine,1440452.01583955,494395.002544641,-80.8707482923978,35.0939546152406,202106031931
1059,60C082,"Atlantic Oral Implant and Facial Surgery, PA","Atlantic Oral Implant and Facial Surgery, PA",9335 Blakeney Centre Dr.,Charlotte,Mecklenburg,North Carolina,28277,Approved,Medical practice : other specialty,1458839.02959038,470887.03151606,-80.8078572760547,35.030308203876,202106031931
1060,60C138,The Charlotte-Mecklenburg Hospital Authority,Atrium Health Urgent Care Ballantyne,14214 Ballantyne Lake Road,Charlotte,Mecklenburg,North Carolina,28277,Approved,Urgent care,1446868.01908363,478678.002482638,-80.848324259367,35.0511063973406,202106031931
1061,60C139,The Charlotte-Mecklenburg Hospital Authority,Atrium Health Urgent Care Prosperity Crossing,4400 Golf Acres Drive,Charlotte,Mecklenburg,North Carolina,28208,Approved,Urgent care,1426855.01022522,542298.984492391,-80.9192923877386,35.2248430613232,202106031931
1062,60C013,Bio Medical Applications of North Carolina  d.b.a. Fresenius Medical Care Charlotte,Biomedical Applications of NC DBA Fresenius Medical Care of Charlotte,928 Baxter St.,Charlotte,Mecklenburg,North Carolina,28204,Approved,Other,1449872.02652705,537543.026812732,-80.8419378217165,35.2129756253426,202106031931
1063,60C028,Bio-Medical Applications of North Carolina Inc. dba Fresenius Kidney Care Charlotte Area,Bio-Medical Applications of North Carolina Inc.  dba Fresenius Kidney Care  North Charlotte,5220 North Tryon St,Charlotte,Mecklenburg,North Carolina,28213,Approved,Other,1469176.02400821,553759.985192388,-80.7782908347092,35.2584940981684,202106031931
