County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,12971,7617
Cumberland,48249,34079
Pitt,35216,30094
Beaufort,12645,8850
Durham,78462,52240
Jones,2185,1288
Pender,11852,7559
Carteret,19057,9834
Swain,2970,1777
Halifax,12760,6320
Lenoir,11654,7789
Perquimans,3656,2011
Henderson,24654,16880
Scotland,7589,4590
Alamance,35368,21920
Haywood,13195,9920
Tyrrell,1073,611
Pasquotank,10868,7269
McDowell,10017,6772
Washington,2618,1718
Polk,5120,2522
Caldwell,16466,11566
Graham,1962,1277
Warren,5005,2393
Cleveland,19608,10180
Wake,233107,144351
Rockingham,18403,8929
Lee,13080,7514
Rowan,20192,13825
Wilkes,12585,7249
Harnett,19602,12849
Wilson,15910,9194
Pamlico,4152,2626
Rutherford,12553,5704
Surry,16844,9461
Alleghany,3062,2037
Orange,42445,30079
Bladen,7324,4515
Granville,13424,8171
Out of State,50999,32517
Davidson,27363,17263
Stokes,7783,5002
Onslow,22077,12715
Stanly,10524,6293
Craven,23631,13030
Franklin,12084,8177
Anson,4750,2968
Gaston,37953,24465
Yadkin,7447,4525
Hyde,1749,1080
Randolph,23288,11993
Hertford,5398,2689
Union,38540,25088
Moore,27947,18392
Martin,5310,3457
Johnston,36647,21507
Columbus,10300,5492
Robeson,19819,11860
Macon,9156,6690
Davie,8765,7347
Yancey,4636,2440
Missing,4378,1534
New Hanover,54678,39085
Brunswick,41376,26932
Currituck,5812,3567
Camden,2338,1294
Person,8774,5166
Greene,4488,2870
Guilford,117337,60287
Madison,4933,3930
Chatham,20009,14000
Wayne,20570,10220
Ashe,6554,3488
Hoke,6203,3887
Dare,11360,9426
Montgomery,5403,3136
Forsyth,76501,53559
Chowan,4456,2683
Transylvania,7868,5396
Iredell,29483,20477
Clay,2365,1205
Vance,10143,5709
Mecklenburg,175549,108020
Edgecombe,9105,5401
Cherokee,5954,3142
Bertie,5176,2882
Lincoln,15333,9224
Alexander,7804,4389
Nash,20521,10604
Richmond,9669,6202
Mitchell,2912,1736
Cabarrus,32018,19873
Duplin,8988,5215
Buncombe,57135,35052
Avery,4772,2916
Catawba,31365,19249
Jackson,9902,4826
Gates,2650,1403
Burke,18957,12481
Caswell,5313,2893
Northampton,5229,2643
Watauga,13170,9679
