People Fully Vaccinated,County,People Vaccinated with at Least One Dose
20436,Robeson,25238
3518,Perquimans,4133
40682,Johnston,54593
26382,Randolph,31442
1765,Hyde,2354
3218,Alleghany,3755
9614,Duplin,12484
2553,Gates,3099
15359,Haywood,20246
11734,Stanly,15185
7441,Missing County,11495
16734,Wilson,21429
1090,Tyrrell,1234
22477,Wayne,27803
5795,Montgomery,7253
13001,Lenoir,15437
7948,Scotland,9836
45018,Alamance,55440
2307,Camden,2841
5123,Greene,6138
22859,Rowan,28774
5475,Northampton,6393
14306,Wilkes,16617
16735,Lincoln,21504
19572,Caldwell,22399
5446,Polk,6487
18030,Surry,20664
12323,Macon,13993
2383,Clay,2923
9105,Yadkin,10469
25123,Onslow,28846
10394,Richmond,12163
71615,Buncombe,90651
46458,Union,60386
37616,Cabarrus,51434
2650,Washington,3178
22311,Harnett,26880
21648,Burke,25074
56811,Out of State,74080
14368,Granville,18177
44351,Gaston,54557
9943,Edgecombe,13119
17395,Watauga,21184
6439,Hoke,8157
5229,Bertie,6646
9415,Person,12388
14283,Beaufort,16482
11752,Jackson,13790
35106,Catawba,44073
304178,Wake,410393
21893,Cleveland,25387
13039,Sampson,16679
11361,Columbus,13655
5607,Caswell,7095
4777,Yancey,5744
14188,Lee,17795
5327,Hertford,6653
20473,Rockingham,25506
20281,Carteret,23820
220757,Mecklenburg,312648
3155,Swain,3541
4986,Avery,6122
10299,Vance,12970
13585,Halifax,16315
21380,Nash,28274
12315,Rutherford,16003
7243,Ashe,8731
8815,Stokes,10793
1979,Graham,2210
13776,Pender,17547
26182,Craven,30790
146464,Guilford,176712
6383,Madison,8036
20716,Chatham,25902
48913,Pitt,54419
30802,Moore,35133
100553,Forsyth,122887
36037,Iredell,44535
10453,Transylvania,11915
5883,Martin,6949
5031,Warren,6732
2287,Jones,2815
10878,Davie,12949
51150,Cumberland,60677
10678,McDowell,14215
6216,Cherokee,7710
4118,Chowan,5128
55464,Orange,68575
8434,Alexander,10598
100522,Durham,125667
29880,Henderson,38442
10459,Pasquotank,12449
4364,Pamlico,5161
3119,Mitchell,4320
5672,Currituck,7809
48013,Brunswick,56036
33168,Davidson,39578
14272,Franklin,18084
14216,Dare,18057
66767,New hanover,80918
7642,Bladen,8765
5057,Anson,6506
