People Fully Vaccinated,County,People Vaccinated with at Least One Dose
21834,Robeson,25833
3545,Perquimans,4142
44161,Johnston,55690
27889,Randolph,32123
1902,Hyde,2378
3327,Alleghany,3784
10661,Duplin,12676
2608,Gates,3154
16435,Haywood,20572
12299,Stanly,15516
9142,Missing County,12324
17653,Wilson,21818
1119,Tyrrell,1240
23749,Wayne,28281
6071,Montgomery,7371
13688,Lenoir,15660
0,,0
8535,Scotland,9973
47970,Alamance,56463
2356,Camden,2876
5429,Greene,6231
23954,Rowan,29633
5662,Northampton,6464
14904,Wilkes,16849
17616,Lincoln,22233
20266,Caldwell,22744
5807,Polk,6531
19081,Surry,20839
12835,Macon,14171
2539,Clay,2952
9625,Yadkin,10641
26802,Onslow,29686
10909,Richmond,12256
76325,Buncombe,92827
49346,Union,62826
40248,Cabarrus,54030
2739,Washington,3195
23328,Harnett,27517
22294,Burke,25277
59653,Out of State,76508
15297,Granville,18610
46507,Gaston,56322
10628,Edgecombe,13297
18321,Watauga,21482
6816,Hoke,8313
5657,Bertie,6759
10262,Person,12652
15024,Beaufort,16601
36989,Catawba,44909
12362,Jackson,13947
330028,Wake,419839
22787,Cleveland,25945
13580,Sampson,16915
12347,Columbus,13803
5922,Caswell,7200
4990,Yancey,5826
15210,Lee,17952
5599,Hertford,6728
21979,Rockingham,25965
240490,Mecklenburg,331745
21512,Carteret,24071
3313,Swain,3579
5284,Avery,6271
10904,Vance,13173
14189,Halifax,16501
13459,Rutherford,16234
22923,Nash,28687
7662,Ashe,8848
9380,Stokes,11074
1992,Graham,2220
14953,Pender,17865
26917,Craven,30914
153354,Guilford,180657
6938,Madison,8156
22038,Chatham,26332
50659,Pitt,54976
31768,Moore,35538
106632,Forsyth,125400
37218,Iredell,45515
10962,Transylvania,12099
6140,Martin,7046
5295,Warren,6784
2375,Jones,2841
11340,Davie,13183
53708,Cumberland,61392
11907,McDowell,14434
6721,Cherokee,7812
4194,Chowan,5156
59415,Orange,69418
8812,Alexander,10680
107000,Durham,128352
31819,Henderson,38916
10549,Pasquotank,12553
4618,Pamlico,5205
3448,Mitchell,4361
5959,Currituck,7895
50448,Brunswick,56552
35013,Davidson,40598
15092,Franklin,18460
16144,Dare,18239
7869,Bladen,8884
70241,New hanover,82047
5464,Anson,6634
