People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5829,4792,25424,28267,Robeson
510,422,3947,4406,Perquimans
18329,15179,56169,61305,Johnston
10632,8871,32795,34440,Randolph
115,98,2439,2649,Hyde
895,804,4011,4242,Alleghany
3761,3268,12623,13545,Duplin
292,253,3030,3433,Gates
5323,4639,21267,22446,Haywood
3552,2952,15549,16635,Stanly
47534,39858,14796,16533,Missing County
6180,5320,22533,24409,Wilson
86,81,1228,1369,Tyrrell
8367,6953,28434,30403,Wayne
1509,1264,7252,7796,Montgomery
5049,4333,16018,17152,Lenoir
2294,1899,10011,10641,Scotland
13825,11349,57770,61620,Alamance
371,313,2649,3039,Camden
1240,1088,6513,6956,Greene
10771,8784,30887,32571,Rowan
694,554,6336,6805,Northampton
4971,3976,16623,17955,Wilkes
8849,7392,22652,23632,Lincoln
5122,4264,23315,24412,Caldwell
1224,1091,6559,6999,Polk
6512,5515,20765,21845,Surry
1643,1443,14279,15033,Macon
795,731,3020,3162,Clay
2254,1865,10858,11319,Yadkin
11521,9247,29565,31755,Onslow
2328,1946,12473,13227,Richmond
31296,28731,97059,102917,Buncombe
26277,21641,65681,69145,Union
25126,21370,56266,60068,Cabarrus
1049,830,3039,3393,Washington
8646,6853,27872,30014,Harnett
5512,4456,25557,26909,Burke
0,0,72528,80014,Out of State
5523,4742,19185,20417,Granville
20448,16572,57307,60055,Gaston
3312,2681,12947,14566,Edgecombe
3023,2646,22397,24605,Watauga
2641,2104,8230,9097,Hoke
832,696,6388,7179,Bertie
2800,2388,12870,13724,Person
2601,2133,16423,17450,Beaufort
15701,12919,46031,48301,Catawba
1845,1550,14271,14902,Jackson
164501,146061,430824,461847,Wake
7067,5724,26483,27807,Cleveland
3859,3270,17089,18675,Sampson
2778,2325,14233,14829,Columbus
885,572,7281,7792,Caswell
543,414,6166,6557,Yancey
5250,4477,18002,19312,Lee
1297,1112,6439,7172,Hertford
6656,5365,26231,28010,Rockingham
144332,120216,347093,373444,Mecklenburg
6811,6013,23615,24867,Carteret
695,566,3571,3720,Swain
842,738,6309,6820,Avery
3941,3364,13237,14604,Vance
2301,1898,16280,17556,Halifax
2885,2518,16202,17653,Rutherford
9311,7914,27891,30901,Nash
1900,1715,8789,9494,Ashe
4032,3347,11299,11959,Stokes
313,275,2208,2335,Graham
4937,4215,17826,19022,Pender
7859,6917,31234,32796,Craven
55485,46534,185725,196537,Guilford
771,664,8738,9055,Madison
8858,7814,25544,27097,Chatham
14095,12144,55348,58458,Pitt
9141,8177,35741,37566,Moore
40967,35394,127710,136048,Forsyth
20811,17191,46235,46980,Iredell
2242,2065,12634,13239,Transylvania
1176,1019,7051,7600,Martin
1339,1189,6771,7201,Warren
537,438,2851,3060,Jones
4243,3730,13458,14202,Davie
23961,18943,62118,65833,Cumberland
1707,1360,15069,15945,McDowell
1452,1297,7959,8423,Cherokee
879,828,4541,5370,Chowan
17772,16788,71850,76237,Orange
1281,1076,11067,11627,Alexander
35053,30878,132527,140456,Durham
9457,8573,40920,43167,Henderson
2489,2034,11630,13377,Pasquotank
589,510,5065,5364,Pamlico
560,444,4638,4972,Mitchell
1207,1008,7455,8505,Currituck
14332,13035,56164,58827,Brunswick
12951,10887,42153,44626,Davidson
7137,6132,18862,20144,Franklin
3148,2702,18158,19130,Dare
1856,1541,8883,9634,Bladen
28985,25494,82805,87304,New Hanover
1068,853,6665,7102,Anson
