People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6209,5345,26019,28677,Robeson
533,481,3994,4455,Perquimans
19275,16981,57611,62009,Johnston
11205,9843,33466,34882,Randolph
117,104,2478,2683,Hyde
929,868,4036,4277,Alleghany
3996,3588,12838,13708,Duplin
305,269,3096,3462,Gates
5476,4932,21850,22714,Haywood
3694,3230,15850,16758,Stanly
49944,44379,17389,17318,Missing County
6494,5835,23350,24757,Wilson
87,85,1303,1400,Tyrrell
8868,7685,29042,30738,Wayne
1570,1384,7346,7877,Montgomery
5263,4699,16383,17386,Lenoir
2428,2045,10205,10749,Scotland
14497,12506,59685,62382,Alamance
386,347,2700,3082,Camden
1304,1161,6718,7127,Greene
11275,9657,31496,33146,Rowan
725,613,6408,6870,Northampton
5236,4503,16867,18194,Wilkes
9205,8074,23063,23884,Lincoln
5331,4596,23758,24621,Caldwell
1255,1136,6688,7027,Polk
6736,5967,21195,22085,Surry
1692,1536,14535,15126,Macon
801,755,3082,3184,Clay
2405,2067,10980,11414,Yadkin
12243,10519,29822,32021,Onslow
2468,2134,12692,13390,Richmond
32069,30151,99094,103995,Buncombe
27467,24115,66977,69954,Union
26149,23585,57750,60875,Cabarrus
1098,897,3124,3450,Washington
9223,7797,28518,30374,Harnett
5747,4858,26078,27151,Burke
0,0,73452,80540,Out of State
5801,5167,19567,20664,Granville
21576,18538,57653,60329,Gaston
3504,2957,13539,14882,Edgecombe
3104,2792,23096,25105,Watauga
2837,2400,8457,9280,Hoke
878,761,6478,7263,Bertie
2955,2576,13304,13860,Person
2735,2360,16646,17597,Beaufort
16454,14249,46745,48682,Catawba
1919,1655,14506,15017,Jackson
170425,159221,441485,466637,Wake
7469,6323,26896,28089,Cleveland
4086,3631,17609,19029,Sampson
2898,2535,14400,14945,Columbus
920,631,7445,7852,Caswell
576,477,6287,6622,Yancey
5620,5033,18351,19540,Lee
1378,1234,6505,7259,Hertford
7024,6001,26820,28311,Rockingham
150586,132269,354812,378912,Mecklenburg
7051,6484,23766,25023,Carteret
730,612,3607,3737,Swain
880,796,6423,6908,Avery
4160,3675,13537,14792,Vance
2453,2099,16596,17749,Halifax
3029,2763,16715,17998,Rutherford
9880,8770,28854,31376,Nash
1979,1842,9119,9770,Ashe
4218,3626,11563,12161,Stokes
333,300,2254,2366,Graham
5149,4667,18053,19173,Pender
8183,7398,31640,33052,Craven
58349,51425,189561,198236,Guilford
815,726,8860,9118,Madison
9045,8236,25889,27293,Chatham
14819,13268,56178,58871,Pitt
9438,8752,36322,37799,Moore
42748,38386,130441,137415,Forsyth
21784,19174,47058,47397,Iredell
2300,2161,12813,13339,Transylvania
1213,1069,7222,7704,Martin
1415,1298,6858,7277,Warren
573,486,2921,3098,Jones
4391,4024,13719,14322,Davie
25757,21639,63136,66402,Cumberland
1745,1433,15353,16094,McDowell
1479,1364,8103,8500,Cherokee
918,908,4599,5413,Chowan
18118,17496,73611,76943,Orange
1336,1173,11192,11764,Alexander
36221,32906,135601,141896,Durham
9722,9102,41728,43668,Henderson
2615,2296,11810,13505,Pasquotank
613,553,5131,5406,Pamlico
596,488,4715,5011,Mitchell
1261,1121,7606,8569,Currituck
14759,13878,56781,59150,Brunswick
13540,11967,42948,45123,Davidson
7467,6745,19357,20417,Franklin
3282,2917,18561,19281,Dare
1974,1679,9042,9696,Bladen
29815,27306,84151,88081,New Hanover
1161,967,6806,7201,Anson
