People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6897,5900,27227,130625,29586,Robeson
583,527,4092,13463,4538,Perquimans
20969,18733,59082,209339,63143,Johnston
12004,10808,34107,143667,35552,Randolph
123,108,2586,4937,2740,Hyde
969,916,4158,11137,4387,Alleghany
4372,3922,13110,58741,14067,Duplin
323,290,3211,11562,3532,Gates
5696,5193,22197,62317,22981,Haywood
3950,3480,16238,62806,17114,Stanly
53161,48295,18640,,18768,Missing County
6997,6308,23943,81801,25238,Wilson
94,86,1336,4016,1432,Tyrrell
9807,8507,29561,123131,31127,Wayne
1675,1503,7496,27173,7913,Montgomery
5645,5086,16785,55949,17653,Lenoir
2666,2253,10370,34823,10842,Scotland
15511,13603,60947,169509,63381,Alamance
425,380,2762,10867,3129,Camden
1411,1260,6859,21069,7236,Greene
12163,10553,32279,142088,33751,Rowan
797,668,6509,19483,6952,Northampton
5657,4946,17159,68412,18435,Wilkes
9827,8817,23344,86111,24085,Lincoln
5736,5041,24078,82178,24968,Caldwell
1296,1178,6765,20724,7081,Polk
7126,6423,21572,71783,22361,Surry
1818,1661,14710,35858,15267,Macon
807,779,3123,11231,3219,Clay
2627,2298,11161,37667,11571,Yadkin
13449,11793,30227,197938,32908,Onslow
2679,2312,12917,44829,13539,Richmond
33025,31335,101337,261191,105757,Buncombe
29365,26283,68711,239859,71173,Union
27962,25449,58984,216453,62185,Cabarrus
1172,963,3197,11580,3513,Washington
10165,8860,29227,135976,30913,Harnett
6137,5317,26636,90485,27696,Burke
0,0,74738,,81711,Out of State
6259,5619,20002,60443,20962,Granville
23328,20446,58828,224529,61483,Gaston
3809,3304,14303,51472,15187,Edgecombe
3220,2931,23885,56177,25357,Watauga
3152,2751,8714,55234,9577,Hoke
977,870,6640,18947,7419,Bertie
3239,2838,13540,39490,14077,Person
2946,2589,16959,46994,17906,Beaufort
17576,15483,47388,159551,49252,Catawba
2043,1798,14667,43938,15134,Jackson
180648,169756,452421,1111761,473666,Wake
8062,7005,27348,97947,28471,Cleveland
4527,4022,18227,63531,19591,Sampson
3165,2718,14582,55508,15295,Columbus
985,711,7663,22604,8125,Caswell
613,532,6409,18069,6716,Yancey
6171,5496,18713,61779,19822,Lee
1521,1351,6609,23677,7267,Hertford
7641,6740,27308,91010,28686,Rockingham
160010,142870,365695,1110356,388616,Mecklenburg
7417,6929,24062,69473,25207,Carteret
786,660,3644,14271,3758,Swain
922,846,6566,17557,7021,Avery
4510,4052,14006,44535,15182,Vance
2679,2325,16982,50010,18017,Halifax
3233,2952,17149,67029,18407,Rutherford
10620,9597,30065,94298,31888,Nash
2099,1955,9281,27203,9946,Ashe
4433,3951,11800,45591,12336,Stokes
398,316,2297,8441,2443,Graham
5491,4978,18392,63060,19449,Pender
8745,8010,32337,102139,33561,Craven
62548,55992,192662,537174,200601,Guilford
802,733,9000,21755,9245,Madison
9446,8584,26392,74470,27580,Chatham
16133,14507,57109,180742,59610,Pitt
10002,9272,36642,100880,37810,Moore
45465,41138,133084,382295,139375,Forsyth
23320,21022,47701,181806,47861,Iredell
2366,2234,13086,34385,13479,Transylvania
1339,1202,7385,22440,7869,Martin
1516,1403,7010,19731,7380,Warren
630,531,2994,9419,3156,Jones
4684,4317,13982,42846,14480,Davie
28393,24353,64407,335509,67358,Cumberland
1855,1556,15639,45756,16323,McDowell
1552,1417,8252,28612,8597,Cherokee
971,953,4743,13943,5547,Chowan
18841,18226,75347,148476,77995,Orange
1439,1295,11492,37497,11967,Alexander
38175,34988,138483,321488,143785,Durham
10045,9517,42666,117417,44421,Henderson
2839,2523,12101,39824,13755,Pasquotank
657,600,5295,12726,5566,Pamlico
618,534,4808,14964,5109,Mitchell
1326,1214,7818,27763,8759,Currituck
15481,14571,57189,142820,59529,Brunswick
14607,13053,43810,167609,45914,Davidson
8013,7336,19854,69685,20760,Franklin
3457,3129,18978,37009,19637,Dare
2206,1837,9162,32722,9936,Bladen
31249,28768,85228,234473,88949,New Hanover
1275,1057,6956,24446,7337,Anson
