Death by Date of Death,Total Cases by Date of Specimen collection,Total Molecular Cases by Date of Specimen Collection,County,Date,Total Antigen Cases by Date of Specimen Collection
0,9,28,Alamance,2021-03-26,9
0,8,12,Alamance,2021-03-27,8
2,6,13,Alamance,2021-04-03,6
1,15,23,Alamance,2021-04-05,15
0,12,24,Alamance,2021-04-08,12
0,8,18,Alamance,2021-04-09,8
0,5,9,Alamance,2021-04-10,5
1,7,23,Alamance,2021-04-11,7
0,4,36,Alamance,2021-04-23,4
1,6,18,Alamance,2021-04-28,6
0,5,8,Alamance,2021-05-02,5
1,7,22,Alamance,2021-05-03,7
0,5,9,Alamance,2021-05-11,5
1,4,9,Alamance,2021-05-12,4
0,3,2,Alamance,2021-05-15,3
1,2,12,Alamance,2021-05-17,2
0,4,10,Alamance,2021-05-19,4
0,3,7,Alamance,2021-05-21,3
0,0,4,Alamance,2021-05-23,0
0,3,2,Alamance,2021-06-02,3
0,5,6,Alamance,2021-06-03,5
0,0,3,Alamance,2021-06-06,0
0,5,4,Alamance,2021-06-08,5
0,1,4,Alamance,2021-06-11,1
0,1,4,Alamance,2021-06-13,1
0,3,9,Alamance,2021-06-15,3
0,0,6,Alamance,2021-06-19,0
0,1,5,Alamance,2021-06-24,1
0,1,4,Alamance,2021-06-26,1
0,5,2,Alamance,2021-06-30,5
0,1,5,Alamance,2021-07-01,1
0,0,6,Alamance,2021-07-03,0
0,0,2,Alamance,2021-07-04,0
0,1,8,Alamance,2021-07-09,1
0,3,7,Alamance,2021-07-10,3
0,5,9,Alamance,2021-07-15,5
0,6,21,Alamance,2021-07-25,6
0,4,55,Alamance,2021-07-26,4
0,7,48,Alamance,2021-07-29,7
0,1,35,Alamance,2021-08-01,1
0,10,49,Alamance,2021-08-04,10
0,10,43,Alamance,2021-08-05,10
0,4,27,Alamance,2021-08-07,4
1,9,62,Alamance,2021-08-11,9
0,9,70,Alamance,2021-08-17,9
0,8,86,Alamance,2021-08-20,8
0,4,58,Alamance,2021-08-21,4
1,11,86,Alamance,2021-08-27,11
2,2,61,Alamance,2021-08-28,2
1,8,37,Alamance,2021-08-29,8
2,26,153,Alamance,2021-09-07,26
0,20,101,Alamance,2021-09-09,20
0,17,109,Alamance,2021-09-10,17
0,8,34,Alamance,2021-09-12,8
0,17,177,Alamance,2021-09-13,17
0,11,97,Alamance,2021-09-15,11
0,13,94,Alamance,2021-09-16,13
0,0,1,Alexander,2021-03-26,0
0,1,3,Alexander,2021-03-27,1
0,1,3,Alexander,2021-04-03,1
0,0,3,Alexander,2021-04-05,0
0,2,1,Alexander,2021-04-08,2
0,0,1,Alexander,2021-04-09,0
0,4,1,Alexander,2021-04-10,4
0,5,0,Alexander,2021-04-11,5
0,1,2,Alexander,2021-04-23,1
0,0,5,Alexander,2021-04-28,0
0,2,1,Alexander,2021-05-02,2
0,0,2,Alexander,2021-05-03,0
0,0,2,Alexander,2021-05-11,0
0,0,3,Alexander,2021-05-12,0
0,0,1,Alexander,2021-05-15,0
0,1,3,Alexander,2021-05-17,1
0,0,1,Alexander,2021-05-19,0
0,3,1,Alexander,2021-05-21,3
0,0,1,Alexander,2021-05-23,0
0,0,1,Alexander,2021-06-02,0
0,0,0,Alexander,2021-06-03,0
0,0,0,Alexander,2021-06-06,0
0,0,0,Alexander,2021-06-08,0
0,2,1,Alexander,2021-06-11,2
0,0,1,Alexander,2021-06-13,0
0,0,1,Alexander,2021-06-15,0
0,0,0,Alexander,2021-06-19,0
0,3,0,Alexander,2021-06-24,3
0,0,1,Alexander,2021-06-26,0
0,2,0,Alexander,2021-06-30,2
0,0,0,Alexander,2021-07-01,0
0,1,0,Alexander,2021-07-03,1
0,1,0,Alexander,2021-07-04,1
0,3,2,Alexander,2021-07-09,3
0,2,1,Alexander,2021-07-10,2
0,1,4,Alexander,2021-07-15,1
0,2,4,Alexander,2021-07-25,2
0,7,9,Alexander,2021-07-26,7
0,7,10,Alexander,2021-07-29,7
0,3,3,Alexander,2021-08-01,3
0,4,11,Alexander,2021-08-04,4
0,10,18,Alexander,2021-08-05,10
0,4,6,Alexander,2021-08-07,4
0,11,13,Alexander,2021-08-11,11
0,13,9,Alexander,2021-08-17,13
0,10,20,Alexander,2021-08-20,10
1,12,6,Alexander,2021-08-21,12
0,15,21,Alexander,2021-08-27,15
1,7,7,Alexander,2021-08-28,7
0,8,6,Alexander,2021-08-29,8
0,36,24,Alexander,2021-09-07,36
1,33,13,Alexander,2021-09-09,33
0,18,19,Alexander,2021-09-10,18
0,5,9,Alexander,2021-09-12,5
0,22,26,Alexander,2021-09-13,22
1,3,19,Alexander,2021-09-15,3
2,5,7,Alexander,2021-09-16,5
0,0,0,Alleghany,2021-03-26,0
0,0,2,Alleghany,2021-03-27,0
0,1,0,Alleghany,2021-04-03,1
0,6,0,Alleghany,2021-04-05,6
0,0,8,Alleghany,2021-04-08,0
0,0,1,Alleghany,2021-04-09,0
0,1,0,Alleghany,2021-04-10,1
0,1,0,Alleghany,2021-04-11,1
0,0,3,Alleghany,2021-04-23,0
0,1,0,Alleghany,2021-04-28,1
0,0,0,Alleghany,2021-05-02,0
0,1,2,Alleghany,2021-05-03,1
0,2,0,Alleghany,2021-05-11,2
0,0,0,Alleghany,2021-05-12,0
0,0,0,Alleghany,2021-05-15,0
0,2,0,Alleghany,2021-05-17,2
0,3,0,Alleghany,2021-05-19,3
0,0,0,Alleghany,2021-05-21,0
0,1,0,Alleghany,2021-05-23,1
0,0,1,Alleghany,2021-06-02,0
0,0,1,Alleghany,2021-06-03,0
0,1,0,Alleghany,2021-06-06,1
0,0,0,Alleghany,2021-06-08,0
0,0,0,Alleghany,2021-06-11,0
0,0,1,Alleghany,2021-06-13,0
0,0,1,Alleghany,2021-06-15,0
0,0,0,Alleghany,2021-06-19,0
0,0,0,Alleghany,2021-06-24,0
0,0,2,Alleghany,2021-06-26,0
0,0,0,Alleghany,2021-06-30,0
0,0,0,Alleghany,2021-07-01,0
0,1,1,Alleghany,2021-07-03,1
0,0,1,Alleghany,2021-07-04,0
0,0,0,Alleghany,2021-07-09,0
0,0,0,Alleghany,2021-07-10,0
0,0,1,Alleghany,2021-07-15,0
0,0,0,Alleghany,2021-07-25,0
0,0,1,Alleghany,2021-07-26,0
0,0,1,Alleghany,2021-07-29,0
0,1,1,Alleghany,2021-08-01,1
0,0,0,Alleghany,2021-08-04,0
0,0,3,Alleghany,2021-08-05,0
0,0,1,Alleghany,2021-08-07,0
0,2,1,Alleghany,2021-08-11,2
0,0,2,Alleghany,2021-08-17,0
0,1,3,Alleghany,2021-08-20,1
0,1,0,Alleghany,2021-08-21,1
0,0,7,Alleghany,2021-08-27,0
0,0,5,Alleghany,2021-08-28,0
0,0,2,Alleghany,2021-08-29,0
0,2,23,Alleghany,2021-09-07,2
0,1,9,Alleghany,2021-09-09,1
0,0,7,Alleghany,2021-09-10,0
