Total Population,County
169509,Alamance
37497,Alexander
11137,Alleghany
24446,Anson
27203,Ashe
17557,Avery
46994,Beaufort
18947,Bertie
32722,Bladen
142820,Brunswick
261191,Buncombe
90485,Burke
216453,Cabarrus
82178,Caldwell
10867,Camden
69473,Carteret
22604,Caswell
159551,Catawba
74470,Chatham
28612,Cherokee
13943,Chowan
11231,Clay
97947,Cleveland
55508,Columbus
102139,Craven
335509,Cumberland
27763,Currituck
37009,Dare
167609,Davidson
42846,Davie
58741,Duplin
321488,Durham
51472,Edgecombe
382295,Forsyth
69685,Franklin
224529,Gaston
11562,Gates
8441,Graham
60443,Granville
21069,Greene
537174,Guilford
50010,Halifax
135976,Harnett
62317,Haywood
117417,Henderson
23677,Hertford
55234,Hoke
4937,Hyde
181806,Iredell
43938,Jackson
209339,Johnston
9419,Jones
61779,Lee
55949,Lenoir
86111,Lincoln
45756,McDowell
35858,Macon
21755,Madison
22440,Martin
1110356,Mecklenburg
14964,Mitchell
27173,Montgomery
100880,Moore
94298,Nash
234473,New Hanover
19483,Northampton
197938,Onslow
148476,Orange
12726,Pamlico
39824,Pasquotank
63060,Pender
13463,Perquimans
39490,Person
180742,Pitt
20724,Polk
143667,Randolph
44829,Richmond
130625,Robeson
91010,Rockingham
142088,Rowan
67029,Rutherford
63531,Sampson
34823,Scotland
62806,Stanly
45591,Stokes
71783,Surry
14271,Swain
34385,Transylvania
4016,Tyrrell
239859,Union
44535,Vance
1111761,Wake
19731,Warren
11580,Washington
56177,Watauga
123131,Wayne
68412,Wilkes
81801,Wilson
37667,Yadkin
18069,Yancey
