Population,People Fully Vaccinated,County,People Vaccinated with at Least One Dose
130625,49429,Robeson,55382
13463,5720,Perquimans,6265
209339,100965,Johnston,108391
143667,58081,Randolph,61495
4937,3049,Hyde,3209
11137,6004,Alleghany,6406
58741,23127,Duplin,25129
11562,4211,Gates,4560
62317,33359,Haywood,35179
62806,25351,Stanly,27162
,163081,Missing,157742
81801,38518,Wilson,41245
4016,1838,Tyrrell,1950
123131,57535,Wayne,63895
27173,11082,Montgomery,11829
55949,27957,Lenoir,30141
34823,15840,Scotland,17094
169509,91752,Alamance,96716
10867,5002,Camden,5226
21069,10186,Greene,10888
142088,57846,Rowan,62066
19483,8519,Northampton,9196
68412,30104,Wilkes,32570
86111,39513,Lincoln,41885
82178,35929,Caldwell,38097
20724,8863,Polk,9329
71783,34728,Surry,36795
35858,19883,Macon,20952
11231,4837,Clay,5128
37667,17296,Yadkin,18235
197938,104178,Onslow,119302
44829,19579,Richmond,21351
261191,158622,Buncombe,165239
239859,120718,Union,126675
216453,108251,Cabarrus,114702
11580,5353,Washington,6006
135976,50167,Harnett,54078
90485,39396,Burke,41733
,87865,Out of State,99063
60443,35362,Granville,37388
224529,101921,Gaston,110131
51472,22529,Edgecombe,24420
56177,29852,Watauga,31881
55234,16869,Hoke,18803
18947,9362,Bertie,10310
39490,20552,Person,21679
46994,23715,Beaufort,25387
159551,78880,Catawba,83094
43938,21702,Jackson,23327
1111761,737995,Wake,771472
97947,44793,Cleveland,48061
63531,30023,Sampson,32648
55508,22829,Columbus,24512
22604,10024,Caswell,10790
18069,8464,Yancey,9000
61779,31139,Lee,33510
23677,10241,Hertford,11218
91010,42656,Rockingham,45266
1110356,636427,Mecklenburg,679602
69473,37200,Carteret,39668
14271,7213,Swain,8282
17557,8847,Avery,9454
44535,22897,Vance,24805
50010,24606,Halifax,26467
67029,26005,Rutherford,28108
94298,50030,Nash,53421
27203,13486,Ashe,14379
45591,19764,Stokes,21133
8441,3726,Graham,4068
63060,29694,Pender,31880
102139,56176,Craven,60448
537174,299859,Guilford,317413
21755,11675,Madison,12077
74470,39101,Chatham,41032
180742,87902,Pitt,93692
100880,53218,Moore,56435
382295,214765,Forsyth,228850
181806,87726,Iredell,92648
34385,17636,Transylvania,18221
22440,10837,Martin,11653
19731,10101,Warren,10727
9419,4447,Jones,4782
42846,22534,Davie,23571
335509,192600,Cumberland,217421
45756,22119,McDowell,23674
28612,12357,Cherokee,13259
13943,7127,Chowan,7997
148476,104494,Orange,108118
37497,15103,Alexander,15892
321488,207749,Durham,218576
117417,63016,Henderson,65806
39824,18685,Pasquotank,21076
12726,6799,Pamlico,7177
14964,6663,Mitchell,7176
27763,10641,Currituck,11939
142820,84438,Brunswick,88755
167609,73719,Davidson,78963
69685,34152,Franklin,36033
37009,25143,Dare,26253
32722,14998,Bladen,16175
234473,137403,New Hanover,144786
24446,10264,Anson,11154
