Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
26308,66854,29211,6596,4739,Robeson
3932,9425,4507,558,428,Perquimans
54938,154475,62769,20130,16638,Johnston
32455,88682,35391,11622,9214,Randolph
2429,5374,2729,120,96,Hyde
3497,9586,4363,944,782,Alleghany
12380,33797,13946,4182,3289,Duplin
3075,7149,3517,317,240,Gates
19735,52927,22886,5575,4731,Haywood
15543,39374,16998,3840,2993,Stanly
83542,276147,99560,51728,41317,Missing / Out of State
22605,59351,25106,6728,4912,Wilson
1268,2846,1412,90,76,Tyrrell
28592,75925,30993,9326,7014,Wayne
7261,17977,7904,1627,1185,Montgomery
15690,43134,17582,5453,4409,Lenoir
10100,25195,10800,2542,1753,Scotland
57019,147252,63015,15069,12149,Alamance
2675,6492,3118,406,293,Camden
5994,15603,7200,1358,1051,Greene
30850,85491,33490,11770,9381,Rowan
6307,14555,6932,766,550,Northampton
16480,44499,18326,5442,4251,Wilkes
22240,63411,23997,9535,7639,Lincoln
21995,56421,24846,5561,4019,Caldwell
6585,16003,7066,1278,1074,Polk
20839,55794,22253,6927,5775,Surry
12220,30513,15232,1750,1311,Macon
2995,7737,3205,803,734,Clay
10411,26480,11532,2513,2024,Yadkin
28692,83839,32447,12853,9847,Onslow
12298,30178,13497,2580,1803,Richmond
91257,257855,105242,32580,28776,Buncombe
63643,186810,70734,28395,24038,Union
55358,167176,61702,27042,23074,Cabarrus
3041,8552,3497,1132,882,Washington
26860,74615,30704,9758,7293,Harnett
25438,63510,27556,5984,4532,Burke
19109,50868,20863,6025,4871,Granville
54085,155567,61005,22436,18041,Gaston
13188,34637,15067,3652,2730,Edgecombe
18738,49840,25272,3171,2659,Watauga
8215,22753,9525,3000,2013,Hoke
6340,15382,7391,937,714,Bertie
12944,32309,13961,3112,2292,Person
15549,38375,17789,2835,2202,Beaufort
45339,124918,49028,17012,13539,Catawba
12800,31407,15086,1973,1548,Jackson
413818,1217276,471385,175070,157003,Wake
26100,68130,28301,7763,5966,Cleveland
16445,43563,19434,4329,3355,Sampson
13485,33845,15139,3013,2208,Columbus
7358,16956,8011,963,624,Caswell
6009,13686,6658,593,426,Yancey
18112,48305,19701,5872,4620,Lee
6291,16091,7238,1441,1121,Hertford
26059,67554,28535,7361,5599,Rockingham
333033,1003078,384888,155237,129920,Mecklenburg
23305,61606,25133,7252,5916,Carteret
3491,8579,3746,760,582,Swain
5926,14528,6981,904,717,Avery
13657,36450,15061,4344,3388,Vance
16337,38655,17906,2561,1851,Halifax
16308,40262,18295,3134,2525,Rutherford
27708,77985,31678,10269,8330,Nash
7840,21419,9901,2053,1625,Ashe
10613,30727,12298,4342,3474,Stokes
2178,5185,2398,370,239,Graham
17077,45937,19337,5322,4201,Pender
31360,79962,33401,8464,6737,Craven
181514,491431,199677,60390,49850,Guilford
7540,18247,9200,822,685,Madison
25408,69821,27461,9216,7736,Chatham
49340,137108,59289,15477,13002,Pitt
35388,91233,37793,9679,8373,Moore
114884,334938,138800,43985,37269,Forsyth
44487,133733,47658,22580,19008,Iredell
10099,27859,13425,2348,1987,Transylvania
6738,16772,7820,1276,938,Martin
6848,16858,7344,1455,1211,Warren
2932,7122,3146,607,437,Jones
12393,35160,14431,4541,3795,Davie
61815,175886,67038,27167,19866,Cumberland
14596,33955,16228,1817,1314,Mcdowell
7957,19178,8566,1521,1134,Cherokee
4470,11777,5519,946,842,Chowan
66992,179929,77461,18382,17094,Orange
10831,25143,11871,1374,1067,Alexander
125206,337603,143161,37121,32115,Durham
37241,99599,44160,9910,8288,Henderson
11593,30071,13676,2744,2058,Pasquotank
5093,11603,5438,636,436,Pamlico
4367,10405,5077,610,351,Mitchell
7541,18543,8732,1295,975,Currituck
53171,140685,59317,15132,13065,Brunswick
40843,111902,45653,14065,11341,Davidson
18962,53792,20668,7758,6404,Franklin
16436,42289,19616,3368,2869,Dare
8870,22139,9818,2075,1376,Bladen
75996,221382,88568,30530,26288,New Hanover
6712,16163,7317,1213,921,Anson
