Second Dose Administered,First Dose Administered,County
36265,42506,Rockingham
166748,200584,Cumberland
8086,10199,Greene
3693,4344,Gates
12688,15297,Bladen
93021,106531,Cabarrus
7696,8756,Northampton
64656,77042,""
21575,25024,Stanly
84598,100884,Johnston
16272,19991,Richmond
556003,649121,Mecklenburg
23011,30793,Watauga
19985,23027,Vance
33680,39412,Burke
30027,34034,Surry
8937,10243,Caswell
14377,17018,Yadkin
21422,25884,Rutherford
48202,58798,Wayne
24689,29822,Pender
15354,20283,Macon
27585,31953,Lee
37165,44026,Cleveland
8770,10140,Anson
68051,78351,Catawba
39575,50316,Robeson
104239,118909,Union
4621,6079,Alleghany
47690,53413,Moore
29768,35917,Caldwell
79610,105443,Onslow
74236,84635,Iredell
7307,8952,Avery
17724,21782,Mcdowell
13267,17495,Transylvania
78909,90634,Alamance
6071,7572,Chowan
18681,22956,Columbus
2738,3134,Hyde
13675,16332,Scotland
10021,12020,Cherokee
16162,19736,Stokes
17523,20147,Person
649529,740011,Wake
120644,143168,New hanover
18971,23446,Duplin
21251,24496,Halifax
24696,30320,Wilkes
23685,28089,Hoke
8827,10947,Martin
18544,22174,Davie
76849,93180,Pitt
4512,5575,Washington
32129,38085,Wilson
270814,308592,Guilford
181054,209498,Durham
10568,13650,Ashe
33877,39181,Lincoln
8180,9066,Polk
13027,15048,Alexander
84908,101454,Gaston
8714,10455,Hertford
61141,72734,Davidson
40943,49925,Harnett
42334,49819,Nash
36317,40675,Chatham
8040,9657,Bertie
19861,23818,Beaufort
4058,4754,Clay
15647,19367,Pasquotank
29484,33882,Franklin
6029,6814,Pamlico
2869,3544,Graham
23839,30378,Sampson
70151,87104,Out o
1522,1855,Tyrrell
27312,32328,Haywood
4845,5878,Perquimans
18537,22444,Edgecombe
107049,121475,Orange
47055,54084,Craven
4073,4624,Camden
9082,11398,Madison
9257,11140,Currituck
5294,6700,Mitchell
20683,26260,Jackson
48803,57385,Randolph
50856,61467,Henderson
20806,30506,Missing
8945,10041,Warren
72852,84374,Brunswick
175507,216041,Forsyth
61608,70416,Rowan
9554,11122,Montgomery
3873,4425,Jones
144945,168032,Buncombe
32592,37833,Carteret
23174,27969,Lenoir
20940,25499,Dare
4770,5600,Swain
7164,8459,Yancey
31035,35386,Granville
