Second Dose Administered,First Dose Administered,County
37249,43224,Rockingham
170393,204465,Cumberland
8349,10417,Greene
3779,4429,Gates
13264,15610,Bladen
95194,108609,Cabarrus
7867,8897,Northampton
67788,79360,""
22192,25550,Stanly
86921,102779,Johnston
16878,20318,Richmond
567708,659318,Mecklenburg
23394,31165,Watauga
20495,23433,Vance
34577,40322,Burke
30662,34523,Surry
9102,10408,Caswell
14834,17421,Yadkin
22246,26549,Rutherford
49866,60815,Wayne
25392,30301,Pender
15784,20636,Macon
28344,32611,Lee
38497,45121,Cleveland
9014,10398,Anson
69782,80011,Catawba
42134,52026,Robeson
106685,120861,Union
4748,6150,Alleghany
48434,53917,Moore
30600,36573,Caldwell
82456,110491,Onslow
76142,86945,Iredell
7481,9120,Avery
18420,22374,Mcdowell
13482,17646,Transylvania
80718,91925,Alamance
6230,7766,Chowan
19388,23461,Columbus
2776,3174,Hyde
14064,16655,Scotland
10322,12347,Cherokee
16551,20095,Stokes
17930,20455,Person
659266,747153,Wake
123055,144943,New hanover
19748,23964,Duplin
21798,25019,Halifax
25705,31180,Wilkes
24410,28602,Hoke
9110,11172,Martin
18978,22520,Davie
78658,94630,Pitt
4659,5728,Washington
32913,38814,Wilson
275848,312736,Guilford
184133,211628,Durham
10864,13883,Ashe
34672,39902,Lincoln
8290,9141,Polk
13270,15285,Alexander
87244,103336,Gaston
8964,10710,Hertford
62965,74394,Davidson
42065,50920,Harnett
43245,50710,Nash
36818,40973,Chatham
8273,9899,Bertie
20297,24209,Beaufort
4198,4908,Clay
16088,19867,Pasquotank
30259,34445,Franklin
6119,6878,Pamlico
2963,3628,Graham
24724,31085,Sampson
71036,88149,Out o
1575,1891,Tyrrell
27802,32742,Haywood
4967,5991,Perquimans
18977,22812,Edgecombe
108099,122146,Orange
48149,55988,Craven
4189,4892,Camden
9203,11584,Madison
9451,11271,Currituck
5497,6882,Mitchell
21120,26617,Jackson
50141,58474,Randolph
51929,62279,Henderson
22641,32684,Missing
9090,10184,Warren
74203,85284,Brunswick
179634,219465,Forsyth
62968,71545,Rowan
9773,11281,Montgomery
3966,4523,Jones
147267,170181,Buncombe
33214,38449,Carteret
23943,28620,Lenoir
21243,25795,Dare
4882,5686,Swain
7378,8593,Yancey
31832,35855,Granville
