Second Dose Administered,First Dose Administered,County
39262,44726,Rockingham
176846,213087,Cumberland
8900,10773,Greene
3958,4511,Gates
14038,16053,Bladen
100107,112686,Cabarrus
8166,9147,Northampton
73111,82537,""
23618,26792,Stanly
91530,106602,Johnston
17953,21124,Richmond
578359,668329,Mecklenburg
23931,31543,Watauga
21580,24477,Vance
36309,41446,Burke
32314,36068,Surry
9502,10703,Caswell
15674,18051,Yadkin
23955,27847,Rutherford
52716,62920,Wayne
26777,31431,Pender
16463,20774,Macon
28987,33080,Lee
40933,47295,Cleveland
9568,10905,Anson
72836,81602,Catawba
46046,54544,Robeson
111003,124481,Union
4965,6291,Alleghany
50203,55957,Moore
32132,37610,Caldwell
87938,114413,Onslow
80431,90946,Iredell
7774,9382,Avery
19944,23443,Mcdowell
13988,18100,Transylvania
84492,95337,Alamance
6535,7912,Chowan
20745,24286,Columbus
2847,3193,Hyde
14760,16936,Scotland
11470,13136,Cherokee
17520,20816,Stokes
18899,21400,Person
675771,762594,Wake
122311,143119,New hanover
21231,24830,Duplin
22999,26056,Halifax
27977,32369,Wilkes
15241,18506,Hoke
9693,11579,Martin
19934,23318,Davie
77424,92499,Pitt
4966,5939,Washington
34903,40612,Wilson
278225,313986,Guilford
188386,216370,Durham
11390,14187,Ashe
36114,41100,Lincoln
8577,9416,Polk
13800,15604,Alexander
91930,107976,Gaston
9525,11085,Hertford
67079,77936,Davidson
45058,53423,Harnett
45585,52811,Nash
37217,41176,Chatham
8684,10184,Bertie
21380,25115,Beaufort
4545,5093,Clay
16912,20565,Pasquotank
31848,35624,Franklin
6354,7104,Pamlico
3424,4037,Graham
26636,32330,Sampson
75712,95788,Out o
1638,1934,Tyrrell
29425,34420,Haywood
5208,6188,Perquimans
20253,24074,Edgecombe
93698,107063,Orange
50679,58610,Craven
4394,5101,Camden
9658,11942,Madison
9817,11669,Currituck
5894,7124,Mitchell
18811,23040,Jackson
53374,60802,Randolph
54421,64574,Henderson
62430,63329,Missing
9552,10604,Warren
77268,88136,Brunswick
186748,226299,Forsyth
53977,61397,Rowan
10351,11708,Montgomery
4197,4692,Jones
141856,163486,Buncombe
34546,39188,Carteret
25533,29765,Lenoir
21742,26143,Dare
6722,8073,Swain
7799,8929,Yancey
33256,37021,Granville
