second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1619,10124,8477,2015,12103,10043,Currituck
99,128,2246,10092,7747,2668,11385,8589,Anson
2167,3226,1002,6927,3758,1211,8562,4125,Swain
354,511,8003,27320,18963,9685,32203,22007,Pender
75,114,847,6064,5142,1124,7311,6073,Mitchell
211,320,3954,18566,14401,4887,21653,16446,Richmond
850,1317,33525,96142,61767,38580,112675,72778,Gaston
914,1319,6927,30228,22387,8117,35904,26468,Haywood
6970,8099,12517,54690,35203,14749,61624,38776,Craven
396,524,11367,32693,20930,12962,36616,23130,Franklin
1172,1522,33172,83051,48707,37549,94253,55182,Iredell
119,168,4356,16131,11656,4916,18491,13407,Yadkin
298,398,4178,22082,17606,4996,25698,20304,Beaufort
919,1311,15195,46742,30628,18230,55074,35533,Harnett
108,144,1559,8505,6838,1744,9393,7505,Polk
17,23,4663,22249,17569,5324,26692,21345,Dare
1933,3100,61459,192108,128716,68514,234444,162830,Forsyth
46552,56496,22285,100850,32013,26850,121499,38153,Onslow
51,71,913,4353,3389,1125,4854,3658,Jones
563,773,15431,46964,30970,17510,54110,35827,Nash
2378,3439,2869,19264,14017,3389,23876,17048,Jackson
228,284,6626,21990,15136,7693,25663,17686,Duplin
26,34,1042,5080,4012,1274,6504,5196,Alleghany
34539,25750,78759,156195,42897,88568,174703,60385,Missing
1439,2081,38660,103220,63121,43182,117266,72003,Cabarrus
946,875,643,4715,3126,784,5324,3665,Camden
92,132,2187,14436,12157,2661,16188,13395,Alexander
347,506,2455,20652,17850,3109,24074,20459,Mcdowell
317,420,6861,27643,20465,7970,32992,24602,Sampson
285,420,8036,26515,18194,9393,30589,20776,Lenoir
426,644,4747,24849,19676,5393,28506,22469,Rutherford
144,184,2244,10632,8244,2765,11969,9020,Montgomery
162,249,6210,18197,11825,7222,21495,14024,Stokes
354,499,9816,36538,26368,12174,42132,29459,Wilson
278,355,5326,21159,15555,6404,24724,17965,Columbus
1254,1820,41661,124886,81971,47382,147569,98367,New hanover
241,382,13202,37394,23951,15818,42638,26438,Lincoln
251,347,6359,20555,13945,7287,24051,16417,Davie
83,123,1147,8251,7021,1364,9258,7771,Northampton
262,371,3901,23770,19607,4725,26891,21795,Halifax
663,893,11568,48377,36146,13954,56343,41496,Robeson
777,1106,4892,15951,10282,6020,19277,12151,Hoke
130,173,805,7993,7058,994,9127,7960,Yancey
431,641,9398,29829,20000,10730,34140,22769,Lee
3813,5677,38613,144775,102349,42493,170527,122357,Buncombe
,,136,2887,2751,165,3245,3080,Hyde
295,403,5335,21029,15399,6416,24718,17899,Edgecombe
224,291,2715,14357,11418,3140,18535,15104,Transylvania
272,377,11177,37186,25737,12938,41623,28308,Chatham
4501,6008,49161,192136,138474,54713,225725,165004,Durham
,,129,1702,1573,166,1969,1803,Tyrrell
690,916,13234,51023,37099,15394,57215,40905,Moore
565,744,17635,54791,36591,20424,62380,41212,Randolph
2887,3451,17323,55510,35300,20029,62796,39316,Rowan
99,124,2724,11753,8930,3156,14683,11403,Ashe
979,1435,11633,56105,43493,13813,67521,52273,Henderson
302,403,5922,22308,16084,6944,25434,18087,Vance
574,913,42833,114316,70909,47919,129661,80829,Union
38,56,1460,5191,3693,1725,6085,4304,Washington
949,1267,20624,69483,47910,23966,80508,55275,Davidson
4259,4605,8575,33819,20985,9895,37780,23280,Granville
66,123,3850,24573,20657,4507,32619,27989,Watauga
316,518,12197,43107,30594,14426,49027,34083,Cleveland
,12,430,4061,3631,508,4596,4076,Gates
293,375,691,3528,2544,860,4118,2883,Graham
391,599,10373,35598,24834,12150,40289,27540,Carteret
1043,1412,21767,87072,64262,24924,98699,72363,Alamance
4588,7606,212707,596295,379000,238371,697345,451368,Mecklenburg
1503,1838,20434,78726,56789,23183,89634,64613,Brunswick
390,477,5747,24621,18484,6673,27561,20411,Stanly
11,15,861,5399,4527,1060,6349,5274,Perquimans
136,221,1145,9843,8562,1276,12253,10756,Madison
14,29,4176,17861,13671,5093,21461,16339,Pasquotank
401,724,25297,75252,49554,29466,84602,54412,Catawba
184,322,8244,33216,24788,10383,38750,28045,Caldwell
195,259,8667,28766,19904,9862,32906,22785,Wilkes
80,101,2190,9282,7012,2599,11087,8387,Greene
338,490,11390,40733,29005,13431,45897,31976,Rockingham
317,470,2336,17020,14367,2890,21214,17854,Macon
,,,80312,80312,,102489,102489,Out o
5865,8554,230700,688827,452262,255493,795772,531725,Wake
117,146,2085,9835,7633,2370,10868,8352,Warren
2239,3498,88263,285026,194524,99950,323831,220383,Guilford
166,216,3395,14424,10863,4151,16520,12153,Bladen
74616,92552,43707,186194,67871,51785,220790,76453,Cumberland
,,1468,6776,5308,1645,8091,6446,Chowan
78,92,889,6494,5527,1151,7253,6010,Pamlico
169,239,3745,15175,11261,4655,17240,12346,Scotland
933,1380,30453,94926,63540,35163,110752,74209,Johnston
56,92,915,4715,3744,1005,5225,4128,Clay
420,578,2117,11866,9329,2693,13404,10133,Cherokee
133,183,1855,9820,7832,2259,11612,9170,Martin
844,1165,22476,95355,72035,24059,112660,87436,Orange
338,494,8862,37111,27911,10521,42202,31187,Burke
227,301,9754,33360,23379,11125,37238,25812,Surry
7870,10483,15032,55736,32834,17860,65141,36798,Wayne
65,99,1283,7988,6640,1502,9549,7948,Avery
1016,1482,24130,79750,54604,28014,95631,66135,Pitt
28,42,1537,9026,7461,1809,10414,8563,Bertie
23,50,2570,9917,7324,3085,11385,8250,Hertford
292,384,4434,19595,14869,5390,22050,16276,Person
71,109,1237,9747,8439,1610,10889,9170,Caswell
