second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1651,10224,8545,2049,12200,10105,Currituck
99,129,2332,10262,7831,2727,11552,8696,Anson
2193,3437,1010,6962,3759,1222,8809,4150,Swain
354,518,8191,27510,18965,9906,32475,22051,Pender
75,114,858,6114,5181,1149,7379,6116,Mitchell
211,320,4018,18790,14561,4968,21971,16683,Richmond
850,1325,34186,97256,62220,39319,114373,73729,Gaston
914,1335,6982,30461,22565,8215,36251,26701,Haywood
7084,8191,12790,55381,35507,15089,62614,39334,Craven
397,524,11563,32969,21009,13182,36997,23291,Franklin
1173,1525,33727,83772,48872,38366,95423,55532,Iredell
119,168,4450,16263,11694,5012,18626,13446,Yadkin
298,399,4269,22352,17785,5115,25964,20450,Beaufort
923,1331,15551,47083,30609,18594,55520,35595,Harnett
108,145,1581,8438,6749,1772,9337,7420,Polk
17,23,4751,22423,17655,5448,26917,21446,Dare
1935,3136,62611,194227,129681,69828,237579,164615,Forsyth
47136,56814,22896,102236,32204,27573,122810,38423,Onslow
51,71,932,4381,3398,1148,4901,3682,Jones
563,773,15750,47259,30946,17857,54461,35831,Nash
2401,3659,2923,19431,14107,3447,24326,17220,Jackson
228,284,6763,22202,15211,7864,26054,17906,Duplin
26,34,1051,5119,4042,1305,6602,5263,Alleghany
34916,27171,80973,165102,49213,91167,188527,70189,Missing
1439,2099,39416,104160,63305,44239,118791,72453,Cabarrus
950,877,669,4761,3142,801,5363,3685,Camden
92,133,2246,14564,12226,2719,16328,13476,Alexander
348,507,2493,20769,17928,3177,24255,20571,Mcdowell
317,424,6964,27835,20554,8138,33315,24753,Sampson
285,420,8191,26785,18309,9623,30950,20907,Lenoir
426,645,4846,25003,19731,5494,28709,22570,Rutherford
144,184,2289,10726,8293,2812,12074,9078,Montgomery
162,249,6322,18410,11926,7343,21740,14148,Stokes
354,500,10072,36969,26543,12471,42664,29693,Wilson
278,356,5420,21234,15536,6563,24953,18034,Columbus
1255,1839,42520,126011,82236,48272,149116,99005,New hanover
241,382,13440,37689,24008,16088,43053,26583,Lincoln
251,348,6477,20798,14070,7407,24294,16539,Davie
83,123,1175,8262,7004,1396,9288,7769,Northampton
262,371,3985,24005,19758,4822,27137,21944,Halifax
664,896,11827,48934,36443,14219,56923,41808,Robeson
779,1124,5012,16159,10368,6159,19542,12259,Hoke
130,173,821,8070,7119,1006,9224,8045,Yancey
431,643,9597,30138,20110,10937,34487,22907,Lee
3816,5701,39137,146525,103572,43138,172460,123621,Buncombe
,,137,2900,2763,167,3305,3138,Hyde
295,403,5473,21173,15405,6561,24877,17913,Edgecombe
224,292,2743,14481,11514,3204,18888,15392,Transylvania
272,382,11499,37485,25714,13143,42029,28504,Chatham
4502,6062,50230,194300,139568,55587,227936,166287,Durham
,,129,1714,1585,167,1983,1816,Tyrrell
690,918,13473,51302,37139,15687,57555,40950,Moore
565,744,17975,55323,36783,20868,63091,41479,Randolph
2889,3481,17643,55904,35372,20406,63259,39372,Rowan
99,124,2759,11869,9011,3212,14844,11508,Ashe
979,1436,11765,56642,43898,14027,68625,53162,Henderson
302,403,6015,22558,16241,7039,25812,18370,Vance
574,915,43911,115830,71345,49191,131726,81620,Union
38,56,1473,5225,3714,1736,6121,4329,Washington
949,1271,20987,70286,48350,24387,81619,55961,Davidson
4313,4709,8728,34021,20980,10040,38090,23341,Granville
66,123,3885,24997,21046,4543,32803,28137,Watauga
316,519,12395,43478,30767,14661,49642,34462,Cleveland
,13,443,4096,3653,517,4621,4091,Gates
299,378,692,3543,2552,862,4137,2897,Graham
391,603,10596,35873,24886,12363,40601,27635,Carteret
1043,1418,22256,87953,64654,25412,100011,73181,Alamance
4621,7668,216709,603447,382117,243189,707368,456511,Mecklenburg
1505,1844,20744,79156,56907,23544,90183,64795,Brunswick
390,477,5865,24843,18588,6803,27847,20567,Stanly
11,15,876,5433,4546,1088,6405,5302,Perquimans
136,221,1152,9942,8654,1318,12415,10876,Madison
14,29,4298,18088,13776,5196,21711,16486,Pasquotank
401,732,25852,76030,49777,30081,85656,54843,Catawba
184,324,8445,33561,24932,10612,39135,28199,Caldwell
195,259,8780,28855,19880,10031,33057,22767,Wilkes
80,101,2234,9347,7033,2653,11219,8465,Greene
338,490,11609,41044,29097,13704,46307,32113,Rockingham
,,,82419,82419,,105007,105007,Out o
317,479,2379,17154,14458,2948,21474,18047,Macon
5865,8598,235106,697560,456589,260779,807337,537960,Wake
