First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13583,11257,1014,635,Currituck,2208,10361,1814,8808
12201,10953,189,109,Anson,2956,9056,2590,8254
9395,7622,3946,2690,Swain,1306,4143,1114,3818
34387,29490,1470,973,Pender,10616,22301,8996,19521
7712,6384,117,75,Mitchell,1261,6334,926,5383
23195,19940,453,259,Richmond,5454,17288,4502,15179
37472,31633,1491,975,Haywood,8584,27397,7343,23315
119458,103109,1840,1074,Gaston,42184,75434,37632,64403
67209,59453,10067,8081,Craven,16319,40823,14017,37355
39534,35244,1273,722,Franklin,14163,24098,12650,21872
100377,89277,1978,1348,Iredell,41562,56837,37397,50532
19395,17066,175,122,Yadkin,5453,13767,4921,12023
27120,23394,635,425,Beaufort,5549,20936,4739,18230
63500,53268,7327,4915,Harnett,20449,35724,17513,30840
9341,8483,183,108,Polk,1847,7311,1678,6697
28045,23544,301,160,Dare,5936,21808,5373,18011
249362,207981,3909,2203,Forsyth,75257,170196,68844,136934
132271,110387,61989,49963,Onslow,30594,39688,26052,34372
5606,4906,542,334,Jones,1249,3815,1029,3543
57057,49716,924,639,Nash,19644,36489,17597,31480
25384,20535,4133,2827,Jackson,3720,17531,3195,14513
29458,25207,2161,1547,Duplin,8520,18777,7470,16190
6909,5404,55,26,Alleghany,1394,5460,1118,4260
246662,211145,41965,43314,Missing,94028,110669,87994,79837
126532,112522,3912,2295,Cabarrus,47971,74649,44144,66083
17460,15417,434,207,Alexander,2975,14051,2490,12720
6604,5292,1914,1255,Camden,876,3814,758,3279
25123,21689,558,351,Mcdowell,3376,21189,2707,18631
35221,29414,624,413,Sampson,8934,25663,7697,21304
32616,28460,438,292,Lenoir,10496,21682,9145,19023
29870,26185,713,452,Rutherford,5901,23256,5276,20457
12526,11102,264,183,Montgomery,3022,9240,2486,8433
22624,19356,326,198,Stokes,7782,14516,6864,12294
25587,21895,449,324,Columbus,7218,17920,6140,15431
45425,39799,578,396,Wilson,13823,31024,11560,27843
155370,133458,3165,1952,New hanover,51487,100718,46549,84957
44722,39677,398,243,Lincoln,17183,27141,14734,24700
25514,21974,473,300,Davie,7953,17088,7070,14604
