County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13766,11416,1090,665,2253,10423,1859,8892
Anson,12507,11209,228,146,3117,9162,2737,8326
Swain,9700,7897,4207,2986,1345,4148,1142,3769
Pender,35157,30081,1530,997,10941,22686,9274,19810
Mitchell,7876,6545,124,75,1302,6450,964,5506
Richmond,23974,20715,525,345,5690,17759,4707,15663
Haywood,38335,32379,1613,1021,8739,27983,7507,23851
Gaston,122229,105505,2006,1212,43547,76676,39025,65268
Craven,68874,61045,10012,8079,16842,42020,14538,38428
Franklin,41173,36593,1416,859,14641,25116,13077,22657
Iredell,102441,90996,2151,1482,42973,57317,38754,50760
Yadkin,19816,17462,193,132,5657,13966,5150,12180
Beaufort,27784,24050,715,464,5802,21267,4968,18618
Harnett,64696,54588,7439,5201,21346,35911,18521,30866
Polk,9070,8153,213,121,1881,6976,1705,6327
Dare,28446,23950,384,173,6072,21990,5516,18261
Forsyth,258392,215133,4235,2473,77893,176264,71503,141157
Onslow,133579,111851,60813,49145,31858,40908,27376,35330
Jones,5813,5117,583,406,1302,3928,1071,3640
Nash,58030,50624,1019,682,20426,36585,18362,31580
Jackson,25789,20992,4310,3104,3845,17634,3317,14571
Duplin,30131,25923,2247,1635,8811,19073,7800,16488
Alleghany,7008,5531,69,38,1421,5518,1153,4340
Missing,294760,237377,39846,43839,95756,159158,89974,103564
Cabarrus,129220,114680,4185,2584,49626,75409,45761,66335
Camden,6837,5372,2056,1246,912,3869,788,3338
Alexander,18135,16141,475,283,3065,14595,2590,13268
Mcdowell,25414,21974,625,383,3489,21300,2811,18780
Sampson,35898,30159,675,472,9210,26013,7996,21691
Lenoir,33564,29345,494,309,10974,22096,9583,19453
Rutherford,30426,26722,759,471,6062,23605,5442,20809
Montgomery,12780,11271,297,201,3138,9345,2581,8489
Stokes,23200,19917,357,213,7985,14858,7065,12639
Wilson,46868,41215,654,418,14446,31768,12219,28578
Columbus,25876,22246,479,358,7460,17937,6426,15462
Lincoln,44856,39781,416,249,17674,26766,15276,24256
New hanover,158930,136650,3388,2150,52911,102631,47964,86536
Davie,26124,22654,527,329,8135,17462,7316,15009
Northampton,9352,8311,194,98,1565,7593,1337,6876
Halifax,29053,25697,592,387,5537,22924,4626,20684
Robeson,62599,54400,1543,1046,16386,44670,13996,39358
Hoke,27071,22050,6388,4501,7204,13479,6024,11525
Yancey,9782,8644,180,134,1114,8488,924,7586
Lee,37763,33200,725,466,12438,24600,11175,21559
Buncombe,185336,158641,7327,4391,45579,132430,42359,111891
Hyde,3494,3179,12,,179,3303,154,3025
Edgecombe,26954,22848,929,571,7692,18333,6532,15745
Transylvania,19968,15543,393,258,3505,16070,2999,12286
Chatham,49302,43519,4963,3234,14117,30222,12675,27610
Durham,250051,217367,8118,5485,61559,180374,57275,154607
Tyrrell,2082,1820,,,183,1899,143,1677
Moore,64204,56804,5029,3311,17382,41793,15346,38147
Randolph,67755,59788,959,659,23585,43211,20849,38280
Rowan,67564,59324,4240,3290,23098,40226,20492,35542
Ashe,16441,13152,236,141,3475,12730,2939,10072
Henderson,73418,61453,1762,1055,15129,56527,12960,47438
Vance,28709,25167,497,344,7882,20330,6828,17995
Union,138776,124707,1431,786,55391,81954,51494,72427
Washington,6577,5703,67,41,1855,4655,1612,4050
Davidson,89211,77112,2237,1394,27119,59855,23930,51788
Granville,40945,36427,5594,4826,10991,24360,9803,21798
Watauga,33132,25808,223,116,4819,28090,4143,21549
Cleveland,52557,46566,727,406,16043,35787,13907,32253
Graham,4301,3678,457,339,909,2935,746,2593
