County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13767,11417,1090,665,2253,10424,1859,8893
Anson,12504,11210,228,146,3117,9159,2737,8327
Swain,9703,7901,4209,2990,1345,4149,1142,3769
Pender,35167,30087,1531,997,10944,22692,9276,19814
Mitchell,7877,6546,124,75,1302,6451,964,5507
Richmond,23980,20717,525,345,5691,17764,4707,15665
Haywood,38321,32365,1613,1021,8740,27968,7509,23835
Gaston,122220,105487,2007,1212,43556,76657,39030,65245
Craven,68886,61064,10013,8080,16844,42029,14542,38442
Franklin,41181,36604,1416,859,14645,25120,13082,22663
Iredell,102428,90990,2151,1482,42979,57298,38762,50746
Yadkin,19821,17464,193,132,5657,13971,5151,12181
Beaufort,27786,24053,715,464,5802,21269,4971,18618
Harnett,64707,54599,7439,5203,21349,35919,18524,30872
Polk,9079,8156,213,121,1881,6985,1705,6330
Dare,28452,23960,384,173,6072,21996,5518,18269
Forsyth,258439,215191,4235,2473,77911,176293,71520,141198
Onslow,133609,111883,60832,49163,31863,40914,27385,35335
Jones,5814,5118,583,406,1303,3928,1071,3641
Nash,58018,50618,1019,684,20434,36565,18366,31568
Jackson,25789,20996,4310,3104,3845,17634,3318,14574
Duplin,30142,25929,2248,1635,8816,19078,7802,16492
Alleghany,7008,5530,69,38,1422,5517,1153,4339
Missing,294935,237614,39846,43838,95750,159339,89960,103816
Cabarrus,129204,114643,4185,2585,49635,75384,45769,66289
Camden,6836,5371,2058,1248,912,3866,788,3335
Alexander,18135,16146,475,283,3064,14596,2590,13273
Mcdowell,25407,21967,625,383,3489,21293,2811,18773
Sampson,35902,30157,675,472,9211,26016,7997,21688
Lenoir,33578,29352,494,309,10983,22101,9585,19458
Rutherford,30430,26720,759,471,6065,23606,5442,20807
Montgomery,12779,11271,297,201,3139,9343,2582,8488
Stokes,23207,19928,357,213,7985,14865,7066,12649
Columbus,25878,22251,479,359,7462,17937,6430,15462
Wilson,46874,41218,654,418,14451,31769,12221,28579
Lincoln,44844,39772,416,249,17675,26753,15277,24246
New hanover,158950,136687,3388,2151,52919,102643,47975,86561
Davie,26126,22665,527,329,8135,17464,7317,15019
Northampton,9348,8308,194,98,1566,7588,1337,6873
Halifax,29057,25698,592,387,5537,22928,4627,20684
Robeson,62615,54412,1543,1046,16391,44681,14000,39366
Hoke,27077,22069,6391,4516,7207,13479,6026,11527
Yancey,9783,8646,180,134,1114,8489,924,7588
Lee,37786,33225,725,466,12441,24620,11175,21584
Buncombe,185374,158678,7329,4391,45584,132461,42361,111926
Hyde,3493,3178,12,,179,3302,154,3024
Edgecombe,26950,22861,929,571,7694,18327,6533,15757
Transylvania,19971,15547,393,258,3505,16073,2999,12290
Chatham,49342,43535,4966,3235,14118,30258,12674,27626
Durham,250150,217446,8118,5485,61574,180458,57286,154675
Tyrrell,2081,1821,,,183,1898,143,1678
Moore,64248,56837,5030,3311,17386,41832,15346,38180
Randolph,67772,59805,959,660,23588,43225,20851,38294
Rowan,67561,59319,4241,3290,23102,40218,20497,35532
Ashe,16454,13168,236,141,3475,12743,2939,10088
Henderson,73430,61454,1762,1055,15131,56537,12960,47439
