OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,StateCases,USCases,USDeaths,CountyCases,Hosp,Pop2018,Rate10K,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,679,6,55,5551793,173490,100,996,91010,74.6071860235139,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,6314,163,55,5551793,173490,100,996,537174,117.541057459966,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,2838,44,55,5551793,173490,100,996,169509,167.42473850946,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,362,2,55,5551793,173490,100,996,37497,96.5410566178628,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,2307,43,55,5551793,173490,100,996,143667,160.579673829063,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,2660,46,55,5551793,173490,100,996,123131,216.030081782817,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,182,1,55,5551793,173490,100,996,27203,66.9043855457119,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,186,0,55,5551793,173490,100,996,11137,167.010864685283,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,89,0,55,5551793,173490,100,996,27763,32.0570543529157,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,84,2,55,5551793,173490,100,996,10867,77.2982423852029,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,1076,11,55,5551793,173490,100,996,71783,149.896214981263,0.140350927317286,1.76160942158441
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,71,2,55,5551793,173490,100,996,11562,61.4080608891195,0.0899798985994948,1.39825742996753
13,13,0,178531.078125,HERTFORD,37091,91,091,Hertford,Hertford County,450,12,55,5551793,173490,100,996,23677,190.057862060227,0.0939751796515793,1.85185126536062
14,14,0,233920.75,NORTHAMPTON,37131,131,131,Northampton,Northampton County,331,17,55,5551793,173490,100,996,19483,169.891700456809,0.14308298336914,2.42716213499337
15,15,0,138205.25,STOKES,37169,169,169,Stokes,Stokes County,318,3,55,5551793,173490,100,996,45591,69.7506086727644,0.118623983185444,1.40435816871631
16,16,0,150724.609375,WARREN,37185,185,185,Warren,Warren County,281,6,55,5551793,173490,100,996,19731,142.415488317875,0.115341343672299,1.51128223847269
17,17,0,118698.65625,VANCE,37181,181,181,Vance,Vance County,852,41,55,5551793,173490,100,996,44535,191.310205456383,0.070179543057975,1.14473069536426
18,18,0,174102.328125,GRANVILLE,37077,77,077,Granville,Granville County,1430,37,55,5551793,173490,100,996,60443,236.586536075311,0.139359229865704,1.70187067145839
19,19,0,133013.5,CASWELL,37033,33,033,Caswell,Caswell County,214,2,55,5551793,173490,100,996,22604,94.6735091134313,0.111572693180051,1.34288282986952
20,20,0,129423.3203125,PERSON,37145,145,145,Person,Person County,271,2,55,5551793,173490,100,996,39490,68.6249683464168,0.105097039715247,1.29914427033017
21,21,0,162068.828125,PASQUOTANK,37139,139,139,Pasquotank,Pasquotank County,504,22,55,5551793,173490,100,996,39824,126.556850140619,0.0751113008238917,1.6188989304615
22,22,0,270593.875,HALIFAX,37083,83,083,Halifax,Halifax County,806,9,55,5551793,173490,100,996,50010,161.167766446711,0.18991335212695,2.73814798913988
23,23,0,216503.140625,WILKES,37193,193,193,Wilkes,Wilkes County,962,20,55,5551793,173490,100,996,68412,140.618604923113,0.196969456212855,2.18028792389026
24,24,0,133521.765625,WATAUGA,37189,189,189,Watauga,Watauga County,376,0,55,5551793,173490,100,996,56177,66.9313064065365,0.0811479768642585,1.36906561809074
25,25,0,133816.640625,PERQUIMANS,37143,143,143,Perquimans,Perquimans County,101,2,55,5551793,173490,100,996,13463,75.0204263537102,0.0853499151096457,1.34500909577406
26,26,0,133144.65625,CHOWAN,37041,41,041,Chowan,Chowan County,176,2,55,5551793,173490,100,996,13943,126.228214874848,0.0605077815141613,1.31819826650059
27,27,0,131006.046875,AVERY,37011,11,011,Avery,Avery County,118,0,55,5551793,173490,100,996,17557,67.2096599646865,0.06412235129892,1.29065234199669
28,28,0,137763.21875,YADKIN,37197,197,197,Yadkin,Yadkin County,596,7,55,5551793,173490,100,996,37667,158.228688241697,0.0876075710527857,1.40976723947873
29,29,0,289002.53125,DARE,37055,55,055,Dare,Dare County,225,2,55,5551793,173490,100,996,37009,60.7960225890999,0.321998277829834,2.76064607342702
30,30,0,149433.875,FORSYTH,37067,67,067,Forsyth,Forsyth County,5790,66,55,5551793,173490,100,996,382295,151.453720294537,0.10684173390996,1.53059125161316
31,31,0,172475.375,FRANKLIN,37069,69,069,Franklin,Franklin County,965,28,55,5551793,173490,100,996,69685,138.480304226161,0.128239219287025,1.71257103412168
32,32,0,250455.5,BERTIE,37015,15,015,Bertie,Bertie County,354,5,55,5551793,173490,100,996,18947,186.836966274344,0.192072519100066,2.57006827720001
33,33,0,132175.875,ORANGE,37135,135,135,Orange,Orange County,1808,50,55,5551793,173490,100,996,148476,121.770521835179,0.104031034647051,1.29663456560082
34,34,0,137208.90625,DURHAM,37063,63,063,Durham,Durham County,6577,81,55,5551793,173490,100,996,321488,204.579953217538,0.0773358693418231,1.34470902060974
35,35,0,188138.15625,NASH,37127,127,127,Nash,Nash County,1446,21,55,5551793,173490,100,996,94298,153.343655220683,0.140457073777043,1.86111439809316
36,36,0,167614.421875,MITCHELL,37121,121,121,Mitchell,Mitchell County,84,3,55,5551793,173490,100,996,14964,56.1347233360064,0.0573869881452538,1.67857640912082
37,37,0,178221.984375,EDGECOMBE,37065,65,065,Edgecombe,Edgecombe County,830,17,55,5551793,173490,100,996,51472,161.252719925396,0.131056422336997,1.76539199292572
38,38,0,164491.828125,CALDWELL,37027,27,027,Caldwell,Caldwell County,1347,14,55,5551793,173490,100,996,82178,163.912482659593,0.122821340134578,1.67204641441956
39,39,0,212426.296875,TYRRELL,37177,177,177,Tyrrell,Tyrrell County,103,2,55,5551793,173490,100,996,4016,256.474103585657,0.157438685753959,2.1372758500101
40,40,0,162933.1875,YANCEY,37199,199,199,Yancey,Yancey County,85,0,55,5551793,173490,100,996,18069,47.0418949582157,0.0809485697957371,1.62271433486685
41,41,0,199718.171875,MADISON,37115,115,115,Madison,Madison County,57,1,55,5551793,173490,100,996,21755,26.2008733624454,0.116765470994551,2.03022383529877
42,42,0,224334.859375,MARTIN,37117,117,117,Martin,Martin County,309,7,55,5551793,173490,100,996,22440,137.700534759358,0.11950711427221,2.27534749883336
43,43,0,216781.765625,WAKE,37183,183,183,Wake,Wake County,13522,188,55,5551793,173490,100,996,1111761,121.626860449323,0.221127438123403,2.20235247868815
44,44,0,145180.34375,DAVIE,37059,59,059,Davie,Davie County,455,6,55,5551793,173490,100,996,42846,106.194277178733,0.0689515311403284,1.44582379891087
45,45,0,146686.421875,WASHINGTON,37187,187,187,Washington,Washington County,159,4,55,5551793,173490,100,996,11580,137.305699481865,0.10723246065595,1.49814056825872
46,46,0,191884.59375,BURKE,37023,23,023,Burke,Burke County,1783,27,55,5551793,173490,100,996,90485,197.049234679781,0.132451972450554,1.93191906346433
47,47,0,195511.96875,DAVIDSON,37057,57,057,Davidson,Davidson County,2002,31,55,5551793,173490,100,996,167609,119.444659892965,0.146569618643753,1.93462025976034
48,48,0,178542.265625,MCDOWELL,37111,111,111,McDowell,McDowell County,750,23,55,5551793,173490,100,996,45756,163.912929451875,0.115560588180415,1.80072401850976
49,49,0,223043.875,CHATHAM,37037,37,037,Chatham,Chatham County,1404,56,55,5551793,173490,100,996,74470,188.532294883846,0.182861464275675,2.26458351174672
50,50,0,132574.046875,WILSON,37195,195,195,Wilson,Wilson County,1645,36,55,5551793,173490,100,996,81801,201.097786090635,0.0965400759705517,1.36398268831217
51,51,0,238712.78125,BUNCOMBE,37021,21,021,Buncombe,Buncombe County,2237,62,55,5551793,173490,100,996,261191,85.6461363523245,0.169994957617973,2.43216815406571
52,52,0,202233.390625,HAYWOOD,37087,87,087,Haywood,Haywood County,483,25,55,5551793,173490,100,996,62317,77.5069403212607,0.142792056800545,2.02964824017962
53,53,0,149383.90625,CATAWBA,37035,35,035,Catawba,Catawba County,2423,38,55,5551793,173490,100,996,159551,151.863667416688,0.106727319936908,1.54847342807351
54,54,0,222342.0625,PITT,37147,147,147,Pitt,Pitt County,2572,15,55,5551793,173490,100,996,180742,142.302287238163,0.168701966469598,2.24610679607181
55,55,0,202073.828125,JOHNSTON,37101,101,101,Johnston,Johnston County,3562,49,55,5551793,173490,100,996,209339,170.154629572129,0.204818719817695,2.02633215740394
56,56,0,257407.46875,SWAIN,37173,173,173,Swain,Swain County,123,3,55,5551793,173490,100,996,14271,86.1887744376708,0.138944044814252,2.63742412834785
57,57,0,265110.375,BEAUFORT,37013,13,013,Beaufort,Beaufort County,491,9,55,5551793,173490,100,996,46994,104.481423160403,0.246600701217176,2.71430738310029
58,58,0,309015.25,HYDE,37095,95,095,Hyde,Hyde County,70,0,55,5551793,173490,100,996,4937,141.786510026332,0.354334691945496,3.12409143500543
59,59,0,122934.2265625,GREENE,37079,79,079,Greene,Greene County,363,3,55,5551793,173490,100,996,21069,172.291043713513,0.0685290755889127,1.23068508344354
60,60,0,195801.34375,RUTHERFORD,37161,161,161,Rutherford,Rutherford County,875,17,55,5551793,173490,100,996,67029,130.540512315565,0.145307926949044,1.95579621014703
61,61,0,126332.328125,LEE,37105,105,105,Lee,Lee County,1372,11,55,5551793,173490,100,996,61779,222.081937227861,0.066700814914384,1.26918996901629
