OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,StateCases,USCases,USDeaths,CountyCases,Hosp,Pop2018,Rate10K,DeathPer1K,AntigenCases,AntigenDeaths,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,1028,11,55,6343562,190262,100,938,91010,112.954620371388,0.1208658389188,1,0,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,7529,174,55,6343562,190262,100,938,537174,140.159426926843,0.323917389896011,37,0,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,3502,48,55,6343562,190262,100,938,169509,206.596699880242,0.283170805089995,8,0,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,464,3,55,6343562,190262,100,938,37497,123.743232791957,0.080006400512041,1,0,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,2555,48,55,6343562,190262,100,938,143667,177.84181475217,0.334105953350456,58,0,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,2981,62,55,6343562,190262,100,938,123131,242.099877366382,0.503528762050174,38,0,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,238,1,55,6343562,190262,100,938,27203,87.4903503290078,0.0367606513987428,2,0,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,214,0,55,6343562,190262,100,938,11137,192.152285175541,0,0,0,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,133,0,55,6343562,190262,100,938,27763,47.9054857184022,0,0,0,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,103,3,55,6343562,190262,100,938,10867,94.7823686389988,0.276065151375725,0,0,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,1232,20,55,6343562,190262,100,938,71783,171.628379978546,0.278617499965173,15,0,0.140350927317286,1.76160942158441
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,103,3,55,6343562,190262,100,938,11562,89.0849334025255,0.259470679813181,3,0,0.0899798985994948,1.39825742996753
13,13,0,178531.078125,HERTFORD,37091,91,091,Hertford,Hertford County,628,23,55,6343562,190262,100,938,23677,265.236305275162,0.97140685053005,1,0,0.0939751796515793,1.85185126536062
14,14,0,233920.75,NORTHAMPTON,37131,131,131,Northampton,Northampton County,370,17,55,6343562,190262,100,938,19483,189.909151568034,0.872555561258533,15,0,0.14308298336914,2.42716213499337
15,15,0,138205.25,STOKES,37169,169,169,Stokes,Stokes County,382,3,55,6343562,190262,100,938,45591,83.7884670219999,0.0658024610120418,0,0,0.118623983185444,1.40435816871631
16,16,0,150724.609375,WARREN,37185,185,185,Warren,Warren County,298,7,55,6343562,190262,100,938,19731,151.031371952765,0.354771679083675,0,0,0.115341343672299,1.51128223847269
17,17,0,118698.65625,VANCE,37181,181,181,Vance,Vance County,970,43,55,6343562,190262,100,938,44535,217.806219827102,0.965532727068598,0,0,0.070179543057975,1.14473069536426
18,18,0,174102.328125,GRANVILLE,37077,77,077,Granville,Granville County,1629,48,55,6343562,190262,100,938,60443,269.510116969707,0.794136624588455,0,0,0.139359229865704,1.70187067145839
