OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,StateCases,USCases,USDeaths,CountyCases,Hosp,Pop2018,Rate10K,DeathPer1K,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,1628,17,55,7835007,215194,100,1140,91010,178.881441599824,0.18679266014724,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,10184,191,55,7835007,215194,100,1140,537174,189.584752798907,0.35556449120769,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,4580,59,55,7835007,215194,100,1140,169509,270.192143190037,0.34806411458979,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,636,9,55,7835007,215194,100,1140,37497,169.613569085527,0.24001920153612,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,3354,57,55,7835007,215194,100,1140,143667,233.456534903631,0.39675081960367,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,3996,76,55,7835007,215194,100,1140,123131,324.532408572983,0.61722880509376,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,347,1,55,7835007,215194,100,1140,27203,127.559460353637,0.03676065139874,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,261,1,55,7835007,215194,100,1140,11137,234.353955284188,0.08979078746521,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,213,4,55,7835007,215194,100,1140,27763,76.7208154738321,0.14407664877715,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,130,3,55,7835007,215194,100,1140,10867,119.628232262814,0.27606515137572,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,1542,26,55,7835007,215194,100,1140,71783,214.814092473148,0.36220274995472,0.140350927317286,1.76160942158441
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,158,3,55,7835007,215194,100,1140,11562,136.654558034942,0.25947067981318,0.0899798985994948,1.39825742996753
13,13,0,178531.078125,HERTFORD,37091,91,091,Hertford,Hertford County,836,34,55,7835007,215194,100,1140,23677,353.085272627444,1.43599273556616,0.0939751796515793,1.85185126536062
14,14,0,233920.75,NORTHAMPTON,37131,131,131,Northampton,Northampton County,513,17,55,7835007,215194,100,1140,19483,263.306472309193,0.87255556125853,0.14308298336914,2.42716213499337
15,15,0,138205.25,STOKES,37169,169,169,Stokes,Stokes County,595,5,55,7835007,215194,100,1140,45591,130.50821434055,0.1096707683534,0.118623983185444,1.40435816871631
16,16,0,150724.609375,WARREN,37185,185,185,Warren,Warren County,383,7,55,7835007,215194,100,1140,19731,194.110790127211,0.35477167908368,0.115341343672299,1.51128223847269
17,17,0,118698.65625,VANCE,37181,181,181,Vance,Vance County,1128,46,55,7835007,215194,100,1140,44535,253.283933984507,1.03289547546873,0.070179543057975,1.14473069536426
18,18,0,174102.328125,GRANVILLE,37077,77,077,Granville,Granville County,1868,50,55,7835007,215194,100,1140,60443,309.051503069007,0.82722565061297,0.139359229865704,1.70187067145839
19,19,0,133013.5,CASWELL,37033,33,033,Caswell,Caswell County,535,5,55,7835007,215194,100,1140,22604,236.683772783578,0.2211997876482,0.111572693180051,1.34288282986952
20,20,0,129423.3203125,PERSON,37145,145,145,Person,Person County,534,9,55,7835007,215194,100,1140,39490,135.224107368954,0.22790579893644,0.105097039715247,1.29914427033017
21,21,0,162068.828125,PASQUOTANK,37139,139,139,Pasquotank,Pasquotank County,801,33,55,7835007,215194,100,1140,39824,201.134993973483,0.82864604258738,0.0751113008238917,1.6188989304615
22,22,0,270593.875,HALIFAX,37083,83,083,Halifax,Halifax County,1210,24,55,7835007,215194,100,1140,50010,241.951609678064,0.47990401919616,0.18991335212695,2.73814798913988
23,23,0,216503.140625,WILKES,37193,193,193,Wilkes,Wilkes County,1511,36,55,7835007,215194,100,1140,68412,220.867684032041,0.52622346956674,0.196969456212855,2.18028792389026
24,24,0,133521.765625,WATAUGA,37189,189,189,Watauga,Watauga County,1266,2,55,7835007,215194,100,1140,56177,225.359132741157,0.03560175872688,0.0811479768642585,1.36906561809074
25,25,0,133816.640625,PERQUIMANS,37143,143,143,Perquimans,Perquimans County,218,3,55,7835007,215194,100,1140,13463,161.925276684246,0.22283294956548,0.0853499151096457,1.34500909577406
26,26,0,133144.65625,CHOWAN,37041,41,041,Chowan,Chowan County,477,5,55,7835007,215194,100,1140,13943,342.10715054149,0.35860288316718,0.0605077815141613,1.31819826650059
27,27,0,131006.046875,AVERY,37011,11,011,Avery,Avery County,481,0,55,7835007,215194,100,1140,17557,273.964800364527,0,0.06412235129892,1.29065234199669
28,28,0,137763.21875,YADKIN,37197,197,197,Yadkin,Yadkin County,875,9,55,7835007,215194,100,1140,37667,232.298829213901,0.23893593862001,0.0876075710527857,1.40976723947873
29,29,0,289002.53125,DARE,37055,55,055,Dare,Dare County,314,3,55,7835007,215194,100,1140,37009,84.8442270798995,0.08106136345213,0.321998277829834,2.76064607342702
30,30,0,149433.875,FORSYTH,37067,67,067,Forsyth,Forsyth County,7887,110,55,7835007,215194,100,1140,382295,206.306648007429,0.28773591074955,0.10684173390996,1.53059125161316
31,31,0,172475.375,FRANKLIN,37069,69,069,Franklin,Franklin County,1358,31,55,7835007,215194,100,1140,69685,194.876946258162,0.44485900839492,0.128239219287025,1.71257103412168
32,32,0,250455.5,BERTIE,37015,15,015,Bertie,Bertie County,666,13,55,7835007,215194,100,1140,18947,351.506834855122,0.68612445241991,0.192072519100066,2.57006827720001
33,33,0,132175.875,ORANGE,37135,135,135,Orange,Orange County,2886,57,55,7835007,215194,100,1140,148476,194.374848460357,0.38390042835206,0.104031034647051,1.29663456560082
34,34,0,137208.90625,DURHAM,37063,63,063,Durham,Durham County,8441,97,55,7835007,215194,100,1140,321488,262.560344398547,0.30172199273379,0.0773358693418231,1.34470902060974
35,35,0,188138.15625,NASH,37127,127,127,Nash,Nash County,2959,56,55,7835007,215194,100,1140,94298,313.792445226834,0.59386201191966,0.140457073777043,1.86111439809316
36,36,0,167614.421875,MITCHELL,37121,121,121,Mitchell,Mitchell County,178,4,55,7835007,215194,100,1140,14964,118.952151831061,0.26730820636194,0.0573869881452538,1.67857640912082
37,37,0,178221.984375,EDGECOMBE,37065,65,065,Edgecombe,Edgecombe County,1705,52,55,7835007,215194,100,1140,51472,331.248057196146,1.01025800435188,0.131056422336997,1.76539199292572
