OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,USCases,USDeaths,Hosp,Rate10K,DeathPer1K,Pop2019,Day14,Day1410K,PriorDay,PriorDayRate,PctPos,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,1762,17,8128524,218986,1203,193.605098340842,0.18679266014724,91010,317,34.8313372156906,13,1.42841445994946,7.4,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,10571,195,8128524,218986,1203,196.789122332801,0.36301086798691,537174,1186,22.0785071503833,57,1.06110869103866,7.4,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,4828,72,8128524,218986,1203,284.822634786354,0.42475620763499,169509,590,34.8064114589786,13,0.76692093045207,7.4,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,730,9,8128524,218986,1203,194.682241245966,0.24001920153612,37497,164,43.7368322799157,24,6.40051204096328,7.4,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,3511,60,8128524,218986,1203,244.384583794469,0.41763244168807,143667,470,32.7145412655655,18,1.25289732506421,7.4,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,4200,79,8128524,218986,1203,341.100129130763,0.64159310003167,123131,558,45.3175885845157,10,0.812143164597055,7.4,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,370,1,8128524,218986,1203,136.014410175348,0.03676065139874,27203,72,26.4676690070948,3,1.10281954196228,7.4,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,270,1,8128524,218986,1203,242.435126156056,0.08979078746521,11137,21,18.8560653676933,1,0.897907874652061,7.4,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,219,4,8128524,218986,1203,78.8819652054893,0.14407664877715,27763,22,7.92421568274322,3,1.08057486582862,7.4,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,133,3,8128524,218986,1203,122.388883776571,0.27606515137572,10867,9,8.28195454127174,0,0,7.4,0.0794412878267394,2.06695672033485
