OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,USCases,USDeaths,Hosp,Rate10K,DeathPer1K,Pop2019,Day14,Day1410K,PctPos,Diff24Hr,Diff24HrRate10K,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,1766,18,8188585,219499,1219,194.044610482365,0.19778046368531,91010,310,34.0621909680255,7.4,4,0.43951214152291,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,10619,196,8188585,219499,1219,197.682687546307,0.36487246218171,537174,1188,22.1157390342794,7.4,48,0.893565213506238,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,4852,72,8188585,219499,1219,286.238488811804,0.42475620763499,169509,588,34.6884236235244,7.4,24,1.41585402544998,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,741,9,8188585,219499,1219,197.615809264741,0.24001920153612,37497,169,45.0702722884498,7.4,11,2.93356801877484,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,3542,60,8188585,219499,1219,246.542351409858,0.41763244168807,143667,483,33.6194115558897,7.4,31,2.15776761538836,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,4252,79,8188585,219499,1219,345.323273586668,0.64159310003167,123131,552,44.8303026857575,7.4,52,4.22314445590469,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,370,1,8188585,219499,1219,136.014410175348,0.03676065139874,27203,65,23.8944234091828,7.4,0,0,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,271,1,8188585,219499,1219,243.333034030708,0.08979078746521,11137,22,19.7539732423453,7.4,1,0.897907874652061,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,220,4,8188585,219499,1219,79.2421568274322,0.14407664877715,27763,22,7.92421568274322,7.4,1,0.360191621942874,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,133,3,8188585,219499,1219,122.388883776571,0.27606515137572,10867,8,7.36173737001933,7.4,0,0,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,1661,29,8188585,219499,1219,231.391833721076,0.4039953749495,71783,219,30.5086162461864,7.4,15,2.0896312497388,0.140350927317286,1.76160942158441
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,164,3,8188585,219499,1219,141.843971631206,0.25947067981318,11562,12,10.3788271925272,7.4,2,1.72980453208787,0.0899798985994948,1.39825742996753
13,13,0,178531.078125,HERTFORD,37091,91,091,Hertford,Hertford County,845,34,8188585,219499,1219,356.886429868649,1.43599273556616,23677,26,10.9811209190354,7.4,1,0.422350804578283,0.0939751796515793,1.85185126536062
14,14,0,233920.75,NORTHAMPTON,37131,131,131,Northampton,Northampton County,530,18,8188585,219499,1219,272.032027921778,0.92388235897962,19483,38,19.5041831340143,7.4,4,2.05307190884361,0.14308298336914,2.42716213499337
15,15,0,138205.25,STOKES,37169,169,169,Stokes,Stokes County,635,8,8188585,219499,1219,139.281875808822,0.17547322936544,45591,114,25.0049351845759,7.4,4,0.877366146827225,0.118623983185444,1.40435816871631
16,16,0,150724.609375,WARREN,37185,185,185,Warren,Warren County,405,7,8188585,219499,1219,205.260757184127,0.35477167908368,19731,37,18.7522173229943,7.4,4,2.027266737621,0.115341343672299,1.51128223847269
