OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,USCases,USDeaths,Hosp,DeathPer1K,Pop2019,Day14,PctPos,Diff24Hr,Rate100K,Day14Rate100k,Diff24HrRate100k,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,3502,23,15040175,285351,2444,0.25271948137567,91010,488,10.5,52,3847.92879903307,536.20481265795,57.1365783979782,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,19321,272,15040175,285351,2444,0.50635362098687,537174,2966,10.5,312,3596.78614378209,552.148838179063,58.0817388779055,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,8187,112,15040175,285351,2444,0.66073187854332,169509,1176,10.5,93,4829.83204431623,693.768472470488,54.8643434861866,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,1940,19,15040175,285351,2444,0.50670720324293,37497,352,10.5,17,5173.74723311198,938.741766007947,45.3369602901565,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,6255,100,15040175,285351,2444,0.69605406948012,143667,960,10.5,99,4353.81820459813,668.211906700913,68.9093528785316,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,6369,121,15040175,285351,2444,0.98269322916244,123131,682,10.5,64,5172.53981531864,553.881638255192,51.9771625342115,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,941,3,15040175,285351,2444,0.11028195419623,27203,133,10.5,6,3459.1772966217,488.916663603279,22.0563908392457,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,455,1,15040175,285351,2444,0.08979078746521,11137,55,10.5,10,4085.48082966688,493.849331058633,89.7907874652061,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,445,6,15040175,285351,2444,0.21611497316572,27763,123,10.5,14,1602.85271764579,443.035694989735,50.4268270720023,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,219,4,15040175,285351,2444,0.36808686850097,10867,43,10.5,5,2015.27560504279,395.693383638539,46.0108585626208,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,3250,49,15040175,285351,2444,0.68261287491467,71783,512,10.5,63,4527.53437443406,713.260799910842,87.7645124890294,0.140350927317286,1.76160942158441
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,264,10,15040175,285351,2444,0.86490226604394,11562,55,10.5,2,2283.34198235599,475.696246324165,17.2980453208787,0.0899798985994948,1.39825742996753
13,13,0,178531.078125,HERTFORD,37091,91,091,Hertford,Hertford County,1105,42,15040175,285351,2444,1.77387337922879,23677,121,10.5,27,4666.97639059002,511.044473539722,114.034717236136,0.0939751796515793,1.85185126536062
14,14,0,233920.75,NORTHAMPTON,37131,131,131,Northampton,Northampton County,901,27,15040175,285351,2444,1.38582353846944,19483,82,10.5,11,4624.54447467023,420.87974131294,56.4594774931992,0.14308298336914,2.42716213499337
15,15,0,138205.25,STOKES,37169,169,169,Stokes,Stokes County,1395,22,15040175,285351,2444,0.48255138075497,45591,253,10.5,19,3059.81443705995,554.93408786822,41.6748919742932,0.118623983185444,1.40435816871631
16,16,0,150724.609375,WARREN,37185,185,185,Warren,Warren County,891,8,15040175,285351,2444,0.4054533475242,19731,243,10.5,10,4515.73665805078,1231.56454310476,50.6816684405251,0.115341343672299,1.51128223847269
17,17,0,118698.65625,VANCE,37181,181,181,Vance,Vance County,2072,60,15040175,285351,2444,1.34725496800269,44535,374,10.5,39,4652.52048950264,839.788930055013,87.5715729201751,0.070179543057975,1.14473069536426
18,18,0,174102.328125,GRANVILLE,37077,77,077,Granville,Granville County,2847,59,15040175,285351,2444,0.97612626772331,60443,319,10.5,53,4710.22285459028,527.769965091078,87.6859189649753,0.139359229865704,1.70187067145839
19,19,0,133013.5,CASWELL,37033,33,033,Caswell,Caswell County,924,8,15040175,285351,2444,0.35391966023713,22604,97,10.5,16,4087.77207573881,429.127588037516,70.7839320474252,0.111572693180051,1.34288282986952
20,20,0,129423.3203125,PERSON,37145,145,145,Person,Person County,1183,14,15040175,285351,2444,0.35452013167891,39490,220,10.5,31,2995.69511268676,557.103064066852,78.5008863003292,0.105097039715247,1.29914427033017
21,21,0,162068.828125,PASQUOTANK,37139,139,139,Pasquotank,Pasquotank County,1245,35,15040175,285351,2444,0.87886701486541,39824,176,10.5,30,3126.25552430695,441.944556046605,75.331458417035,0.0751113008238917,1.6188989304615
22,22,0,270593.875,HALIFAX,37083,83,083,Halifax,Halifax County,2232,38,15040175,285351,2444,0.75984803039392,50010,283,10.5,48,4463.1073785243,565.886822635473,95.9808038392322,0.18991335212695,2.73814798913988
23,23,0,216503.140625,WILKES,37193,193,193,Wilkes,Wilkes County,3056,58,15040175,285351,2444,0.84780447874642,68412,402,10.5,20,4467.05256387768,587.616207682863,29.2346371981524,0.196969456212855,2.18028792389026
24,24,0,133521.765625,WATAUGA,37189,189,189,Watauga,Watauga County,2213,8,15040175,285351,2444,0.14240703490752,56177,189,10.5,11,3939.3346031294,336.436619969027,19.5809672997846,0.0811479768642585,1.36906561809074
25,25,0,133816.640625,PERQUIMANS,37143,143,143,Perquimans,Perquimans County,389,4,15040175,285351,2444,0.29711059942063,13463,60,10.5,8,2889.40057936567,445.665899130952,59.4221198841269,0.0853499151096457,1.34500909577406
26,26,0,133144.65625,CHOWAN,37041,41,041,Chowan,Chowan County,691,19,15040175,285351,2444,1.36269095603529,13943,75,10.5,2,4955.89184537044,537.904324750771,14.3441153266872,0.0605077815141613,1.31819826650059
27,27,0,131006.046875,AVERY,37011,11,011,Avery,Avery County,1114,11,15040175,285351,2444,0.62653072848437,17557,181,10.5,9,6345.04755937803,1030.92783505155,51.2616050578117,0.06412235129892,1.29065234199669
28,28,0,137763.21875,YADKIN,37197,197,197,Yadkin,Yadkin County,1829,19,15040175,285351,2444,0.50442031486447,37667,337,10.5,47,4855.70924151114,894.682347943824,124.777656834895,0.0876075710527857,1.40976723947873
29,29,0,289002.53125,DARE,37055,55,055,Dare,Dare County,752,4,15040175,285351,2444,0.10808181793618,37009,124,10.5,8,2031.93817720014,335.053635602151,21.6163635872355,0.321998277829834,2.76064607342702
30,30,0,149433.875,FORSYTH,37067,67,067,Forsyth,Forsyth County,15686,178,15040175,285351,2444,0.46560901921291,382295,2764,10.5,206,4103.11408728861,723.00187028342,53.8850887403706,0.10684173390996,1.53059125161316
31,31,0,172475.375,FRANKLIN,37069,69,069,Franklin,Franklin County,2321,35,15040175,285351,2444,0.50226017076846,69685,359,10.5,15,3330.70244672455,515.175432302504,21.5254358900768,0.128239219287025,1.71257103412168
32,32,0,250455.5,BERTIE,37015,15,015,Bertie,Bertie County,1001,26,15040175,285351,2444,1.37224890483982,18947,108,10.5,6,5283.15828363329,570.011083548847,31.6672824193804,0.192072519100066,2.57006827720001
33,33,0,132175.875,ORANGE,37135,135,135,Orange,Orange County,4253,62,15040175,285351,2444,0.41757590452329,148476,411,10.5,38,2864.43600312508,276.812414127536,25.5933618901371,0.104031034647051,1.29663456560082
34,34,0,137208.90625,DURHAM,37063,63,063,Durham,Durham County,12268,127,15040175,285351,2444,0.39503807296073,321488,1106,10.5,150,3816.00557408053,344.02528243667,46.6580401134724,0.0773358693418231,1.34470902060974
35,35,0,188138.15625,NASH,37127,127,127,Nash,Nash County,4909,113,15040175,285351,2444,1.1983287026236,94298,532,10.5,62,5205.83681520287,564.168911323676,65.7490084625337,0.140457073777043,1.86111439809316
36,36,0,167614.421875,MITCHELL,37121,121,121,Mitchell,Mitchell County,642,6,15040175,285351,2444,0.4009623095429,14964,133,10.5,11,4290.29671210906,888.799786153435,73.5097567495322,0.0573869881452538,1.67857640912082
37,37,0,178221.984375,EDGECOMBE,37065,65,065,Edgecombe,Edgecombe County,2788,75,15040175,285351,2444,1.45710289089214,51472,285,10.5,34,5416.5371464097,553.699098539012,66.0553310537768,0.131056422336997,1.76539199292572
38,38,0,164491.828125,CALDWELL,37027,27,027,Caldwell,Caldwell County,4161,25,15040175,285351,2444,0.30421767382998,82178,668,10.5,46,5063.39896322617,812.869624473704,55.9760519847161,0.122821340134578,1.67204641441956
39,39,0,212426.296875,TYRRELL,37177,177,177,Tyrrell,Tyrrell County,155,3,15040175,285351,2444,0.74701195219124,4016,15,10.5,2,3859.56175298805,373.505976095618,49.800796812749,0.157438685753959,2.1372758500101
40,40,0,162933.1875,YANCEY,37199,199,199,Yancey,Yancey County,717,3,15040175,285351,2444,0.16603021749958,18069,171,10.5,20,3968.12219824008,946.372239747634,110.68681166639,0.0809485697957371,1.62271433486685
41,41,0,199718.171875,MADISON,37115,115,115,Madison,Madison County,617,17,15040175,285351,2444,0.78142955642381,21755,105,10.5,6,2836.12962537348,482.647667202942,27.579866697311,0.116765470994551,2.03022383529877
