Deaths,Casesper10k,Casesper100k,County,Total,PctPos
171,1168,11680,Wilson,9554,NA
44,1085,10855,Greene,2287,NA
299,832,8318,Cumberland,27907,NA
5,908,9078,Alleghany,1011,NA
158,1127,11270,Surry,8090,NA
111,1061,10612,Edgecombe,5462,NA
58,956,9562,Northampton,1863,NA
95,691,6905,Haywood,4303,NA
164,804,8038,New Hanover,18846,NA
18,646,6464,Clay,726,NA
55,832,8317,Hoke,4594,NA
109,1104,11038,Halifax,5520,NA
27,949,9485,Caswell,2144,NA
106,813,8129,Rockingham,7398,NA
76,956,9558,Lee,5905,NA
80,870,8701,Stokes,3967,NA
41,765,7650,Ashe,2081,NA
19,870,8695,Jones,819,NA
18,846,8458,Swain,1207,NA
20,1193,11933,Avery,2095,NA
28,879,8789,Yancey,1588,NA
215,1000,9995,Union,23975,NA
20,874,8738,Cherokee,2500,NA
51,730,7299,Carteret,5071,NA
264,1050,10497,Alamance,17794,NA
47,1046,10457,Yadkin,3939,NA
206,1012,10125,Iredell,18407,NA
187,869,8692,Moore,8768,NA
31,910,9102,Washington,1054,NA
374,922,9224,Forsyth,35263,NA
169,833,8328,Harnett,11324,NA
95,963,9631,Beaufort,4526,NA
86,1066,10661,Pitt,19269,NA
181,1200,11996,Nash,11312,NA
223,1155,11554,Cleveland,11317,NA
41,987,9871,Bladen,3230,NA
69,842,8417,Pender,5308,NA
55,815,8146,Jackson,3579,NA
5,600,6000,Camden,652,NA
8,1347,13470,Hyde,665,NA
108,1232,12320,Sampson,7827,NA
185,966,9662,Davidson,16195,NA
721,773,7727,Wake,85911,NA
693,865,8649,Guilford,46460,NA
43,923,9231,Bertie,1749,NA
218,771,7706,Durham,24774,NA
101,571,5713,Orange,8483,NA
93,1213,12126,Montgomery,3295,NA
16,939,9389,Mitchell,1405,NA
49,957,9569,Franklin,6668,NA
84,1069,10694,Scotland,3724,NA
224,1033,10332,Randolph,14844,NA
83,1160,11604,Alexander,4351,NA
123,899,8994,Craven,9186,NA
142,838,8380,Onslow,16588,NA
36,852,8520,Macon,3055,NA
313,667,6673,Buncombe,17429,NA
63,1135,11347,McDowell,5192,NA
206,1077,10765,Rutherford,7216,NA
37,936,9361,Davie,4011,NA
67,840,8402,Person,3318,NA
92,1026,10261,Richmond,4600,NA
132,1056,10562,Duplin,6204,NA
13,876,8762,Pamlico,1115,NA
63,878,8781,Hertford,2079,NA
41,711,7106,Madison,1546,NA
39,994,9942,Martin,2231,NA
22,1041,10407,Chowan,1451,NA
940,990,9902,Mecklenburg,109948,NA
420,1166,11659,Gaston,26177,NA
297,1201,12006,Catawba,19156,NA
251,992,9915,Cabarrus,21462,NA
300,1167,11673,Rowan,16586,NA
104,1124,11237,Caldwell,9234,NA
87,617,6169,Chatham,4594,NA
158,855,8548,Henderson,10037,NA
31,805,8055,Watauga,4525,NA
80,972,9725,Granville,5878,NA
152,631,6310,Brunswick,9012,NA
211,1007,10067,Johnston,21075,NA
112,1050,10497,Lenoir,5873,NA
86,1097,10971,Vance,4886,NA
80,830,8299,Pasquotank,3305,NA
243,892,8925,Wayne,10989,NA
85,1144,11441,Lincoln,9852,NA
153,1089,10892,Burke,9856,NA
150,1132,11323,Columbus,6285,NA
131,1226,12262,Stanly,7701,NA
10,563,5626,Dare,2082,NA
55,1034,10337,Anson,2527,NA
13,631,6305,Gates,729,NA
230,1244,12436,Robeson,16245,NA
20,901,9006,Warren,1777,NA
111,957,9574,Wilkes,6550,NA
10,734,7339,Perquimans,988,NA
29,703,7030,Polk,1457,NA
32,674,6738,Transylvania,2317,NA
16,548,5482,Currituck,1522,NA
12,688,6883,Graham,581,NA
6,792,7918,Tyrrell,318,NA
0,NA,NA,Missing,1,NA
