OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,USCases,USDeaths,Hosp,DeathPer1K,Pop2019,Day14,PctPos,Diff24Hr,Rate100K,Day14Rate100k,Diff24HrRate100k,NumMissing,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,7732,110,32933337,586793,680,1.208658389188,91010,95,3.7,4,8495.76969563784,104.384133611691,4.3951214152291,0,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,48024,708,32933337,586793,680,1.3180086899217,537174,586,3.7,27,8940.11996112991,109.089419815553,5.02630432597259,0,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,18570,287,32933337,586793,680,1.69312543876726,169509,170,3.7,24,10955.1705219192,100.28966013604,14.1585402544998,0,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,4407,84,32933337,586793,680,2.24017921433715,37497,27,3.7,0,11752.9402352188,72.0057604608369,0,0,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,15139,230,32933337,586793,680,1.60092435980427,143667,126,3.7,8,10537.5625578595,87.7028127544948,5.56843255584094,0,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,11304,245,32933337,586793,680,1.98975075326279,123131,154,3.7,9,9180.46633260511,125.070047347947,7.3092884813735,0,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,2151,41,32933337,586793,680,1.50718670734845,27203,18,3.7,1,7907.21611586957,66.169172517737,3.67606513987428,0,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,1067,5,32933337,586793,680,0.44895393732603,11137,9,3.7,0,9580.67702253749,80.8117087186855,0,0,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,1573,16,32933337,586793,680,0.5763065951086,27763,28,3.7,0,5665.8142131614,100.853654144005,0,0,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,676,5,32933337,586793,680,0.46010858562621,10867,13,3.7,2,6220.66807766633,119.628232262814,18.4043434250483,0,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,8317,164,32933337,586793,680,2.28466349971442,71783,135,3.7,4,11586.3087360517,188.066812476492,5.57234999930346,0,0.140350927317286,1.76160942158441
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,744,13,32933337,586793,680,1.12437294585712,11562,9,3.7,0,6434.87285936689,77.8412039439544,0,0,0.0899798985994948,1.39825742996753
