OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,USCases,USDeaths,Hosp,DeathPer1K,Pop20  19,Day14,PctPos,Diff24Hr,Rate100K,Day14Rate100k,Diff24HrRate100k,NumMissing,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,10298,192,41262574,660380,3630,2.10965827930997,91010,734,11.9,72,11315.2400835073,806.504779694539,79.1121854741237,29,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,59760,790,41262574,660380,3630,1.47065941389568,537174,3037,11.9,367,11124.8869081527,565.366156962176,68.3205069493311,29,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,23408,307,41262574,660380,3630,1.81111327422143,169509,1455,11.9,174,13809.2962615554,858.361502929048,102.649416845123,29,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,5767,99,41262574,660380,3630,2.64021121689735,37497,413,11.9,62,15379.8970584313,1101.4214470491,165.346561058218,29,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,19008,273,41262574,660380,3630,1.90022760968072,143667,1327,11.9,194,13230.5957526781,923.663750200116,135.034489479143,29,0.203850925732695,1.81820442925197
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,14294,278,41262574,660380,3630,2.25775799757981,123131,792,11.9,75,11608.7743947503,643.217386360868,60.9107373447791,29,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,2990,45,41262574,660380,3630,1.65422931294343,27203,218,11.9,10,10991.4347682241,801.382200492593,36.7606513987428,29,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,1403,5,41262574,660380,3630,0.44895393732603,11137,180,11.9,2,12597.6474813684,1616.23417437371,17.9581574930412,29,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,2259,20,41262574,660380,3630,0.72038324388575,27763,241,11.9,22,8136.72873968952,868.061808882326,79.2421568274322,29,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,901,8,41262574,660380,3630,0.73617373700193,10867,77,11.9,15,8291.15671298426,708.56722186436,138.032575687862,29,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,10706,201,41262574,660380,3630,2.80010587464999,71783,772,11.9,75,14914.3947731357,1075.46354986557,104.48156248694,29,0.140350927317286,1.76160942158441
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,922,14,41262574,660380,3630,1.21086317246151,11562,58,11.9,10,7974.3988929251,501.643314305484,86.4902266043937,29,0.0899798985994948,1.39825742996753
13,13,0,178531.078125,HERTFORD,37091,91,091,Hertford,Hertford County,2522,65,41262574,660380,3630,2.74528022975884,23677,149,11.9,10,10651.6872914643,629.302698821641,42.2350804578283,29,0.0939751796515793,1.85185126536062
14,14,0,233920.75,NORTHAMPTON,37131,131,131,Northampton,Northampton County,2305,62,41262574,660380,3630,3.18226145870759,19483,178,11.9,19,11830.8268747113,913.616999435405,97.5209156700713,29,0.14308298336914,2.42716213499337
15,15,0,138205.25,STOKES,37169,169,169,Stokes,Stokes County,5375,88,41262574,660380,3630,1.93020552301989,45591,373,11.9,46,11789.6075979908,818.143931916387,100.897106885131,29,0.118623983185444,1.40435816871631
16,16,0,150724.609375,WARREN,37185,185,185,Warren,Warren County,2096,20,41262574,660380,3630,1.0136333688105,19731,95,11.9,11,10622.8777051341,481.475850184988,55.7498352845776,29,0.115341343672299,1.51128223847269
17,17,0,118698.65625,VANCE,37181,181,181,Vance,Vance County,5915,92,41262574,660380,3630,2.06579095093747,44535,392,11.9,43,13281.6885595599,880.206579095094,96.5532727068598,29,0.070179543057975,1.14473069536426
18,18,0,174102.328125,GRANVILLE,37077,77,077,Granville,Granville County,7158,94,41262574,660380,3630,1.55518422315239,60443,308,11.9,38,11842.5624141753,509.571000777592,62.869149446586,29,0.139359229865704,1.70187067145839
19,19,0,133013.5,CASWELL,37033,33,033,Caswell,Caswell County,2773,34,41262574,660380,3630,1.50415855600779,22604,239,11.9,16,12267.7402229694,1057.33498495841,70.7839320474252,29,0.111572693180051,1.34288282986952
20,20,0,129423.3203125,PERSON,37145,145,145,Person,Person County,4489,78,41262574,660380,3630,1.97518359078248,39490,325,11.9,47,11367.4347936186,822.993162826032,119.017472777918,29,0.105097039715247,1.29914427033017
21,21,0,162068.828125,PASQUOTANK,37139,139,139,Pasquotank,Pasquotank County,4265,93,41262574,660380,3630,2.33527521092808,39824,280,11.9,21,10709.6223382885,703.093611892326,52.7320208919245,29,0.0751113008238917,1.6188989304615
22,22,0,270593.875,HALIFAX,37083,83,083,Halifax,Halifax County,7036,126,41262574,660380,3630,2.51949610077984,50010,435,11.9,50,14069.1861627674,869.826034793042,99.9800039992002,29,0.18991335212695,2.73814798913988
23,23,0,216503.140625,WILKES,37193,193,193,Wilkes,Wilkes County,9453,151,41262574,660380,3630,2.2072151084605,68412,805,11.9,68,13817.7512717067,1176.69414722563,99.3977664737181,29,0.196969456212855,2.18028792389026
24,24,0,133521.765625,WATAUGA,37189,189,189,Watauga,Watauga County,5961,34,41262574,660380,3630,0.60522989835698,56177,340,11.9,26,10611.1041885469,605.229898356979,46.2822863449454,29,0.0811479768642585,1.36906561809074
25,25,0,133816.640625,PERQUIMANS,37143,143,143,Perquimans,Perquimans County,1333,11,41262574,660380,3630,0.81705414840674,13463,110,11.9,7,9901.21072569264,817.054148406745,51.994354898611,29,0.0853499151096457,1.34500909577406
26,26,0,133144.65625,CHOWAN,37041,41,041,Chowan,Chowan County,1999,38,41262574,660380,3630,2.72538191207057,13943,190,11.9,13,14336.9432690239,1362.69095603529,93.236749623467,29,0.0605077815141613,1.31819826650059
27,27,0,131006.046875,AVERY,37011,11,011,Avery,Avery County,2449,27,41262574,660380,3630,1.53784815173435,17557,114,11.9,12,13948.8523096201,649.313664065615,68.3488067437489,29,0.06412235129892,1.29065234199669
28,28,0,137763.21875,YADKIN,37197,197,197,Yadkin,Yadkin County,5327,63,41262574,660380,3630,1.67255157034009,37667,378,11.9,26,14142.3527225423,1003.53094220405,69.0259378235591,29,0.0876075710527857,1.40976723947873
29,29,0,289002.53125,DARE,37055,55,055,Dare,Dare County,3367,11,41262574,660380,3630,0.29722499932449,37009,312,11.9,17,9097.78702477776,843.038179902186,45.9347726228755,29,0.321998277829834,2.76064607342702
30,30,0,149433.875,FORSYTH,37067,67,067,Forsyth,Forsyth County,46197,483,41262574,660380,3630,1.26342222629122,382295,2815,11.9,231,12084.1235171791,736.342353418172,60.4245412574059,29,0.10684173390996,1.53059125161316
31,31,0,172475.375,FRANKLIN,37069,69,069,Franklin,Franklin County,8763,57,41262574,660380,3630,0.81796656382292,69685,562,11.9,54,12575.1596469829,806.48633134821,77.4915692042764,29,0.128239219287025,1.71257103412168
32,32,0,250455.5,BERTIE,37015,15,015,Bertie,Bertie County,2231,46,41262574,660380,3630,2.42782498548583,18947,134,11.9,11,11774.9511796063,707.235974032828,58.0566844355307,29,0.192072519100066,2.57006827720001
33,33,0,132175.875,ORANGE,37135,135,135,Orange,Orange County,10649,102,41262574,660380,3630,0.68697971389315,148476,585,11.9,35,7172.20291494922,394.003071203427,23.5728333198631,29,0.104031034647051,1.29663456560082
34,34,0,137208.90625,DURHAM,37063,63,063,Durham,Durham County,31743,246,41262574,660380,3630,0.76519185786095,321488,1393,11.9,127,9873.77444881302,433.29766585378,39.5038072960733,29,0.0773358693418231,1.34470902060974
35,35,0,188138.15625,NASH,37127,127,127,Nash,Nash County,13875,206,41262574,660380,3630,2.1845638295616,94298,882,11.9,77,14713.991813188,935.332668773463,81.6560266389531,29,0.140457073777043,1.86111439809316
36,36,0,167614.421875,MITCHELL,37121,121,121,Mitchell,Mitchell County,1808,17,41262574,660380,3630,1.13605987703823,14964,124,11.9,1,12082.3309275595,828.655439722,6.68270515904838,29,0.0573869881452538,1.67857640912082
37,37,0,178221.984375,EDGECOMBE,37065,65,065,Edgecombe,Edgecombe County,7006,117,41262574,660380,3630,2.27308050979173,51472,476,11.9,24,13611.2838047871,924.774634752876,46.6272925085483,29,0.131056422336997,1.76539199292572
38,38,0,164491.828125,CALDWELL,37027,27,027,Caldwell,Caldwell County,11826,111,41262574,660380,3630,1.35072647180511,82178,793,11.9,58,14390.7128428533,964.978461388693,70.5785003285551,29,0.122821340134578,1.67204641441956
39,39,0,212426.296875,TYRRELL,37177,177,177,Tyrrell,Tyrrell County,480,6,41262574,660380,3630,1.49402390438247,4016,38,11.9,4,11952.1912350598,946.215139442231,99.601593625498,29,0.157438685753959,2.1372758500101
40,40,0,162933.1875,YANCEY,37199,199,199,Yancey,Yancey County,2482,28,41262574,660380,3630,1.54961536332946,18069,244,11.9,26,13736.233327799,1350.37910232996,143.892855166307,29,0.0809485697957371,1.62271433486685
41,41,0,199718.171875,MADISON,37115,115,115,Madison,Madison County,2351,52,41262574,660380,3630,2.39025511376695,21755,304,11.9,10,10806.7111008963,1397.37991266376,45.9664444955183,29,0.116765470994551,2.03022383529877
42,42,0,224334.859375,MARTIN,37117,117,117,Martin,Martin County,3196,57,41262574,660380,3630,2.54010695187166,22440,317,11.9,13,14242.4242424242,1412.6559714795,57.9322638146168,29,0.11950711427221,2.27534749883336
43,43,0,216781.765625,WAKE,37183,183,183,Wake,Wake County,117302,804,41262574,660380,3630,0.72317701376465,1111761,7305,11.9,555,10551.0087150026,657.065682282433,49.920801323306,29,0.221127438123403,2.20235247868815
44,44,0,145180.34375,DAVIE,37059,59,059,Davie,Davie County,5512,55,41262574,660380,3630,1.2836670867759,42846,435,11.9,25,12864.6781496522,1015.26396863184,58.3485039443589,29,0.0689515311403284,1.44582379891087
45,45,0,146686.421875,WASHINGTON,37187,187,187,Washington,Washington County,1387,34,41262574,660380,3630,2.93609671848014,11580,73,11.9,2,11977.5474956822,630.397236614853,17.2711571675302,29,0.10723246065595,1.49814056825872
46,46,0,191884.59375,BURKE,37023,23,023,Burke,Burke County,13702,164,41262574,660380,3630,1.81245510305576,90485,1154,11.9,78,15142.8413549207,1275.34950544289,86.2021329502127,29,0.132451972450554,1.93191906346433
47,47,0,195511.96875,DAVIDSON,37057,57,057,Davidson,Davidson County,22910,245,41262574,660380,3630,1.46173534834048,167609,2186,11.9,159,13668.7170736655,1304.22590672339,94.8636409739334,29,0.146569618643753,1.93462025976034
48,48,0,178542.265625,MCDOWELL,37111,111,111,McDowell,McDowell County,7382,69,41262574,660380,3630,1.50799895095725,45756,712,11.9,34,16133.4032695166,1556.0800769298,74.3071946848501,29,0.115560588180415,1.80072401850976
49,49,0,223043.875,CHATHAM,37037,37,037,Chatham,Chatham County,6167,91,41262574,660380,3630,1.22196857795085,74470,277,11.9,17,8281.18705519001,371.961863837787,22.8279844232577,29,0.182861464275675,2.26458351174672
50,50,0,132574.046875,WILSON,37195,195,195,Wilson,Wilson County,11942,201,41262574,660380,3630,2.45718267502842,81801,747,11.9,55,14598.8435349201,913.191770271757,67.2363418540116,29,0.0965400759705517,1.36398268831217
