OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,USCases,USDeaths,Hosp,DeathPer1K,Pop2019,Day14,PctPos,Diff24Hr,Rate100K,Day14Rate100k,Diff24HrRate100k,NumMissing,HospAdmitWk,Shape__Area,Shape__Length
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,25031,312,94110810,1039055,,3.42819470387869,91010,326,,,27504,358,,0,996,0.148785685045368,1.60550891033685
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,142443,1323,94110810,1039055,,2.46288911972657,537174,2026,,,26517,377,,0,996,0.170461249960454,1.68763135812499
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,55224,523,94110810,1039055,,3.08538189712641,169509,856,,,32579,505,,0,996,0.112591183756876,1.40325020018321
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,11693,147,94110810,1039055,,3.92031362509001,37497,160,,,31184,427,,0,996,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,40128,475,94110810,1039055,,3.30625683003056,143667,422,,,27931,294,,0,996,0.203850925732695,1.81820442925196
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,37428,423,94110810,1039055,,3.43536558624554,123131,567,,,30397,460,,0,996,0.143104402560766,1.73800574979259
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,6986,86,94110810,1039055,,3.16141602029188,27203,110,,,25681,404,,0,996,0.111379250835853,1.62041375068248
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,3334,18,94110810,1039055,,1.61623417437371,11137,63,,,29936,566,,0,996,0.0610416128834004,1.36181318416571
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,5744,39,94110810,1039055,,1.40474732557721,27763,44,,,20689,158,,0,996,0.115361119903127,1.98969872742252
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,2025,9,94110810,1039055,,0.828195454127174,10867,26,,,18634,239,,0,996,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,25291,376,94110810,1039055,,5.23800899934525,71783,638,,,35233,889,,0,996,0.140350927317286,1.76160942158441
