OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,Shape__Area,Shape__Length,DataGatherTS
1,27006,22,2,14872,Advance,,1744189234.37061,355282.663136038,202005311336
2,27007,5,0,2136,Ararat,,592499585.594238,195922.003442792,202005311336
3,27009,3,0,2937,Belews Creek,,618093097.011353,191244.647442635,202005311336
4,27011,16,0,5411,Boonville,,1489580093.86462,316910.589814884,202005311336
5,27012,30,0,28954,Clemmons,,1176567385.86804,255774.303165276,202005311336
6,27013,11,1,6495,Cleveland,,2066336247.98627,379169.285246239,202005311336
7,27014,0,0,957,Cooleemee,,21479098.032959,22299.1178929161,202005311336
8,27016,1,0,1682,Danbury,,1068209590.0686,211061.413302457,202005311336
9,27017,38,0,9499,Dobson,,2962951682.04883,566348.974052304,202005311336
10,27018,35,1,8221,East Bend,,2331567909.96985,255811.974556888,202005311336
11,27019,4,0,4234,Germanton,,977414017.819214,270248.259734795,202005311336
12,27020,33,1,6104,Hamptonville,,2114111622.36755,316969.486887135,202005311336
13,27021,32,0,17979,King,,1469376476.14172,210392.900707099,202005311336
14,27022,0,0,1512,Lawsonville,,918745327.278442,200803.000966771,202005311336
15,27023,26,1,12775,Lewisville,,807172159.002075,183078.980128527,202005311336
16,27024,5,0,2683,Lowgap,,1265827411.39758,278411.484773322,202005311336
17,27025,10,0,11117,Madison,,2714649364.33142,468723.596670606,202005311336
18,27027,1,0,4017,Mayodan,,548179131.574585,172371.363079245,202005311336
19,27028,75,0,28039,Mocksville,,5475621774.30664,567238.136149725,202005311336
20,27030,123,2,37641,Mount Airy,,4824085732.75671,624989.724929863,202005311336
21,27040,11,0,13150,Pfafftown,,763349953.536133,205025.773716105,202005311336
22,27041,5,0,8020,Pilot Mountain,,1629462738.40637,324677.141569035,202005311336
23,27042,3,0,720,Pine Hall,,290758639.069458,113971.243586081,202005311336
24,27043,11,0,6442,Pinnacle,,1935795027.06067,395674.180712496,202005311336
25,27045,34,0,9583,Rural Hall,,666085549.25769,154538.589918543,202005311336
26,27046,0,0,1953,Sandy Ridge,,1237681699.0647,217125.573744555,202005311336
27,27047,2,0,1279,Siloam,,576295820.815674,144984.839113672,202005311336
28,27048,9,0,8902,Stoneville,,2355000804.03674,325454.766660313,202005311336
