OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length,DataGatherTS
1,27006,82,3,14872,Advance,"",55.1371705217859,1744189234.37061,355282.663136038,202008131655
2,27007,22,0,2136,Ararat,"",102.996254681648,592499585.594238,195922.003442792,202008131655
3,27009,9,0,2937,Belews Creek,"",30.6435137895812,618093097.011353,191244.647442635,202008131655
4,27011,59,0,5411,Boonville,"",109.037146553317,1489580093.86462,316910.589814884,202008131655
5,27012,265,0,28954,Clemmons,"",91.5244871174967,1176567385.86804,255774.303165276,202008131655
6,27013,70,2,6495,Cleveland,"",107.775211701309,2066336247.98627,379169.285246239,202008131655
7,27014,7,0,957,Cooleemee,"",73.1452455590387,21479098.032959,22299.1178929161,202008131655
8,27016,18,0,1682,Danbury,"",107.015457788347,1068209590.0686,211061.413302457,202008131655
9,27017,184,0,9499,Dobson,"",193.704600484262,2962951682.04883,566348.974052304,202008131655
10,27018,95,2,8221,East Bend,"",115.557718039168,2331567909.96985,255811.974556888,202008131655
11,27019,28,0,4234,Germanton,"",66.1313179026925,977414017.819214,270248.259734795,202008131655
12,27020,96,2,6104,Hamptonville,"",157.273918741809,2114111622.36755,316969.486887135,202008131655
13,27021,117,1,17979,King,"",65.0759219088937,1469376476.14172,210392.900707099,202008131655
14,27022,6,0,1512,Lawsonville,"",39.6825396825397,918745327.278442,200803.000966771,202008131655
15,27023,118,1,12775,Lewisville,"",92.3679060665362,807172159.002075,183078.980128527,202008131655
16,27024,18,0,2683,Lowgap,"",67.0890793887439,1265827411.39758,278411.484773322,202008131655
17,27025,47,0,11117,Madison,"",42.2775928757758,2714649364.33142,468723.596670606,202008131655
18,27027,16,0,4017,Mayodan,"",39.8307194423699,548179131.574585,172371.363079245,202008131655
19,27028,340,2,28039,Mocksville,"",121.259674025465,5475621774.30664,567238.136149725,202008131655
20,27030,474,7,37641,Mount Airy,"",125.926516298717,4824085732.75671,624989.724929863,202008131655
21,27040,87,1,13150,Pfafftown,"",66.1596958174905,763349953.536133,205025.773716105,202008131655
22,27041,71,0,8020,Pilot Mountain,"",88.5286783042394,1629462738.40637,324677.141569035,202008131655
23,27042,8,1,720,Pine Hall,"",111.111111111111,290758639.069458,113971.243586081,202008131655
24,27043,69,1,6442,Pinnacle,"",107.109593294008,1935795027.06067,395674.180712496,202008131655
25,27045,141,2,9583,Rural Hall,"",147.135552540958,666085549.25769,154538.589918543,202008131655
26,27046,5,0,1953,Sandy Ridge,"",25.6016385048643,1237681699.0647,217125.573744555,202008131655
27,27047,8,0,1279,Siloam,"",62.5488663017983,576295820.815674,144984.839113672,202008131655
28,27048,45,0,8902,Stoneville,"",50.5504381037969,2355000804.03674,325454.766660313,202008131655
29,27050,26,0,4084,Tobaccoville,"",63.6630754162586,703876500.567505,219088.1792708,202008131655
30,27051,74,0,8287,Walkertown,"",89.2964884759261,524680317.775635,151066.808563308,202008131655
31,27052,61,0,10061,Walnut Cove,"",60.6301560481065,2710320219.82117,403203.611044297,202008131655
32,27053,14,0,3156,Westfield,"",44.3599493029151,2152815477.55933,413464.446930882,202008131655
33,27054,34,0,2608,Woodleaf,"",130.368098159509,778193820.583862,201172.963339102,202008131655
34,27055,261,2,14521,Yadkinville,"",179.739687349356,3115987965.39453,403366.49229781,202008131655
35,27101,223,0,24321,Winston Salem,"",91.6903087866453,356085731.400146,162957.922513793,202008131655
36,27103,465,11,36071,Winston Salem,"",128.912422721854,527249856.672729,146399.561156354,202008131655
37,27104,350,6,29383,Winston Salem,"",119.116495933022,337669863.683838,130394.134288752,202008131655
38,27105,914,8,40186,Winston Salem,"",227.44239287314,950547784.577881,208375.813794777,202008131655
39,27106,646,6,51378,Winston Salem,"",125.734750282222,787324720.967285,203893.681115083,202008131655
40,27107,1026,8,52432,Winston Salem,"",195.682026243515,1859279716.41162,319111.813640457,202008131655
41,27127,685,5,38510,Winston Salem,"",177.875876395741,820319160.873047,213438.375685158,202008131655
