OBJECTID_1,OBJECTID,AREA,PERIMETER,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,USCases,USDeaths,Hosp,DeathPer1K,Pop2019,Day14,PctPos,Diff24Hr,Rate100K,Day14Rate100k,Diff24HrRate100k,NumMissing,Shape__Area,Shape__Length,DataGatherTS
1,1,0,156472.984375,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,4344,25,19055869,332246,3377,0.27469508845182,91010,556,13.5,20,4773.1018569388,610.921876716844,21.9756070761455,1,0.148785685045368,1.60550891033685,202012291833
2,2,0,166183.5,GUILFORD,37081,81,081,Guilford,Guilford County,23933,308,19055869,332246,3377,0.57337101199984,537174,2931,13.5,123,4455.353386426,545.633258497247,22.8976085960974,1,0.170461249960454,1.68763135812499,202012291833
3,3,0,143114.546875,ALAMANCE,37001,1,001,Alamance,Alamance County,10164,117,19055869,332246,3377,0.69022883740686,169509,1338,13.5,44,5996.14179778065,789.338619188362,25.9573237999162,1,0.112591183756876,1.40325020018321,202012291833
4,4,0,116938.171875,ALEXANDER,37003,3,003,Alexander,Alexander County,2564,30,19055869,332246,3377,0.80006400512041,37497,419,13.5,38,6837.88036376243,1117.42272715151,101.341440648585,1,0.0681572615228561,1.15902331406146,202012291833
5,5,0,180894.171875,RANDOLPH,37151,151,151,Randolph,Randolph County,7853,119,19055869,332246,3377,0.82830434268134,143667,1072,13.5,100,5466.11260762736,746.169962482686,69.6054069480117,1,0.203850925732695,1.81820442925197,202012291833
6,6,0,174751.765625,WAYNE,37191,191,191,Wayne,Wayne County,7293,145,19055869,332246,3377,1.17760758866573,123131,629,13.5,32,5922.96009940632,510.838050531548,25.9885812671058,1,0.143104402560766,1.73800574979259,202012291833
7,7,0,159013.59375,ASHE,37009,9,009,Ashe,Ashe County,1187,27,19055869,332246,3377,0.99253758776606,27203,121,13.5,2,4363.48932103077,444.803881924788,7.35213027974856,1,0.111379250835853,1.62041375068248,202012291833
8,8,0,132949.109375,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,619,2,19055869,332246,3377,0.17958157493041,11137,105,13.5,8,5558.04974409626,942.803268384664,71.8326299721649,1,0.0610416128834004,1.36181318416571,202012291833
9,9,0,198715.75,CURRITUCK,37053,53,053,Currituck,Currituck County,621,11,19055869,332246,3377,0.39621078413716,27763,109,13.5,9,2236.78997226525,392.608867917732,32.4172459748586,1,0.115361119903127,1.98969872742252,202012291833
10,10,0,203025.140625,CAMDEN,37029,29,029,Camden,Camden County,273,5,19055869,332246,3377,0.46010858562621,10867,38,13.5,1,2512.19287751909,349.682525075918,9.20217171252416,1,0.0794412878267394,2.06695672033485,202012291833
11,11,0,174563.109375,SURRY,37171,171,171,Surry,Surry County,4266,63,19055869,332246,3377,0.87764512489029,71783,630,13.5,15,5942.91127425714,877.645124890294,20.896312497388,1,0.140350927317286,1.76160942158441,202012291833
12,12,0,134811.796875,GATES,37073,73,073,Gates,Gates County,342,12,19055869,332246,3377,1.03788271925272,11562,47,13.5,1,2957.96574987026,406.504065040651,8.64902266043937,1,0.0899798985994948,1.39825742996753,202012291833
13,13,0,178531.078125,HERTFORD,37091,91,091,Hertford,Hertford County,1309,47,19055869,332246,3377,1.98504878151793,23677,145,13.5,2,5528.57203192972,612.40866663851,8.44701609156565,1,0.0939751796515793,1.85185126536062,202012291833
14,14,0,233920.75,NORTHAMPTON,37131,131,131,Northampton,Northampton County,1024,27,19055869,332246,3377,1.38582353846944,19483,102,13.5,2,5255.86408663963,523.53333675512,10.265359544218,1,0.14308298336914,2.42716213499337,202012291833
15,15,0,138205.25,STOKES,37169,169,169,Stokes,Stokes County,1936,26,19055869,332246,3377,0.5702879954377,45591,360,13.5,19,4246.45215064377,789.629532144502,41.6748919742932,1,0.118623983185444,1.40435816871631,202012291833
16,16,0,150724.609375,WARREN,37185,185,185,Warren,Warren County,1069,9,19055869,332246,3377,0.45613501596473,19731,90,13.5,4,5417.87035629213,456.135015964726,20.27266737621,1,0.115341343672299,1.51128223847269,202012291833
17,17,0,118698.65625,VANCE,37181,181,181,Vance,Vance County,2606,67,19055869,332246,3377,1.50443471426968,44535,358,13.5,13,5851.57741102504,803.862130908275,29.190524306725,1,0.070179543057975,1.14473069536426,202012291833
18,18,0,174102.328125,GRANVILLE,37077,77,077,Granville,Granville County,3514,62,19055869,332246,3377,1.02575980676009,60443,367,13.5,34,5813.74187250798,607.183627549923,56.2513442416822,1,0.139359229865704,1.70187067145839,202012291833
19,19,0,133013.5,CASWELL,37033,33,033,Caswell,Caswell County,1139,8,19055869,332246,3377,0.35391966023713,22604,147,13.5,3,5038.93116262608,650.327375685719,13.2719872588922,1,0.111572693180051,1.34288282986952,202012291833
20,20,0,129423.3203125,PERSON,37145,145,145,Person,Person County,1553,21,19055869,332246,3377,0.53178019751836,39490,227,13.5,20,3932.64117498101,574.829070650798,50.6457330969866,1,0.105097039715247,1.29914427033017,202012291833
21,21,0,162068.828125,PASQUOTANK,37139,139,139,Pasquotank,Pasquotank County,1726,43,19055869,332246,3377,1.0797509039775,39824,337,13.5,12,4334.06990759341,846.223382884693,30.132583366814,1,0.0751113008238917,1.6188989304615,202012291833
22,22,0,270593.875,HALIFAX,37083,83,083,Halifax,Halifax County,2788,45,19055869,332246,3377,0.8998200359928,50010,387,13.5,15,5574.8850229954,773.845230953809,29.99400119976,1,0.18991335212695,2.73814798913988,202012291833
23,23,0,216503.140625,WILKES,37193,193,193,Wilkes,Wilkes County,3761,71,19055869,332246,3377,1.03782962053441,68412,454,13.5,16,5497.57352511255,663.626264398059,23.3877097585219,1,0.196969456212855,2.18028792389026,202012291833
24,24,0,133521.765625,WATAUGA,37189,189,189,Watauga,Watauga County,2541,14,19055869,332246,3377,0.24921231108817,56177,168,13.5,13,4523.20344625025,299.054773305801,23.1411431724727,1,0.0811479768642585,1.36906561809074,202012291833
25,25,0,133816.640625,PERQUIMANS,37143,143,143,Perquimans,Perquimans County,514,5,19055869,332246,3377,0.37138824927579,13463,91,13.5,3,3817.87120255515,675.926613681943,22.2832949565476,1,0.0853499151096457,1.34500909577406,202012291833
26,26,0,133144.65625,CHOWAN,37041,41,041,Chowan,Chowan County,809,20,19055869,332246,3377,1.43441153266872,13943,83,13.5,4,5802.19464964498,595.28078605752,28.6882306533745,1,0.0605077815141613,1.31819826650059,202012291833
27,27,0,131006.046875,AVERY,37011,11,011,Avery,Avery County,1328,15,19055869,332246,3377,0.85436008429686,17557,107,13.5,5,7563.93461297488,609.443526798428,28.4786694765621,1,0.06412235129892,1.29065234199669,202012291833
28,28,0,137763.21875,YADKIN,37197,197,197,Yadkin,Yadkin County,2318,28,19055869,332246,3377,0.74335625348448,37667,290,13.5,8,6153.92784134654,769.904691108928,21.2387500995566,1,0.0876075710527857,1.40976723947873,202012291833
29,29,0,289002.53125,DARE,37055,55,055,Dare,Dare County,987,5,19055869,332246,3377,0.13510227242022,37009,174,13.5,14,2666.91885757518,470.155908022373,37.8286362776622,1,0.321998277829834,2.76064607342702,202012291833
30,30,0,149433.875,FORSYTH,37067,67,067,Forsyth,Forsyth County,20077,221,19055869,332246,3377,0.57808760250592,382295,2947,13.5,130,5251.70352738069,770.870662708118,34.0051530885834,1,0.10684173390996,1.53059125161316,202012291833
31,31,0,172475.375,FRANKLIN,37069,69,069,Franklin,Franklin County,3014,37,19055869,332246,3377,0.53096075195523,69685,484,13.5,32,4325.17758484609,694.554064719811,45.9209298988305,1,0.128239219287025,1.71257103412168,202012291833
32,32,0,250455.5,BERTIE,37015,15,015,Bertie,Bertie County,1174,27,19055869,332246,3377,1.42502770887212,18947,103,13.5,7,6196.23159339209,543.621681532697,36.9451628226104,1,0.192072519100066,2.57006827720001,202012291833
33,33,0,132175.875,ORANGE,37135,135,135,Orange,Orange County,4949,63,19055869,332246,3377,0.42431099975754,148476,451,13.5,17,3333.19863142865,303.752795064522,11.4496618982192,1,0.104031034647051,1.29663456560082,202012291833
34,34,0,137208.90625,DURHAM,37063,63,063,Durham,Durham County,14459,135,19055869,332246,3377,0.41992236102125,321488,1313,13.5,83,4497.52401333798,408.413377793261,25.817448862788,1,0.0773358693418231,1.34470902060974,202012291833
35,35,0,188138.15625,NASH,37127,127,127,Nash,Nash County,5940,120,19055869,332246,3377,1.27256145411356,94298,667,13.5,32,6299.1791978621,707.332074911451,33.9349721096948,1,0.140457073777043,1.86111439809316,202012291833
36,36,0,167614.421875,MITCHELL,37121,121,121,Mitchell,Mitchell County,864,6,19055869,332246,3377,0.4009623095429,14964,126,13.5,2,5773.8572574178,842.020850040096,13.3654103180968,1,0.0573869881452538,1.67857640912082,202012291833
37,37,0,178221.984375,EDGECOMBE,37065,65,065,Edgecombe,Edgecombe County,3169,81,19055869,332246,3377,1.57367112216351,51472,249,13.5,14,6156.7454149829,483.758159776189,27.1992539633199,1,0.131056422336997,1.76539199292572,202012291833
38,38,0,164491.828125,CALDWELL,37027,27,027,Caldwell,Caldwell County,5685,28,19055869,332246,3377,0.34072379468958,82178,1024,13.5,39,6917.90990289372,1246.07559200759,47.4579571174767,1,0.122821340134578,1.67204641441956,202012291833
39,39,0,212426.296875,TYRRELL,37177,177,177,Tyrrell,Tyrrell County,166,3,19055869,332246,3377,0.74701195219124,4016,7,13.5,1,4133.46613545817,174.302788844622,24.9003984063745,1,0.157438685753959,2.1372758500101,202012291833
40,40,0,162933.1875,YANCEY,37199,199,199,Yancey,Yancey County,1019,5,19055869,332246,3377,0.27671702916597,18069,154,13.5,3,5639.49305440257,852.288449831203,16.6030217499585,1,0.0809485697957371,1.62271433486685,202012291833
41,41,0,199718.171875,MADISON,37115,115,115,Madison,Madison County,789,19,19055869,332246,3377,0.87336244541485,21755,111,13.5,4,3626.75247069639,510.227533900253,18.3865777982073,1,0.116765470994551,2.03022383529877,202012291833
42,42,0,224334.859375,MARTIN,37117,117,117,Martin,Martin County,1279,24,19055869,332246,3377,1.06951871657754,22440,195,13.5,7,5699.64349376114,868.983957219252,31.1942959001783,1,0.11950711427221,2.27534749883336,202012291833
43,43,0,216781.765625,WAKE,37183,183,183,Wake,Wake County,42330,337,19055869,332246,3377,0.3031227035307,1111761,6421,13.5,507,3807.47300903701,577.55218972423,45.6033266142633,1,0.221127438123403,2.20235247868815,202012291833
44,44,0,145180.34375,DAVIE,37059,59,059,Davie,Davie County,2029,13,19055869,332246,3377,0.30341222051067,42846,357,13.5,19,4735.56458012417,833.216636325445,44.3448629977127,1,0.0689515311403284,1.44582379891087,202012291833
45,45,0,146686.421875,WASHINGTON,37187,187,187,Washington,Washington County,428,10,19055869,332246,3377,0.86355785837651,11580,57,13.5,5,3696.02763385147,492.227979274612,43.1778929188256,1,0.10723246065595,1.49814056825872,202012291833
46,46,0,191884.59375,BURKE,37023,23,023,Burke,Burke County,6069,75,19055869,332246,3377,0.82886666298282,90485,810,13.5,36,6707.18903685694,895.17599602144,39.7855998231751,1,0.132451972450554,1.93191906346433,202012291833
