OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,1672,11,14872,Advance,"",1124.26035502959,11242.6035502959,1744189234.37061,355282.663136038,202109100040
2,27007,264,1,2136,Ararat,"",1235.95505617978,12359.5505617978,592499585.594238,195922.003442792,202109100040
3,27009,370,4,2937,Belews Creek,"",1259.78890023834,12597.8890023834,618093097.011353,191244.647442635,202109100040
4,27011,694,7,5411,Boonville,"",1282.57253742377,12825.7253742377,1489580093.86462,316910.589814884,202109100040
5,27012,3505,54,28954,Clemmons,"",1210.54085791255,12105.4085791255,1176567385.86804,255774.303165276,202109100040
6,27013,891,10,6495,Cleveland,"",1371.82448036952,13718.2448036952,2066336247.98627,379169.285246239,202109100040
7,27014,134,4,957,Cooleemee,"",1400.20898641588,14002.0898641588,21479098.032959,22299.1178929161,202109100040
8,27016,199,3,1682,Danbury,"",1183.11533888228,11831.1533888228,1068209590.0686,211061.413302457,202109100040
9,27017,1409,18,9499,Dobson,"",1483.31403305611,14833.1403305611,2962951682.04883,566348.974052304,202109100040
10,27018,901,7,8221,East Bend,"",1095.97372582411,10959.7372582411,2331567909.96985,255811.974556888,202109100040
11,27019,428,1,4234,Germanton,"",1010.8644307983,10108.644307983,977414017.819214,270248.259734795,202109100040
12,27020,901,8,6104,Hamptonville,"",1476.08125819135,14760.8125819135,2114111622.36755,316969.486887135,202109100040
13,27021,2230,48,17979,King,"",1240.3359474943,12403.359474943,1469376476.14172,210392.900707099,202109100040
14,27022,119,2,1512,Lawsonville,"",787.037037037037,7870.37037037037,918745327.278442,200803.000966771,202109100040
15,27023,1284,5,12775,Lewisville,"",1005.08806262231,10050.8806262231,807172159.002075,183078.980128527,202109100040
16,27024,367,3,2683,Lowgap,"",1367.87178531495,13678.7178531495,1265827411.39758,278411.484773322,202109100040
17,27025,1213,31,11117,Madison,"",1091.12170549609,10911.2170549609,2714649364.33142,468723.596670606,202109100040
18,27027,405,19,4017,Mayodan,"",1008.21508588499,10082.1508588499,548179131.574585,172371.363079245,202109100040
19,27028,3487,38,28039,Mocksville,"",1243.62495096116,12436.2495096116,5475621774.30664,567238.136149725,202109100040
20,27030,5287,114,37641,Mount Airy,"",1404.58542546691,14045.8542546691,4824085732.75671,624989.724929863,202109100040
21,27040,1298,11,13150,Pfafftown,"",987.072243346008,9870.72243346008,763349953.536133,205025.773716105,202109100040
22,27041,919,8,8020,Pilot Mountain,"",1145.88528678304,11458.8528678304,1629462738.40637,324677.141569035,202109100040
23,27042,83,2,720,Pine Hall,"",1152.77777777778,11527.7777777778,290758639.069458,113971.243586081,202109100040
24,27043,680,7,6442,Pinnacle,"",1055.57280347718,10555.7280347718,1935795027.06067,395674.180712496,202109100040
25,27045,1252,9,9583,Rural Hall,"",1306.48022539914,13064.8022539914,666085549.25769,154538.589918543,202109100040
26,27046,183,1,1953,Sandy Ridge,"",937.019969278034,9370.19969278034,1237681699.0647,217125.573744555,202109100040
27,27047,147,2,1279,Siloam,"",1149.33541829554,11493.3541829554,576295820.815674,144984.839113672,202109100040
28,27048,879,12,8902,Stoneville,"",987.418557627499,9874.18557627499,2355000804.03674,325454.766660313,202109100040
29,27050,443,5,4084,Tobaccoville,"",1084.7208619001,10847.208619001,703876500.567505,219088.1792708,202109100040
30,27051,911,8,8287,Walkertown,"",1099.31217569687,10993.1217569687,524680317.775635,151066.808563308,202109100040
31,27052,1206,23,10061,Walnut Cove,"",1198.6880031806,11986.880031806,2710320219.82117,403203.611044297,202109100040
32,27053,264,2,3156,Westfield,"",836.501901140684,8365.01901140684,2152815477.55933,413464.446930882,202109100040
33,27054,409,5,2608,Woodleaf,"",1568.25153374233,15682.5153374233,778193820.583862,201172.963339102,202109100040
34,27055,2085,29,14521,Yadkinville,"",1435.85152537704,14358.5152537704,3115987965.39453,403366.49229781,202109100040
35,27101,2281,44,24321,Winston Salem,"",937.872620369228,9378.72620369228,356085731.400146,162957.922513793,202109100040
36,27103,3821,45,36071,Winston Salem,"",1059.29971445205,10592.9971445205,527249856.672729,146399.561156354,202109100040
37,27104,3037,41,29383,Winston Salem,"",1033.59085185311,10335.9085185311,337669863.683838,130394.134288752,202109100040
38,27105,5069,47,40186,Winston Salem,"",1261.38456178769,12613.8456178769,950547784.577881,208375.813794777,202109100040
39,27106,5196,60,51378,Winston Salem,"",1011.32780567558,10113.2780567558,787324720.967285,203893.681115083,202109100040
40,27107,6269,56,52432,Winston Salem,"",1195.64388159902,11956.4388159902,1859279716.41162,319111.813640457,202109100040
41,27127,4881,29,38510,Winston Salem,"",1267.46299662425,12674.6299662425,820319160.873047,213438.375685158,202109100040
42,27157,49,0,5,Winston Salem,"",,,827769.094482422,4216.57245655308,202109100040
43,27203,3194,60,21876,Asheboro,"",1460.04754068385,14600.4754068385,589408161.410522,188062.356665824,202109100040
44,27205,4514,53,34549,Asheboro,"",1306.55011722481,13065.5011722481,6255653514.79199,588011.232518038,202109100040
45,27207,405,2,3806,Bear Creek,"",1064.10930110352,10641.0930110352,2300194678.82397,473699.237818467,202109100040
46,27208,208,2,1691,Bennett,"",1230.04139562389,12300.4139562389,1029479783.1405,215638.108979383,202109100040
47,27209,802,41,4151,Biscoe,"",1932.06456275596,19320.6456275596,1198089302.20734,259108.004034657,202109100040
48,27212,403,1,1600,Blanch,"",2518.75,25187.5,1328181375.12305,277007.39975067,202109100040
49,27214,1336,14,11747,Browns Summit,"",1137.31165403933,11373.1165403933,1414533235.94788,324969.092830869,202109100040
50,27215,5570,79,44892,Burlington,"",1240.75559119665,12407.5559119665,1827823774.30115,298200.358945539,202109100040
51,27217,6112,108,39111,Burlington,"",1562.731712306,15627.31712306,3473433663.33496,513818.51476852,202109100040
52,27229,645,18,4014,Candor,"",1606.87593423019,16068.7593423019,2747739848.89313,367384.611313313,202109100040
53,27231,143,0,2048,Cedar Grove,"",698.2421875,6982.421875,987771348.581177,209108.769362036,202109100040
54,27233,384,4,3647,Climax,"",1052.92020839046,10529.2020839046,703252829.253662,187154.002103638,202109100040
55,27235,529,13,4575,Colfax,"",1156.28415300546,11562.8415300546,380654027.583252,148521.339190303,202109100040
56,27239,1189,16,9629,Denton,"",1234.81150690622,12348.1150690622,4319759872.9696,429373.198159064,202109100040
57,27242,264,4,2668,Eagle Springs,"",989.505247376312,9895.05247376312,1480408484.01825,321391.030328654,202109100040
58,27243,366,2,4665,Efland,"",784.565916398714,7845.65916398714,1142332751.10315,311755.144165646,202109100040
59,27244,2536,27,16259,Elon,"",1559.75152223384,15597.5152223384,1541989025.453,399696.340130384,202109100040
60,27248,527,6,4835,Franklinville,"",1089.9689762151,10899.689762151,942909114.352783,215710.992817749,202109100040
61,27249,1458,13,13355,Gibsonville,"",1091.72594533882,10917.2594533882,1679803774.77087,397477.611919868,202109100040
62,27252,165,2,2264,Goldston,"",728.798586572438,7287.98586572438,1142470673.17163,220926.147155476,202109100040
63,27253,4418,56,31464,Graham,"",1404.14441901856,14041.4441901856,2351372927.78931,521476.969804177,202109100040
64,27258,856,8,7740,Haw River,"",1105.94315245478,11059.4315245478,473631125.268677,312686.877842211,202109100040
65,27260,2720,46,25696,High Point,"",1058.53051058531,10585.3051058531,348441568.963501,133229.878739789,202109100040
66,27262,2570,65,24764,High Point,"",1037.79680180908,10377.9680180908,368730084.700928,171087.864383377,202109100040
67,27263,2580,42,22320,High Point,"",1155.91397849462,11559.1397849462,1121512604.52234,249658.228757679,202109100040
68,27265,5452,60,50038,High Point,"",1089.57192533674,10895.7192533674,1172957282.41284,307481.490778656,202109100040
69,27268,326,0,1695,High Point,"",1923.30383480826,19233.0383480826,2495618.64758301,8251.66869064816,202109100040
70,27278,2085,19,27181,Hillsborough,"",767.0799455502,7670.799455502,2885765742.02771,502574.675043234,202109100040
71,27281,332,3,3710,Jackson Springs,"",894.878706199461,8948.78706199461,2095606802.2608,479969.724586594,202109100040
72,27282,1712,26,16597,Jamestown,"",1031.51171898536,10315.1171898536,404066994.873657,168803.970950205,202109100040
73,27283,325,5,2982,Julian,"",1089.87256874581,10898.7256874581,711286368.914917,161239.518798817,202109100040
74,27284,6482,83,56201,Kernersville,"",1153.36026049359,11533.6026049359,2233069317.10205,420748.080109325,202109100040
75,27288,2550,63,23585,Eden,"",1081.1956752173,10811.956752173,1951079100.05676,304615.616752016,202109100040
76,27291,158,0,1538,Leasburg,"",1027.30819245774,10273.0819245774,1492904663.44434,314720.365319101,202109100040
77,27292,5231,44,41465,Lexington,"",1261.54588206921,12615.4588206921,4270233445.18579,407599.915340798,202109100040
78,27295,5312,64,39191,Lexington,"",1355.41323262994,13554.1323262994,3631502180.53174,466742.919509858,202109100040
79,27298,1118,12,10440,Liberty,"",1070.88122605364,10708.8122605364,2639148530.03284,431527.987760386,202109100040
80,27299,804,6,5254,Linwood,"",1530.26265702322,15302.6265702322,822543412.257813,203597.604040365,202109100040
81,27301,1320,21,10019,Mc Leansville,"",1317.49675616329,13174.9675616329,900133716.655151,287107.537324028,202109100040
82,27302,3407,23,32302,Mebane,"",1054.73345303696,10547.3345303696,3198656461.27478,644303.59427532,202109100040
83,27305,183,1,1585,Milton,"",1154.57413249211,11545.7413249211,687167820.539429,263836.485514183,202109100040
84,27306,887,20,5945,Mount Gilead,"",1492.01009251472,14920.1009251472,5305900334.83325,426306.558627535,202109100040
85,27310,776,4,8562,Oak Ridge,"",906.330296659659,9063.30296659659,526240082.103149,140986.043049622,202109100040
86,27311,353,1,3220,Pelham,"",1096.27329192547,10962.7329192547,1338371966.32642,293760.993606137,202109100040
87,27312,1283,26,22205,Pittsboro,"",577.7977932898,5777.977932898,5005768374.64233,617961.777569282,202109100040
88,27313,675,24,7288,Pleasant Garden,"",926.180021953897,9261.80021953897,760352714.59021,181619.740165306,202109100040
89,27314,86,1,1138,Prospect Hill,"",755.711775043937,7557.11775043937,773578280.842896,162162.976448062,202109100040
90,27315,156,0,2140,Providence,"",728.971962616822,7289.71962616822,697810511.310425,179457.95829655,202109100040
91,27316,889,15,7156,Ramseur,"",1242.31414197876,12423.1414197876,1975410509.03577,278228.393914438,202109100040
92,27317,2238,30,17851,Randleman,"",1253.71127667918,12537.1127667918,1700826686.43616,339539.515262609,202109100040
93,27320,4144,58,38894,Reidsville,"",1065.45996811848,10654.5996811848,6966725984.64832,658218.836963247,202109100040
94,27325,937,12,7676,Robbins,"",1220.68785825951,12206.8785825951,2401051783.47894,409075.895347679,202109100040
95,27326,410,2,3692,Ruffin,"",1110.50920910076,11105.0920910076,1884156536.74561,359587.547530237,202109100040
96,27330,5279,60,39529,Sanford,"",1335.47522072403,13354.7522072403,6011213414.18433,528161.840140257,202109100040
97,27332,3884,30,33549,Sanford,"",1157.70961876658,11577.0961876658,2996782209.29614,417113.164836099,202109100040
98,27341,601,4,5820,Seagrove,"",1032.64604810997,10326.4604810997,2678433259.4787,311632.157547413,202109100040
99,27343,152,0,1840,Semora,"",826.086956521739,8260.86956521739,1390260353.39624,348769.311430722,202109100040
100,27344,2446,37,19290,Siler City,"",1268.0145152929,12680.145152929,4591228058.44531,607903.308882544,202109100040
101,27349,718,5,5850,Snow Camp,"",1227.35042735043,12273.5042735043,1831279532.651,381750.490582419,202109100040
102,27350,793,10,7508,Sophia,"",1056.20671283964,10562.0671283964,1066449848.573,204602.636460839,202109100040
103,27355,288,2,3196,Staley,"",901.126408010012,9011.26408010013,1016358702.6969,245160.332752788,202109100040
104,27356,401,8,3513,Star,"",1141.47452319954,11414.7452319954,1815293543.21783,348288.37985576,202109100040
105,27357,1071,20,8325,Stokesdale,"",1286.48648648649,12864.8648648649,1273124268.28796,223115.118835702,202109100040
106,27358,1321,8,15960,Summerfield,"",827.694235588972,8276.94235588973,1557557662.14905,323017.176053331,202109100040
107,27360,6249,75,48331,Thomasville,"",1292.95897043306,12929.5897043306,2458732404.91687,372395.85217249,202109100040
108,27370,1955,34,14622,Trinity,"",1337.02639857749,13370.2639857749,1663817222.16028,344702.900725307,202109100040
109,27371,1050,12,7778,Troy,"",1349.96142967344,13499.6142967344,4076136455.00793,473833.643450898,202109100040
110,27376,1074,20,9884,West End,"",1086.60461351679,10866.0461351679,1781050002.06519,320932.333330313,202109100040
111,27377,1204,10,9597,Whitsett,"",1254.5587162655,12545.587162655,736936774.92627,183024.518653502,202109100040
112,27379,693,25,6057,Yanceyville,"",1144.13075780089,11441.3075780089,2663338769.75159,422550.665080929,202109100040
113,27401,2308,28,20221,Greensboro,"",1141.38766628752,11413.8766628752,171748092.127686,100334.769337553,202109100040
114,27403,1822,21,21278,Greensboro,"",856.283485289971,8562.83485289971,159396286.028687,87465.2545388649,202109100040
115,27405,5963,62,52510,Greensboro,"",1135.59322033898,11355.9322033898,886695637.391357,284328.526421691,202109100040
116,27406,6722,112,60755,Greensboro,"",1106.41099497984,11064.1099497984,1894160074.00403,327705.317343953,202109100040
117,27407,5360,72,49837,Greensboro,"",1075.50615004916,10755.0615004916,840498790.451172,227731.576408348,202109100040
118,27408,1512,8,17406,Greensboro,"",868.665977249224,8686.65977249224,221403500.549561,80148.1616765212,202109100040
119,27409,1843,18,17953,Greensboro,"",1026.56937559182,10265.6937559182,603872824.646484,239783.02449594,202109100040
120,27410,4876,51,56968,Greensboro,"",855.919112484202,8559.19112484202,859363574.914917,272309.563854046,202109100040
121,27455,2974,70,29197,Greensboro,"",1018.59780114395,10185.9780114395,816075696.678345,198282.860420201,202109100040
122,27501,2601,21,21338,Angier,"",1218.9521042272,12189.521042272,1683348454.90833,329143.189780915,202109100040
123,27502,3263,11,43747,Apex,"",745.87971746634,7458.7971746634,840126405.51062,242725.298081049,202109100040
124,27503,280,1,7222,Bahama,"",387.704237053448,3877.04237053448,1054708975.44934,246183.053747647,202109100040
125,27504,2597,26,16320,Benson,"",1591.29901960784,15912.9901960784,2584462015.08862,486262.181304732,202109100040
126,27505,790,12,7308,Broadway,"",1081.00711548987,10810.0711548987,1509842573.20557,320128.840505679,202109100040
127,27507,177,2,2053,Bullock,"",862.152946906965,8621.52946906965,1354883649.98218,266873.357504053,202109100040
