COVID Confirmed Asian or PacificIslander,COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Black African American,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Additional Groups,COVID Confirmed White
0,12,0,16,33,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-29,2,0,1,2,2,7,4,13,14,1,1,41,4,24,21,1,0,0,8,1,0,37
1,13,0,21,31,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-22,0,0,3,4,6,6,2,10,7,0,2,34,2,21,17,0,0,2,11,1,1,22
0,10,0,15,29,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-22,2,0,8,6,4,4,13,13,7,0,3,50,4,37,20,0,0,1,13,3,2,38
1,14,0,19,32,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-08,1,0,2,2,1,9,5,6,5,0,0,30,1,14,17,0,0,1,8,0,3,18
0,25,0,31,50,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-27,3,0,6,8,4,11,32,22,24,1,3,103,5,55,55,1,0,1,26,1,8,75
0,18,0,19,28,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-10,1,0,4,1,0,5,5,12,4,0,1,28,3,11,21,0,0,0,12,2,2,16
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-09,0,1,6,4,12,11,9,10,8,0,4,51,6,36,23,0,2,3,22,3,3,29
2,70,0,71,99,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-01,5,5,32,44,33,57,70,66,56,2,18,338,14,179,189,2,0,5,110,5,21,227
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-16,2,3,8,13,19,13,14,17,10,0,9,88,2,52,47,0,0,2,28,3,3,63
5,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-22,6,3,16,13,36,78,81,97,82,10,20,357,45,215,204,3,0,5,110,16,18,268
9,133,0,127,172,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-20,25,2,42,60,41,112,140,147,117,7,29,639,25,360,327,6,0,11,200,11,47,415
0,3,3,3,20,3,3,3,3,2022-06-15,T,2022-06-11,2021-02-20,2,1,5,11,13,36,45,42,26,1,8,157,17,91,91,0,0,3,53,1,6,119
1,0,0,1,18,0,0,0,0,2022-06-15,T,2022-06-11,2020-11-25,1,0,3,8,10,30,46,56,50,5,9,179,21,100,104,5,0,2,63,9,7,127
1,39,0,40,58,0,1,0,0,2022-06-15,T,2022-06-11,2021-10-25,3,1,7,7,11,20,16,24,21,1,6,102,2,58,52,1,0,3,27,1,7,72
3,0,0,0,25,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-03,4,4,20,39,42,102,79,65,44,4,22,367,14,204,195,4,0,10,93,7,20,270
1,53,0,61,82,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-17,8,2,15,20,15,38,43,58,46,3,16,223,9,127,118,3,0,6,47,10,19,165
1,0,0,0,5,0,3,0,0,2022-06-15,T,2022-06-11,2020-11-05,3,1,3,6,12,27,41,47,30,0,10,148,9,78,92,0,0,4,57,2,8,98
0,0,0,3,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-21,0,1,9,10,23,24,24,28,19,0,4,125,9,76,62,0,0,5,51,3,3,76
0,22,0,22,40,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-16,4,1,1,5,4,6,13,13,18,0,2,60,3,38,27,0,0,3,15,2,3,42
0,0,0,2,0,0,1,1,0,2022-06-15,T,2022-06-11,2021-03-02,4,0,9,9,17,21,35,28,24,0,12,124,10,73,74,0,0,4,35,4,11,92
4,106,0,107,139,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-03,12,3,36,35,49,61,95,124,90,6,10,473,28,269,235,6,1,10,121,11,23,342
1,43,0,43,65,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-23,5,0,9,10,10,21,25,23,17,1,8,105,8,60,60,1,0,4,20,2,9,85
5,0,0,0,1,5,5,5,5,2022-06-15,T,2022-06-11,2020-11-19,2,0,8,13,21,27,47,48,57,0,13,185,25,111,112,0,0,3,52,6,15,142
0,12,0,17,32,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-30,2,3,3,1,2,2,7,8,5,1,1,31,2,19,14,1,0,0,9,1,1,23
0,0,1,0,25,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-08,4,1,18,23,36,37,42,36,33,2,12,212,8,117,112,2,1,3,45,8,11,165
6,73,0,68,89,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-05,18,4,33,46,52,71,80,103,64,6,29,426,22,260,211,6,0,10,159,12,31,259
0,0,0,1,0,4,4,6,4,2022-06-15,T,2022-06-11,2020-12-10,4,2,8,16,25,46,73,74,60,0,14,275,19,150,158,0,0,4,91,4,15,192
1,17,17,20,17,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-09,0,1,6,10,13,20,26,26,17,3,7,101,14,62,57,3,0,0,34,5,6,76
0,20,0,24,34,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-24,4,0,3,3,1,3,7,15,13,0,2,41,6,24,25,0,0,2,5,2,2,38
1,15,0,16,30,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-12,1,2,5,5,4,8,12,18,12,0,4,60,3,36,31,0,0,0,21,1,5,39
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-10,9,2,17,35,47,65,63,52,44,6,26,288,26,171,162,7,0,4,66,13,27,228
0,33,0,33,53,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-05,2,1,7,10,8,12,21,26,8,2,8,80,9,44,51,2,0,1,24,5,4,63
0,0,0,1,19,5,7,5,4,2022-06-15,T,2022-06-11,2021-02-17,8,2,8,10,17,34,52,36,42,0,13,186,7,99,109,0,0,2,71,3,15,117
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-15,3,1,8,14,9,18,22,20,12,4,8,96,7,59,48,4,0,4,42,4,7,54
1,33,0,38,56,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-11,1,1,6,13,4,9,15,16,17,0,5,76,1,47,35,0,0,0,19,2,5,55
1,26,0,30,51,0,0,0,0,2022-06-15,T,2022-06-11,2022-06-06,6,0,5,7,7,11,18,22,23,3,3,90,9,56,43,3,0,1,19,6,5,70
