Total Cases That Were Reinfections,Total Cases by Date of Specimen collection,Total Antigen Cases by Date of Specimen Collection,Total Molecular Cases by Date of Specimen Collection,Death by Date of Death,County,Date
12,88,35,53,0,Craven,2022-07-25
8,27,12,15,0,Hertford,2022-07-25
20,106,11,95,0,Brunswick,2022-07-25
98,670,96,574,1,Mecklenburg,2022-07-25
7,32,10,22,0,Davie,2022-07-25
11,40,14,26,0,Vance,2022-07-25
26,168,8,160,0,Durham,2022-07-25
20,147,80,67,0,Wayne,2022-07-25
9,49,2,47,0,Edgecombe,2022-07-25
22,125,19,106,2,Gaston,2022-07-25
19,115,41,74,1,Buncombe,2022-07-25
34,176,21,155,0,Pitt,2022-07-25
13,116,20,96,0,Cabarrus,2022-07-25
5,41,20,21,1,Wilkes,2022-07-25
5,19,10,9,0,Macon,2022-07-25
17,77,31,46,0,Wilson,2022-07-25
15,86,55,31,0,Duplin,2022-07-25
5,32,6,26,0,Anson,2022-07-25
4,13,7,6,0,Ashe,2022-07-25
2,24,14,10,0,Transylvania,2022-07-25
31,197,24,173,0,Forsyth,2022-07-29
16,85,17,68,0,Johnston,2022-07-29
9,57,10,47,0,Caldwell,2022-07-29
22,104,18,86,0,Cabarrus,2022-07-29
5,22,11,11,0,Wilkes,2022-07-29
16,154,9,145,1,Durham,2022-07-29
0,3,1,2,0,Jones,2022-07-29
2,32,16,16,0,Craven,2022-07-29
5,35,15,20,0,Duplin,2022-07-29
66,377,42,335,2,Mecklenburg,2022-07-30
12,81,11,70,0,Cabarrus,2022-07-30
1,25,6,19,0,Moore,2022-07-30
13,67,8,59,0,Union,2022-07-30
9,98,10,88,0,Durham,2022-07-30
4,48,17,31,0,Catawba,2022-07-30
3,79,32,47,0,Buncombe,2022-07-30
9,62,4,58,0,Gaston,2022-07-30
14,108,19,89,0,Union,2022-08-02
24,102,15,87,0,Pitt,2022-08-02
9,49,7,42,0,Edgecombe,2022-08-02
3,44,16,28,0,Henderson,2022-07-29
23,162,7,155,1,Durham,2022-08-02
9,101,47,54,0,Wayne,2022-08-02
0,4,2,2,0,Polk,2022-07-29
3,26,2,24,0,Stanly,2022-07-29
4,36,12,24,0,Hoke,2022-08-02
19,116,37,79,1,Catawba,2022-08-02
17,108,14,94,0,Cabarrus,2022-08-02
5,15,2,13,0,Person,2022-08-02
24,119,15,104,2,Gaston,2022-08-02
7,74,32,42,0,Buncombe,2022-08-02
15,63,14,49,0,Cleveland,2022-08-02
6,62,27,35,0,Craven,2022-08-02
0,6,1,5,0,Washington,2022-08-02
14,99,61,38,0,Wayne,2022-07-29
7,34,1,33,1,Cleveland,2022-07-30
0,7,0,7,0,Bertie,2022-07-30
11,92,19,73,0,Johnston,2022-08-04
2,11,4,7,0,Macon,2022-08-04
7,37,9,28,0,Person,2022-07-25
19,80,17,63,0,Cabarrus,2022-08-04
25,92,12,80,0,Pitt,2022-08-04
4,28,3,25,0,Granville,2022-08-04
11,83,40,43,0,Wayne,2022-08-04
5,27,23,4,0,Scotland,2022-08-02
2,25,7,18,1,Carteret,2022-08-02
7,27,6,21,0,Yadkin,2022-08-02
3,29,4,25,0,Edgecombe,2022-08-04
28,182,34,148,0,Cumberland,2022-08-08
6,32,12,20,0,Wilson,2022-08-04
7,45,7,38,0,Halifax,2022-08-08
50,249,43,206,0,Forsyth,2022-08-08
31,159,13,146,0,Onslow,2022-08-08
15,65,30,35,1,Randolph,2022-08-08
16,66,20,46,0,Harnett,2022-08-08
2,12,7,5,0,Pamlico,2022-08-08
20,102,46,56,0,Iredell,2022-08-10
11,37,3,34,0,Stanly,2022-08-10
12,55,24,31,1,Randolph,2022-08-10
12,64,37,27,0,Wayne,2022-08-10
3,15,3,12,0,Northampton,2022-08-08
19,97,8,89,0,Cabarrus,2022-08-10
6,48,6,42,0,Rockingham,2022-08-10
4,22,4,18,0,Granville,2022-08-10
2,19,9,10,0,Bladen,2022-08-10
3,14,5,9,0,Warren,2022-08-08
1,9,0,9,0,Person,2022-07-29
4,15,0,15,0,Alexander,2022-07-30
16,146,17,129,0,Durham,2022-08-10
9,47,5,42,0,Caldwell,2022-08-12
71,371,50,321,3,Mecklenburg,2022-08-12
5,23,5,18,0,Davie,2022-08-10
16,66,29,37,0,Robeson,2022-08-12
3,12,3,9,0,Warren,2022-08-10
2,13,5,8,0,Davie,2022-07-29
1,16,7,9,1,Hertford,2022-07-29
2,31,18,13,0,Sampson,2022-07-29
5,21,4,17,0,Stanly,2022-08-12
16,116,8,108,0,Durham,2022-08-12
3,11,2,9,0,Person,2022-07-30
4,27,10,17,0,Wilson,2022-07-30
3,16,13,3,0,Columbus,2022-08-12
0,18,1,17,0,Anson,2022-08-02
5,17,1,16,1,Edgecombe,2022-08-12
5,47,7,40,0,Burke,2022-08-12
4,25,6,19,0,Alexander,2022-08-02
4,62,15,47,1,New Hanover,2022-08-12
0,10,5,5,0,Transylvania,2022-08-02
2,10,3,7,0,Yancey,2022-08-04
6,21,0,21,0,Stanly,2022-08-04
7,47,12,35,0,Craven,2022-08-04
5,22,14,8,0,Columbus,2022-08-04
2,10,3,7,0,Northampton,2022-08-04
1,11,7,4,0,Pamlico,2022-08-04
7,33,7,26,0,Halifax,2022-08-04
4,45,25,20,0,Sampson,2022-08-04
15,65,34,31,0,Robeson,2022-08-08
3,21,9,12,0,Lee,2022-08-08
4,20,8,12,0,Pasquotank,2022-08-08
0,16,1,15,0,Caswell,2022-08-08
2,15,5,10,0,Montgomery,2022-08-08
12,62,35,27,0,Robeson,2022-08-10
1,16,2,14,0,Burke,2022-08-20
6,28,8,20,0,Lee,2022-08-10
17,99,10,89,0,Onslow,2022-08-10
2,25,15,10,1,Randolph,2022-08-20
6,34,6,28,0,Onslow,2022-08-20
4,34,6,28,0,Cabarrus,2022-08-20
7,64,11,53,0,Durham,2022-08-20
0,6,2,4,0,Transylvania,2022-08-20
1,14,9,5,0,Sampson,2022-08-20
2,19,2,17,0,Craven,2022-08-20
4,23,14,9,0,Haywood,2022-08-10
3,20,3,17,0,Granville,2022-08-12
49,355,44,311,0,Mecklenburg,2022-08-29
29,131,24,107,0,Gaston,2022-08-29
3,40,8,32,0,Henderson,2022-08-29
7,41,2,39,0,Burke,2022-08-29
17,77,13,64,1,Onslow,2022-08-12
5,33,19,14,0,Sampson,2022-08-29
4,36,20,16,0,Haywood,2022-08-29
8,39,12,27,1,Vance,2022-08-29
12,80,5,75,0,Onslow,2022-08-29
1,8,4,4,0,Currituck,2022-08-29
40,270,53,217,0,Mecklenburg,2022-09-02
13,67,5,62,0,Union,2022-09-02
11,144,26,118,0,Guilford,2022-09-02
2,25,10,15,0,Yadkin,2022-09-02
5,81,3,78,0,Durham,2022-09-02
3,12,6,6,0,Person,2022-09-02
2,16,6,10,0,Hoke,2022-09-02
9,53,15,38,0,Davidson,2022-09-02
2,7,1,6,0,Duplin,2022-08-20
3,21,15,6,0,Robeson,2022-08-20
3,17,2,15,0,Edgecombe,2022-08-29
13,86,33,53,0,Buncombe,2022-08-29
5,29,13,16,0,Lenoir,2022-06-16
8,34,9,25,0,Stokes,2022-08-29
60,412,46,366,0,Mecklenburg,2022-06-16
2,20,1,19,0,Rutherford,2022-06-16
7,25,4,21,0,Halifax,2022-08-29
6,18,8,10,0,Columbus,2022-08-29
20,174,26,148,0,Durham,2022-06-16
10,119,22,97,1,Forsyth,2022-06-16
6,28,11,17,0,Davie,2022-06-16
6,22,2,20,1,Lee,2022-08-29
0,4,2,2,0,Macon,2022-09-02
3,20,4,16,0,Rutherford,2022-09-02
0,5,2,3,1,Vance,2022-09-02
1,7,0,7,0,Warren,2022-08-29
3,30,4,26,1,Pitt,2022-08-20
6,70,32,38,0,Catawba,2022-09-02
2,26,7,19,0,Lincoln,2022-09-02
3,16,9,7,1,Haywood,2022-08-20
5,12,2,10,0,Transylvania,2022-09-02
10,50,13,37,0,Pitt,2022-09-02
1,31,15,16,1,Moore,2022-09-02
5,35,4,31,0,Cleveland,2022-09-02
2,29,4,25,0,Burke,2022-06-16
2,4,1,3,0,Martin,2022-09-02
1,13,10,3,0,Sampson,2022-06-16
11,53,22,31,0,Robeson,2022-09-14
15,112,7,105,1,Durham,2022-09-14
15,74,15,59,0,Pitt,2022-09-14
6,63,9,54,0,Brunswick,2022-06-16
2,5,2,3,0,Cherokee,2022-09-14
37,275,40,235,0,Wake,2022-09-14
13,60,8,52,0,Cabarrus,2022-09-14
4,16,3,13,0,Rutherford,2022-09-14
4,24,4,20,0,McDowell,2022-09-14
4,22,5,17,0,Nash,2022-06-16
4,25,17,8,0,Wilkes,2022-09-14
5,31,10,21,0,Harnett,2022-06-16
10,43,4,39,0,Onslow,2022-09-14
6,28,7,21,0,Granville,2022-09-14
4,39,18,21,0,Craven,2022-09-14
0,9,1,8,0,Madison,2022-06-16
7,38,5,33,0,Cleveland,2022-06-16
6,29,6,23,0,Caldwell,2022-06-16
0,13,6,7,0,Transylvania,2022-06-16
5,31,6,25,0,Granville,2022-06-16
4,19,9,10,0,McDowell,2022-06-16
5,23,2,21,0,Granville,2022-08-29
13,51,16,35,0,Harnett,2022-08-29
5,10,6,4,0,Polk,2022-06-28
12,104,33,71,0,Buncombe,2022-06-28
12,87,19,68,1,Cabarrus,2022-06-28
1,19,1,18,0,Alexander,2022-09-02
1,15,8,7,1,Sampson,2022-09-02
17,84,55,29,0,Wayne,2022-06-28
18,155,35,120,0,Cumberland,2022-06-28
5,22,2,20,0,Stanly,2022-06-28
