state,county,date,cases_daily,deaths_daily,pct_pos,cases_confirmed_cum,deaths_confirmed_cum
North Carolina,Alamance,2020-01-22,0,0,,0,0
North Carolina,Alexander,2020-01-22,0,0,,0,0
North Carolina,Alleghany,2020-01-22,0,0,,0,0
North Carolina,Anson,2020-01-22,0,0,,0,0
North Carolina,Ashe,2020-01-22,0,0,,0,0
North Carolina,Avery,2020-01-22,0,0,,0,0
North Carolina,Beaufort,2020-01-22,0,0,,0,0
North Carolina,Bertie,2020-01-22,0,0,,0,0
North Carolina,Bladen,2020-01-22,0,0,,0,0
North Carolina,Brunswick,2020-01-22,0,0,,0,0
North Carolina,Buncombe,2020-01-22,0,0,,0,0
North Carolina,Burke,2020-01-22,0,0,,0,0
North Carolina,Cabarrus,2020-01-22,0,0,,0,0
North Carolina,Caldwell,2020-01-22,0,0,,0,0
North Carolina,Camden,2020-01-22,0,0,,0,0
North Carolina,Carteret,2020-01-22,0,0,,0,0
North Carolina,Caswell,2020-01-22,0,0,,0,0
North Carolina,Catawba,2020-01-22,0,0,,0,0
North Carolina,Chatham,2020-01-22,0,0,,0,0
North Carolina,Cherokee,2020-01-22,0,0,,0,0
North Carolina,Chowan,2020-01-22,0,0,,0,0
North Carolina,Clay,2020-01-22,0,0,,0,0
North Carolina,Cleveland,2020-01-22,0,0,,0,0
North Carolina,Columbus,2020-01-22,0,0,,0,0
North Carolina,Craven,2020-01-22,0,0,,0,0
North Carolina,Cumberland,2020-01-22,0,0,,0,0
North Carolina,Currituck,2020-01-22,0,0,,0,0
North Carolina,Dare,2020-01-22,0,0,,0,0
North Carolina,Davidson,2020-01-22,0,0,,0,0
North Carolina,Davie,2020-01-22,0,0,,0,0
North Carolina,Duplin,2020-01-22,0,0,,0,0
North Carolina,Durham,2020-01-22,0,0,,0,0
North Carolina,Edgecombe,2020-01-22,0,0,,0,0
North Carolina,Forsyth,2020-01-22,0,0,,0,0
North Carolina,Franklin,2020-01-22,0,0,,0,0
North Carolina,Gaston,2020-01-22,0,0,,0,0
North Carolina,Gates,2020-01-22,0,0,,0,0
North Carolina,Graham,2020-01-22,0,0,,0,0
North Carolina,Granville,2020-01-22,0,0,,0,0
North Carolina,Greene,2020-01-22,0,0,,0,0
North Carolina,Guilford,2020-01-22,0,0,,0,0
North Carolina,Halifax,2020-01-22,0,0,,0,0
North Carolina,Harnett,2020-01-22,0,0,,0,0
North Carolina,Haywood,2020-01-22,0,0,,0,0
North Carolina,Henderson,2020-01-22,0,0,,0,0
North Carolina,Hertford,2020-01-22,0,0,,0,0
North Carolina,Hoke,2020-01-22,0,0,,0,0
North Carolina,Hyde,2020-01-22,0,0,,0,0
North Carolina,Iredell,2020-01-22,0,0,,0,0
North Carolina,Jackson,2020-01-22,0,0,,0,0
North Carolina,Johnston,2020-01-22,0,0,,0,0
North Carolina,Jones,2020-01-22,0,0,,0,0
North Carolina,Lee,2020-01-22,0,0,,0,0
North Carolina,Lenoir,2020-01-22,0,0,,0,0
North Carolina,Lincoln,2020-01-22,0,0,,0,0
North Carolina,Macon,2020-01-22,0,0,,0,0
North Carolina,Madison,2020-01-22,0,0,,0,0
North Carolina,Martin,2020-01-22,0,0,,0,0
North Carolina,McDowell,2020-01-22,0,0,,0,0
North Carolina,Mecklenburg,2020-01-22,0,0,,0,0
North Carolina,Mitchell,2020-01-22,0,0,,0,0
North Carolina,Montgomery,2020-01-22,0,0,,0,0
North Carolina,Moore,2020-01-22,0,0,,0,0
North Carolina,Nash,2020-01-22,0,0,,0,0
North Carolina,New Hanover,2020-01-22,0,0,,0,0
North Carolina,Northampton,2020-01-22,0,0,,0,0
North Carolina,Onslow,2020-01-22,0,0,,0,0
North Carolina,Orange,2020-01-22,0,0,,0,0
North Carolina,Out of NC,2020-01-22,0,0,,0,0
North Carolina,Pamlico,2020-01-22,0,0,,0,0
North Carolina,Pasquotank,2020-01-22,0,0,,0,0
North Carolina,Pender,2020-01-22,0,0,,0,0
North Carolina,Perquimans,2020-01-22,0,0,,0,0
North Carolina,Person,2020-01-22,0,0,,0,0
North Carolina,Pitt,2020-01-22,0,0,,0,0
North Carolina,Polk,2020-01-22,0,0,,0,0
North Carolina,Randolph,2020-01-22,0,0,,0,0
North Carolina,Richmond,2020-01-22,0,0,,0,0
North Carolina,Robeson,2020-01-22,0,0,,0,0
North Carolina,Rockingham,2020-01-22,0,0,,0,0
North Carolina,Rowan,2020-01-22,0,0,,0,0
North Carolina,Rutherford,2020-01-22,0,0,,0,0
North Carolina,Sampson,2020-01-22,0,0,,0,0
North Carolina,Scotland,2020-01-22,0,0,,0,0
North Carolina,Stanly,2020-01-22,0,0,,0,0
North Carolina,Stokes,2020-01-22,0,0,,0,0
North Carolina,Surry,2020-01-22,0,0,,0,0
North Carolina,Swain,2020-01-22,0,0,,0,0
North Carolina,Transylvania,2020-01-22,0,0,,0,0
North Carolina,Tyrrell,2020-01-22,0,0,,0,0
North Carolina,Unassigned,2020-01-22,0,0,,0,0
North Carolina,Union,2020-01-22,0,0,,0,0
North Carolina,Vance,2020-01-22,0,0,,0,0
North Carolina,Wake,2020-01-22,0,0,,0,0
North Carolina,Warren,2020-01-22,0,0,,0,0
North Carolina,Washington,2020-01-22,0,0,,0,0
North Carolina,Watauga,2020-01-22,0,0,,0,0
North Carolina,Wayne,2020-01-22,0,0,,0,0
North Carolina,Wilkes,2020-01-22,0,0,,0,0
North Carolina,Wilson,2020-01-22,0,0,,0,0
North Carolina,Yadkin,2020-01-22,0,0,,0,0
North Carolina,Yancey,2020-01-22,0,0,,0,0
North Carolina,Alamance,2020-01-23,0,0,,0,0
North Carolina,Alexander,2020-01-23,0,0,,0,0
North Carolina,Alleghany,2020-01-23,0,0,,0,0
North Carolina,Anson,2020-01-23,0,0,,0,0
North Carolina,Ashe,2020-01-23,0,0,,0,0
North Carolina,Avery,2020-01-23,0,0,,0,0
North Carolina,Beaufort,2020-01-23,0,0,,0,0
North Carolina,Bertie,2020-01-23,0,0,,0,0
North Carolina,Bladen,2020-01-23,0,0,,0,0
North Carolina,Brunswick,2020-01-23,0,0,,0,0
North Carolina,Buncombe,2020-01-23,0,0,,0,0
North Carolina,Burke,2020-01-23,0,0,,0,0
North Carolina,Cabarrus,2020-01-23,0,0,,0,0
North Carolina,Caldwell,2020-01-23,0,0,,0,0
North Carolina,Camden,2020-01-23,0,0,,0,0
North Carolina,Carteret,2020-01-23,0,0,,0,0
North Carolina,Caswell,2020-01-23,0,0,,0,0
North Carolina,Catawba,2020-01-23,0,0,,0,0
North Carolina,Chatham,2020-01-23,0,0,,0,0
North Carolina,Cherokee,2020-01-23,0,0,,0,0
North Carolina,Chowan,2020-01-23,0,0,,0,0
North Carolina,Clay,2020-01-23,0,0,,0,0
North Carolina,Cleveland,2020-01-23,0,0,,0,0
North Carolina,Columbus,2020-01-23,0,0,,0,0
North Carolina,Craven,2020-01-23,0,0,,0,0
North Carolina,Cumberland,2020-01-23,0,0,,0,0
North Carolina,Currituck,2020-01-23,0,0,,0,0
North Carolina,Dare,2020-01-23,0,0,,0,0
North Carolina,Davidson,2020-01-23,0,0,,0,0
North Carolina,Davie,2020-01-23,0,0,,0,0
North Carolina,Duplin,2020-01-23,0,0,,0,0
North Carolina,Durham,2020-01-23,0,0,,0,0
North Carolina,Edgecombe,2020-01-23,0,0,,0,0
North Carolina,Forsyth,2020-01-23,0,0,,0,0
North Carolina,Franklin,2020-01-23,0,0,,0,0
North Carolina,Gaston,2020-01-23,0,0,,0,0
North Carolina,Gates,2020-01-23,0,0,,0,0
North Carolina,Graham,2020-01-23,0,0,,0,0
North Carolina,Granville,2020-01-23,0,0,,0,0
North Carolina,Greene,2020-01-23,0,0,,0,0
North Carolina,Guilford,2020-01-23,0,0,,0,0
North Carolina,Halifax,2020-01-23,0,0,,0,0
North Carolina,Harnett,2020-01-23,0,0,,0,0
North Carolina,Haywood,2020-01-23,0,0,,0,0
North Carolina,Henderson,2020-01-23,0,0,,0,0
North Carolina,Hertford,2020-01-23,0,0,,0,0
North Carolina,Hoke,2020-01-23,0,0,,0,0
North Carolina,Hyde,2020-01-23,0,0,,0,0
North Carolina,Iredell,2020-01-23,0,0,,0,0
North Carolina,Jackson,2020-01-23,0,0,,0,0
North Carolina,Johnston,2020-01-23,0,0,,0,0
North Carolina,Jones,2020-01-23,0,0,,0,0
North Carolina,Lee,2020-01-23,0,0,,0,0
North Carolina,Lenoir,2020-01-23,0,0,,0,0
North Carolina,Lincoln,2020-01-23,0,0,,0,0
North Carolina,Macon,2020-01-23,0,0,,0,0
North Carolina,Madison,2020-01-23,0,0,,0,0
North Carolina,Martin,2020-01-23,0,0,,0,0
North Carolina,McDowell,2020-01-23,0,0,,0,0
North Carolina,Mecklenburg,2020-01-23,0,0,,0,0
North Carolina,Mitchell,2020-01-23,0,0,,0,0
North Carolina,Montgomery,2020-01-23,0,0,,0,0
North Carolina,Moore,2020-01-23,0,0,,0,0
North Carolina,Nash,2020-01-23,0,0,,0,0
North Carolina,New Hanover,2020-01-23,0,0,,0,0
North Carolina,Northampton,2020-01-23,0,0,,0,0
North Carolina,Onslow,2020-01-23,0,0,,0,0
North Carolina,Orange,2020-01-23,0,0,,0,0
North Carolina,Out of NC,2020-01-23,0,0,,0,0
North Carolina,Pamlico,2020-01-23,0,0,,0,0
North Carolina,Pasquotank,2020-01-23,0,0,,0,0
North Carolina,Pender,2020-01-23,0,0,,0,0
North Carolina,Perquimans,2020-01-23,0,0,,0,0
North Carolina,Person,2020-01-23,0,0,,0,0
North Carolina,Pitt,2020-01-23,0,0,,0,0
North Carolina,Polk,2020-01-23,0,0,,0,0
North Carolina,Randolph,2020-01-23,0,0,,0,0
North Carolina,Richmond,2020-01-23,0,0,,0,0
North Carolina,Robeson,2020-01-23,0,0,,0,0
North Carolina,Rockingham,2020-01-23,0,0,,0,0
North Carolina,Rowan,2020-01-23,0,0,,0,0
North Carolina,Rutherford,2020-01-23,0,0,,0,0
North Carolina,Sampson,2020-01-23,0,0,,0,0
North Carolina,Scotland,2020-01-23,0,0,,0,0
North Carolina,Stanly,2020-01-23,0,0,,0,0
North Carolina,Stokes,2020-01-23,0,0,,0,0
North Carolina,Surry,2020-01-23,0,0,,0,0
North Carolina,Swain,2020-01-23,0,0,,0,0
North Carolina,Transylvania,2020-01-23,0,0,,0,0
North Carolina,Tyrrell,2020-01-23,0,0,,0,0
North Carolina,Unassigned,2020-01-23,0,0,,0,0
North Carolina,Union,2020-01-23,0,0,,0,0
North Carolina,Vance,2020-01-23,0,0,,0,0
North Carolina,Wake,2020-01-23,0,0,,0,0
North Carolina,Warren,2020-01-23,0,0,,0,0
North Carolina,Washington,2020-01-23,0,0,,0,0
North Carolina,Watauga,2020-01-23,0,0,,0,0
North Carolina,Wayne,2020-01-23,0,0,,0,0
North Carolina,Wilkes,2020-01-23,0,0,,0,0
North Carolina,Wilson,2020-01-23,0,0,,0,0
North Carolina,Yadkin,2020-01-23,0,0,,0,0
North Carolina,Yancey,2020-01-23,0,0,,0,0
North Carolina,Alamance,2020-01-24,0,0,,0,0
North Carolina,Alexander,2020-01-24,0,0,,0,0
North Carolina,Alleghany,2020-01-24,0,0,,0,0
North Carolina,Anson,2020-01-24,0,0,,0,0
North Carolina,Ashe,2020-01-24,0,0,,0,0
North Carolina,Avery,2020-01-24,0,0,,0,0
North Carolina,Beaufort,2020-01-24,0,0,,0,0
North Carolina,Bertie,2020-01-24,0,0,,0,0
North Carolina,Bladen,2020-01-24,0,0,,0,0
North Carolina,Brunswick,2020-01-24,0,0,,0,0
North Carolina,Buncombe,2020-01-24,0,0,,0,0
North Carolina,Burke,2020-01-24,0,0,,0,0
North Carolina,Cabarrus,2020-01-24,0,0,,0,0
North Carolina,Caldwell,2020-01-24,0,0,,0,0
North Carolina,Camden,2020-01-24,0,0,,0,0
North Carolina,Carteret,2020-01-24,0,0,,0,0
North Carolina,Caswell,2020-01-24,0,0,,0,0
North Carolina,Catawba,2020-01-24,0,0,,0,0
North Carolina,Chatham,2020-01-24,0,0,,0,0
North Carolina,Cherokee,2020-01-24,0,0,,0,0
North Carolina,Chowan,2020-01-24,0,0,,0,0
North Carolina,Clay,2020-01-24,0,0,,0,0
North Carolina,Cleveland,2020-01-24,0,0,,0,0
North Carolina,Columbus,2020-01-24,0,0,,0,0
North Carolina,Craven,2020-01-24,0,0,,0,0
North Carolina,Cumberland,2020-01-24,0,0,,0,0
North Carolina,Currituck,2020-01-24,0,0,,0,0
North Carolina,Dare,2020-01-24,0,0,,0,0
North Carolina,Davidson,2020-01-24,0,0,,0,0
North Carolina,Davie,2020-01-24,0,0,,0,0
North Carolina,Duplin,2020-01-24,0,0,,0,0
North Carolina,Durham,2020-01-24,0,0,,0,0
North Carolina,Edgecombe,2020-01-24,0,0,,0,0
