ZIPCode,Place,date,cases_confirmed_cum,deaths_confirmed_cum,TotalPop,cases_daily,deaths_daily,state,cases_per_100k
27006,Advance,2020-05-08,10,2,14872,10,2,North Carolina,67.2404518558365
27007,Ararat,2020-05-08,1,0,2136,1,0,North Carolina,46.8164794007491
27009,Belews Creek,2020-05-08,2,0,2937,2,0,North Carolina,68.0966973101805
27011,Boonville,2020-05-08,7,0,5411,7,0,North Carolina,129.366106080207
27012,Clemmons,2020-05-08,19,0,28954,19,0,North Carolina,65.6213303861297
27013,Cleveland,2020-05-08,10,0,6495,10,0,North Carolina,153.964588144727
27014,Cooleemee,2020-05-08,0,0,957,0,0,North Carolina,0
27016,Danbury,2020-05-08,0,0,1682,0,0,North Carolina,0
27017,Dobson,2020-05-08,5,0,9499,5,0,North Carolina,52.6371196968102
27018,East Bend,2020-05-08,7,1,8221,7,1,North Carolina,85.1477922393869
27019,Germanton,2020-05-08,2,0,4234,2,0,North Carolina,47.2366556447804
27020,Hamptonville,2020-05-08,4,0,6104,4,0,North Carolina,65.5307994757536
27021,King,2020-05-08,3,0,17979,3,0,North Carolina,16.6861338227933
27022,Lawsonville,2020-05-08,0,0,1512,0,0,North Carolina,0
27023,Lewisville,2020-05-08,22,1,12775,22,1,North Carolina,172.211350293542
27024,Lowgap,2020-05-08,2,0,2683,2,0,North Carolina,74.5434215430488
27025,Madison,2020-05-08,5,0,11117,5,0,North Carolina,44.9761626338041
27027,Mayodan,2020-05-08,0,0,4017,0,0,North Carolina,0
27028,Mocksville,2020-05-08,21,0,28039,21,0,North Carolina,74.8956810157281
27030,Mount Airy,2020-05-08,15,1,37641,15,1,North Carolina,39.8501633856699
27040,Pfafftown,2020-05-08,7,0,13150,7,0,North Carolina,53.2319391634981
27041,Pilot Mountain,2020-05-08,2,0,8020,2,0,North Carolina,24.9376558603491
27042,Pine Hall,2020-05-08,2,0,720,2,0,North Carolina,277.777777777778
27043,Pinnacle,2020-05-08,3,0,6442,3,0,North Carolina,46.5693883886992
27045,Rural Hall,2020-05-08,4,0,9583,4,0,North Carolina,41.7405822811228
27046,Sandy Ridge,2020-05-08,0,0,1953,0,0,North Carolina,0
27047,Siloam,2020-05-08,1,0,1279,1,0,North Carolina,78.1860828772479
27048,Stoneville,2020-05-08,5,0,8902,5,0,North Carolina,56.1671534486632
27050,Tobaccoville,2020-05-08,1,0,4084,1,0,North Carolina,24.4857982370225
27051,Walkertown,2020-05-08,7,0,8287,7,0,North Carolina,84.4696512610112
27052,Walnut Cove,2020-05-08,5,0,10061,5,0,North Carolina,49.6968492197595
27053,Westfield,2020-05-08,0,0,3156,0,0,North Carolina,0
27054,Woodleaf,2020-05-08,1,0,2608,1,0,North Carolina,38.3435582822086
27055,Yadkinville,2020-05-08,17,0,14521,17,0,North Carolina,117.071827009159
27101,Winston Salem,2020-05-08,16,0,24321,16,0,North Carolina,65.786768636158
27103,Winston Salem,2020-05-08,44,1,36071,44,1,North Carolina,121.981647306701
27104,Winston Salem,2020-05-08,66,1,29383,66,1,North Carolina,224.619678045128
27105,Winston Salem,2020-05-08,30,0,40186,30,0,North Carolina,74.6528641815558
27106,Winston Salem,2020-05-08,32,1,51378,32,1,North Carolina,62.2834676320604
27107,Winston Salem,2020-05-08,63,1,52432,63,1,North Carolina,120.155630149527
27127,Winston Salem,2020-05-08,34,0,38510,34,0,North Carolina,88.2887561672293
27203,Asheboro,2020-05-08,94,1,21876,94,1,North Carolina,429.694642530627
27205,Asheboro,2020-05-08,61,2,34549,61,2,North Carolina,176.560826652002
27207,Bear Creek,2020-05-08,11,0,3806,11,0,North Carolina,289.017341040462
27208,Bennett,2020-05-08,7,0,1691,7,0,North Carolina,413.956238911886
27209,Biscoe,2020-05-08,15,2,4151,15,2,North Carolina,361.358708744881
27212,Blanch,2020-05-08,15,0,1600,15,0,North Carolina,937.5
27214,Browns Summit,2020-05-08,6,1,11747,6,1,North Carolina,51.076870690389
27215,Burlington,2020-05-08,25,3,44892,25,3,North Carolina,55.6892096587365
