.id,facility_type,facility_county,facility_name,staff_cases,staff_deaths,resident_cases,resident_deaths,total_cases,total_deaths,daily_cases,daily_deaths
2020-07-19,Nursing Home,Scotland,Scotia Village,2,0,0,0,2,0,,
2020-07-19,Nursing Home,Stanly,Bethany Woods Nursing and,3,0,4,0,7,0,,
2020-07-19,Nursing Home,Stanly,Forrest Oakes Healthcare Center,2,0,0,0,2,0,,
2020-07-19,Nursing Home,Stanly,Stanly Manor,3,0,1,0,4,0,,
2020-07-19,Nursing Home,Stanly,Trinity Place,6,0,6,0,12,0,,
2020-07-19,Nursing Home,Stokes,LifeBrite Long Term Care affiliated with,2,0,0,0,2,0,,
2020-07-19,Nursing Home,Surry,Pruitt Health-Elkin,3,0,4,0,7,0,,
2020-07-19,Nursing Home,Vance,Kerr Lake Nursing and Rehabilitation,28,0,48,11,76,11,,
2020-07-19,Nursing Home,Vance,Pelican Health Henderson,18,0,59,14,77,14,,
2020-07-19,Nursing Home,Vance,Senior Citizen's Home Inc.,6,0,17,2,23,2,,
2020-07-19,Nursing Home,Wake,Capital Nursing and Rehabilitation Center,4,0,27,1,31,1,,
2020-07-19,Nursing Home,Wake,Cary Health and Rehabilitation Center,2,0,0,0,2,0,,
2020-07-19,Nursing Home,Wake,Dan E and Mary Louise Stewart Health,6,0,21,0,27,0,,
2020-07-19,Nursing Home,Wake,Hillside Nursing Center of Wake Forest,8,0,58,0,66,0,,
2020-07-19,Nursing Home,Wake,Litchford Falls Healthcare and,13,0,32,1,45,1,,
2020-07-19,Nursing Home,Wake,PruittHealth- Raleigh,3,0,0,0,3,0,,
2020-07-19,Nursing Home,Wake,Raleigh Rehabilitation Center,2,0,0,0,2,0,,
2020-07-19,Nursing Home,Wake,Sunnybrook Rehabilitation Center,14,0,34,6,48,6,,
2020-07-19,Nursing Home,Wake,The Laurels of Forest Glenn,7,0,54,1,61,1,,
2020-07-19,Nursing Home,Wake,The Oaks at Whitaker Glen-Mayview,2,0,0,0,2,0,,
2020-07-19,Nursing Home,Wake,Tower Nursing and Rehabilitation Center,2,0,0,0,2,0,,
2020-07-19,Nursing Home,Wake,UNC Rex Rehabilitation and Nursing,14,0,26,4,40,4,,
2020-07-19,Nursing Home,Wake,UNC Rex Rehabilitation and Nursing,10,0,10,1,20,1,-20,-3
2020-07-19,Nursing Home,Wake,Universal Health Care/North Raleigh,2,0,2,0,4,0,,
2020-07-19,Nursing Home,Wake,Wellington Rehabilitation and Healthcare,41,0,40,14,81,14,,
2020-07-20,Nursing Home,Scotland,Scotia Village,2,0,0,0,2,0,0,0
2020-07-20,Nursing Home,Stanly,Bethany Woods Nursing and,3,0,4,0,7,0,0,0
2020-07-20,Nursing Home,Stanly,Forrest Oakes Healthcare Center,2,0,0,0,2,0,0,0
2020-07-20,Nursing Home,Stanly,Stanly Manor,3,0,1,0,4,0,0,0
2020-07-20,Nursing Home,Stanly,Trinity Place,6,0,6,0,12,0,0,0
2020-07-20,Nursing Home,Stokes,LifeBrite Long Term Care affiliated with,2,0,0,0,2,0,0,0
2020-07-20,Nursing Home,Surry,Pruitt Health-Elkin,3,0,4,0,7,0,0,0
2020-07-20,Nursing Home,Vance,Kerr Lake Nursing and Rehabilitation,28,0,48,11,76,11,0,0
2020-07-20,Nursing Home,Vance,Pelican Health Henderson,18,0,59,14,77,14,0,0
2020-07-20,Nursing Home,Vance,Senior Citizen's Home Inc.,6,0,17,2,23,2,0,0
2020-07-20,Nursing Home,Wake,Capital Nursing and Rehabilitation Center,4,0,27,1,31,1,0,0
2020-07-20,Nursing Home,Wake,Cary Health and Rehabilitation Center,2,0,0,0,2,0,0,0
2020-07-20,Nursing Home,Wake,Dan E and Mary Louise Stewart Health,6,0,21,0,27,0,0,0
2020-07-20,Nursing Home,Wake,Hillside Nursing Center of Wake Forest,8,0,58,0,66,0,0,0
2020-07-20,Nursing Home,Wake,Litchford Falls Healthcare and,13,0,32,1,45,1,0,0
2020-07-20,Nursing Home,Wake,PruittHealth- Raleigh,3,0,0,0,3,0,0,0
2020-07-20,Nursing Home,Wake,Raleigh Rehabilitation Center,2,0,0,0,2,0,0,0
2020-07-20,Nursing Home,Wake,Sunnybrook Rehabilitation Center,14,0,34,6,48,6,0,0
2020-07-20,Nursing Home,Wake,The Laurels of Forest Glenn,7,0,54,1,61,1,0,0
2020-07-20,Nursing Home,Wake,The Oaks at Whitaker Glen-Mayview,2,0,0,0,2,0,0,0
2020-07-20,Nursing Home,Wake,Tower Nursing and Rehabilitation Center,2,0,0,0,2,0,0,0
2020-07-20,Nursing Home,Wake,UNC Rex Rehabilitation and Nursing,14,0,26,4,40,4,20,3
2020-07-20,Nursing Home,Wake,UNC Rex Rehabilitation and Nursing,10,0,10,1,20,1,-20,-3
2020-07-20,Nursing Home,Wake,Universal Health Care/North Raleigh,2,0,2,0,4,0,0,0
2020-07-20,Nursing Home,Wake,Wellington Rehabilitation and Healthcare,41,0,40,14,81,14,0,0
2020-07-21,Nursing Home,Brunswick,Brunswick Health and Rehab Center,0,0,3,0,3,0,,
2020-07-21,Nursing Home,Brunswick,Liberty Commons Nursing and Rehab of,2,0,2,0,4,0,,
2020-07-21,Nursing Home,Brunswick,Universal Health Care/Brunswick,16,1,25,5,41,6,,
2020-07-21,Nursing Home,Buncombe,Black Mountain Neuro-Medical Treatment,4,0,4,0,8,0,,
2020-07-21,Nursing Home,Buncombe,Brian Center Health &,2,0,1,0,3,0,,
2020-07-21,Nursing Home,Buncombe,Brooks-Howell Home,3,0,0,0,3,0,,
2020-07-21,Nursing Home,Buncombe,Deerfield Episcopal Retirement,10,1,4,1,14,2,,
2020-07-21,Nursing Home,Buncombe,Givens Health Center,2,0,0,0,2,0,,
2020-07-21,Nursing Home,Buncombe,Stonecreek Health and Rehabilitation,5,0,8,0,13,0,,
2020-07-21,Nursing Home,Burke,Carolina Rehab of Burke,2,0,15,2,17,2,,
2020-07-21,Nursing Home,Burke,Grace Heights Health and Rehabilitation,33,0,57,13,90,13,,
2020-07-21,Nursing Home,Caldwell,Hickory Falls Health and Rehabilitation,3,0,0,0,3,0,,
2020-07-21,Nursing Home,Carteret,Croatan Ridge Nursing and Rehabilitation,2,0,0,0,2,0,,
2020-07-21,Nursing Home,Caswell,Brian Center Health &,2,0,0,0,2,0,-1,0
2020-07-21,Nursing Home,Catawba,Abernethy Laurels,2,0,3,0,5,0,,
2020-07-21,Nursing Home,Catawba,Brian Center Health and Rehab/Hickory,17,0,45,9,62,9,,
2020-07-21,Nursing Home,Catawba,Trinity Ridge,8,0,12,0,20,0,,
2020-07-21,Nursing Home,Chatham,Genesis Healthcare LLC (Siler City,26,0,88,18,114,18,,
2020-07-21,Nursing Home,Chatham,The Laurels of Chatham,46,0,73,26,119,26,,
2020-07-21,Nursing Home,Chowan,Chowan River Nursing and Rehabilitation,1,0,1,0,2,0,,
2020-07-21,Nursing Home,Clay,Clay County Care Center,0,0,2,0,2,0,,
2020-07-21,Nursing Home,Cleveland,White Oak Manor - Shelby,10,0,4,1,14,1,,
2020-07-21,Nursing Home,Wilson,Wilson Pines Nursing and Rehabilitation,1,0,3,0,4,0,,
2020-07-22,Nursing Home,Brunswick,Brunswick Health and Rehab Center,0,0,3,0,3,0,0,0
2020-07-22,Nursing Home,Brunswick,Liberty Commons Nursing and Rehab of,2,0,2,0,4,0,0,0
2020-07-22,Nursing Home,Brunswick,Universal Health Care/Brunswick,16,1,25,5,41,6,0,0
2020-07-22,Nursing Home,Buncombe,Black Mountain Neuro-Medical Treatment,4,0,4,0,8,0,0,0
2020-07-22,Nursing Home,Buncombe,Brian Center Health &,2,0,1,0,3,0,1,0
2020-07-22,Nursing Home,Buncombe,Brooks-Howell Home,3,0,0,0,3,0,0,0
2020-07-22,Nursing Home,Buncombe,Deerfield Episcopal Retirement,10,1,4,1,14,2,0,0
2020-07-22,Nursing Home,Buncombe,Givens Health Center,2,0,0,0,2,0,0,0
2020-07-22,Nursing Home,Buncombe,Stonecreek Health and Rehabilitation,5,0,8,0,13,0,0,0
2020-07-22,Nursing Home,Burke,Carolina Rehab of Burke,2,0,15,2,17,2,0,0
