date,county,dose_1,dose_2,people_partial_vax,people_full_vax,daily_dose_1,daily_dose_2,daily_partial_vax,daily_full_vax,days_available,cum_days,dose_1_rate,dose_2_rate,dose_1_running_rate,dose_2_running_rate,partial_vax_rate,full_vax_rate,partial_vax_running_rate,full_vax_running_rate
2021-01-05,Alamance,2094,5,2094,18720,2094,5,2094,18720,22,22,95.1818181818182,0.227272727272727,95.1818181818182,0.227272727272727,95.1818181818182,850.909090909091,95.1818181818182,850.909090909091
2021-01-08,Alamance,3541,56,3541,18720,1447,51,1447,0,3,25,482.333333333333,17,141.64,2.24,482.333333333333,0,141.64,748.8
2021-01-12,Alamance,4096,172,4096,18720,555,116,555,0,4,29,138.75,29,141.241379310345,5.93103448275862,138.75,0,141.241379310345,645.51724137931
2021-01-14,Alamance,4872,478,4872,18720,776,306,776,0,2,31,388,153,157.161290322581,15.4193548387097,388,0,157.161290322581,603.870967741936
2021-01-19,Alamance,6017,808,6017,18720,1145,330,1145,0,5,36,229,66,167.138888888889,22.4444444444444,229,0,167.138888888889,520
2021-01-21,Alamance,6788,953,6788,18720,771,145,771,0,2,38,385.5,72.5,178.631578947368,25.0789473684211,385.5,0,178.631578947368,492.631578947368
2021-01-26,Alamance,9462,1471,9462,18720,2674,518,2674,0,5,43,534.8,103.6,220.046511627907,34.2093023255814,534.8,0,220.046511627907,435.348837209302
2021-01-28,Alamance,10491,2259,10491,18720,1029,788,1029,0,2,45,514.5,394,233.133333333333,50.2,514.5,0,233.133333333333,416
2021-02-01,Alamance,11269,3424,11269,18720,778,1165,778,0,4,49,194.5,291.25,229.979591836735,69.8775510204082,194.5,0,229.979591836735,382.040816326531
2021-02-02,Alamance,11584,3791,11584,18720,315,367,315,0,1,50,315,367,231.68,75.82,315,0,231.68,374.4
2021-02-04,Alamance,12321,4258,12321,18720,737,467,737,0,2,52,368.5,233.5,236.942307692308,81.8846153846154,368.5,0,236.942307692308,360
