wwtp_name,county_names,population_served,cases_new_cens_per10k,date_new,sars_cov2_raw_copiesL,flag,sars_cov2_normalized
Chapel Hill - Carrboro,Orange,78141,2.3,2021-01-03,,0,
Charlotte 1,Mecklenburg,68685,7.86,2021-01-03,,0,
Charlotte 2,Mecklenburg,182501,5.53,2021-01-03,,0,
Greenville,Pitt,89616,10.49,2021-01-03,,0,
Newport (Data available until - 8/18/21),Carteret,4774,4.19,2021-01-03,,0,
Pittsboro (Data available until - 5/25/21),Chatham,4234,4.72,2021-01-03,,0,
Raleigh,Wake,550000,8.76,2021-01-03,,0,
South Durham,Durham,108105,6.29,2021-01-03,,0,
Town of Beaufort,Carteret,3500,5.71,2021-01-03,,0,
Tuckaseigee,Jackson,13296,1.5,2021-01-03,,0,
Wilmington City,New Hanover,58361,4.63,2021-01-03,,0,
Chapel Hill - Carrboro,Orange,78141,3.07,2021-01-04,,0,
Charlotte 1,Mecklenburg,68685,6.99,2021-01-04,,0,
Charlotte 2,Mecklenburg,182501,4,2021-01-04,119582.607431014,0,48863072.76528
Greenville,Pitt,89616,4.46,2021-01-04,,0,
Newport (Data available until - 8/18/21),Carteret,4774,4.19,2021-01-04,,0,
Pittsboro (Data available until - 5/25/21),Chatham,4234,,2021-01-04,,0,
Raleigh,Wake,550000,3.13,2021-01-04,,0,
South Durham,Durham,108105,3.15,2021-01-04,,0,
Town of Beaufort,Carteret,3500,14.29,2021-01-04,,0,
Tuckaseigee,Jackson,13296,1.5,2021-01-04,42988.496600835,0,8934410.21163842
Wilmington City,New Hanover,58361,3.77,2021-01-04,,0,
Chapel Hill - Carrboro,Orange,78141,5.63,2021-01-05,,0,
Charlotte 1,Mecklenburg,68685,13.25,2021-01-05,59966.6574022598,0,16458454.8147915
Charlotte 2,Mecklenburg,182501,10.41,2021-01-05,,0,
Greenville,Pitt,89616,16.4,2021-01-05,23048.6767516055,0,16258807.5599369
Newport (Data available until - 8/18/21),Carteret,4774,12.57,2021-01-05,,0,
Pittsboro (Data available until - 5/25/21),Chatham,4234,4.72,2021-01-05,17375.8453031788,0,16932978.7538053
Raleigh,Wake,550000,13.65,2021-01-05,,0,
South Durham,Durham,108105,5.09,2021-01-05,,0,
Town of Beaufort,Carteret,3500,14.29,2021-01-05,0,0,311698.22620376
Tuckaseigee,Jackson,13296,3.76,2021-01-05,,0,
Wilmington City,New Hanover,58361,9.25,2021-01-05,21385.0415010119,0,5659255.65496744
Chapel Hill - Carrboro,Orange,78141,3.97,2021-01-06,14207.0405081425,0,6531345.29266412
Charlotte 1,Mecklenburg,68685,9.46,2021-01-06,96374.270425254,0,25494835.6072684
