"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
8081.0,174,808.0,Union,19383
9031.0,72,903.0,Pitt,16323
6553.0,132,655.0,Harnett,8911
8445.0,171,845.0,Iredell,15354
7776.0,307,778.0,Forsyth,29727
5938.0,41,594.0,Carteret,4125
8499.0,76,850.0,Beaufort,3994
7410.0,143,741.0,Moore,7475
9880.0,207,988.0,Cleveland,9677
7582.0,24,758.0,Washington,878
9579.0,150,958.0,Nash,9033
8675.0,186,868.0,Alamance,14705
9183.0,41,918.0,Yadkin,3459
7103.0,46,710.0,Jackson,3121
8493.0,35,849.0,Bladen,2779
6846.0,51,685.0,Pender,4317
6847.0,17,685.0,Cherokee,1959
4647.0,5,465.0,Camden,505
12315.0,6,1232.0,Hyde,608
6642.0,243,664.0,Cumberland,22283
5538.0,18,554.0,Clay,622
6283.0,135,628.0,New Hanover,14731
8341.0,28,834.0,Northampton,1625
9623.0,141,962.0,Wilson,7872
9584.0,88,958.0,Halifax,4793
8315.0,92,832.0,Edgecombe,4280
7142.0,54,714.0,Rockingham,6500
9806.0,38,981.0,Greene,2066
8263.0,65,826.0,Lee,5105
7028.0,52,703.0,Hoke,3882
6466.0,37,647.0,Ashe,1759
9530.0,112,953.0,Surry,6841
5775.0,81,578.0,Haywood,3599
7830.0,4,783.0,Alleghany,872
7626.0,23,763.0,Yancey,1378
6763.0,16,676.0,Jones,637
7729.0,16,773.0,Swain,1103
7495.0,60,749.0,Stokes,3417
8136.0,17,814.0,Caswell,1839
10007.0,18,1001.0,Avery,1757
10400.0,260,1040.0,Catawba,16593
8208.0,796,821.0,Mecklenburg,91133
7951.0,172,795.0,Johnston,16644
9021.0,99,902.0,Lenoir,5047
5041.0,109,504.0,Brunswick,7199
8204.0,74,820.0,Granville,4959
10047.0,103,1005.0,Stanly,6310
5040.0,22,504.0,Transylvania,1733
9975.0,347,997.0,Gaston,22396
10044.0,61,1004.0,Caldwell,8254
7949.0,214,795.0,Cabarrus,17205
9807.0,259,981.0,Rowan,13935
6439.0,26,644.0,Watauga,3617
6128.0,5,613.0,Perquimans,825
7021.0,127,702.0,Henderson,8244
8889.0,47,889.0,Anson,2173
7949.0,194,795.0,Wayne,9788
9658.0,116,966.0,Burke,8739
9632.0,57,963.0,Lincoln,8294
10632.0,186,1063.0,Robeson,13888
5289.0,70,529.0,Chatham,3939
4330.0,14,433.0,Currituck,1202
6114.0,21,611.0,Polk,1267
8838.0,77,884.0,Vance,3936
7633.0,16,763.0,Warren,1506
5181.0,12,518.0,Gates,599
9820.0,132,982.0,Columbus,5451
8354.0,93,835.0,Wilkes,5715
7177.0,74,718.0,Pasquotank,2858
4802.0,7,480.0,Dare,1777
7097.0,6,710.0,Tyrrell,285
6445.0,12,644.0,Graham,544
,0,,Missing,9
6320.0,184,632.0,Durham,20319
5466.0,270,547.0,Buncombe,14277
4861.0,87,486.0,Orange,7218
6274.0,501,627.0,Wake,69757
7539.0,110,754.0,Craven,7700
6941.0,58,694.0,Person,2741
6961.0,464,696.0,Guilford,37390
9885.0,55,989.0,McDowell,4523
8240.0,143,824.0,Davidson,13811
7027.0,122,703.0,Onslow,13909
8328.0,39,833.0,Bertie,1578
8524.0,192,852.0,Randolph,12246
9970.0,85,997.0,Sampson,6334
9476.0,69,948.0,Scotland,3300
7063.0,42,706.0,Franklin,4922
10503.0,77,1050.0,Montgomery,2854
8019.0,15,802.0,Mitchell,1200
9263.0,121,926.0,Duplin,5441
9633.0,188,963.0,Rutherford,6457
7716.0,22,772.0,Davie,3306
8780.0,78,878.0,Richmond,3936
9878.0,66,988.0,Alexander,3704
7894.0,56,789.0,Hertford,1869
6707.0,12,671.0,Macon,2405
8685.0,35,869.0,Martin,1949
9252.0,21,925.0,Chowan,1290
6561.0,8,656.0,Pamlico,835
5833.0,31,583.0,Madison,1269
