"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
7067.0,3,707.0,27006,1051
9536.0,1,954.0,27865,191
8471.0,7,847.0,28119,257
8109.0,35,811.0,27021,1458
9798.0,26,980.0,28621,1019
8146.0,2,815.0,27846,250
7286.0,16,729.0,27962,542
4978.0,2,498.0,28768,393
4411.0,6,441.0,27539,1172
6883.0,3,688.0,27596,1284
5368.0,27,537.0,27712,1184
5292.0,18,529.0,28739,1164
5417.0,28,542.0,28786,1183
,0,,28561,0
8035.0,1,804.0,27009,236
4686.0,2,469.0,28772,91
9520.0,15,952.0,28023,1413
7632.0,1,763.0,27875,39
10979.0,80,1098.0,28601,5473
7960.0,36,796.0,28262,3477
7662.0,29,766.0,27292,3177
5435.0,1,543.0,27242,145
9755.0,66,976.0,28054,3920
5045.0,6,505.0,27850,374
8277.0,10,828.0,28073,464
0.0,0,0.0,28629,0
9720.0,3,972.0,27840,52
7954.0,14,795.0,28574,1408
8439.0,46,844.0,28472,1688
4152.0,2,415.0,28785,345
,0,,27969,0
8015.0,2,801.0,28318,367
7828.0,3,783.0,28523,178
7581.0,39,758.0,27604,3612
6772.0,24,677.0,28173,4323
6466.0,3,647.0,27883,282
6073.0,28,607.0,27612,2381
6803.0,28,680.0,28501,1327
4627.0,0,463.0,27941,31
7924.0,38,792.0,28562,3012
11447.0,39,1145.0,28658,2960
6869.0,36,687.0,27262,1701
7411.0,1,741.0,27544,318
10843.0,0,1084.0,28347,198
4284.0,14,428.0,28801,719
8465.0,8,847.0,28572,540
7151.0,1,715.0,28395,190
5231.0,15,523.0,27403,1113
7088.0,23,709.0,27332,2378
3845.0,10,384.0,27513,1884
8898.0,20,890.0,27932,1125
5380.0,0,538.0,27343,99
8507.0,65,851.0,27886,1837
4368.0,0,437.0,27411,37
6252.0,6,625.0,28391,333
6255.0,8,625.0,28420,320
6298.0,2,630.0,28429,538
7997.0,11,800.0,28518,704
10388.0,12,1039.0,28630,2116
6038.0,39,604.0,28716,1126
8933.0,45,893.0,28146,2714
5912.0,5,591.0,28751,221
8323.0,8,832.0,28128,674
0.0,0,0.0,28672,0
6697.0,8,670.0,28722,459
7096.0,6,710.0,28439,109
4457.0,0,446.0,27842,64
6673.0,0,667.0,28649,69
8611.0,2,861.0,27042,62
9629.0,47,963.0,28215,5802
5872.0,4,587.0,27408,1022
4998.0,2,500.0,27806,122
0.0,0,0.0,27821,0
6422.0,10,642.0,27409,1153
0.0,0,0.0,28587,0
6812.0,2,681.0,27808,169
0.0,0,0.0,27881,0
6914.0,15,691.0,28403,2900
7452.0,6,745.0,27013,484
7222.0,26,722.0,27104,2122
6237.0,0,624.0,28611,61
7520.0,42,752.0,28269,6126
6391.0,3,639.0,27050,261
9043.0,0,904.0,28444,206
7703.0,5,770.0,28673,510
6984.0,3,698.0,27810,295
0.0,0,0.0,27157,0
21601.0,37,2160.0,27509,1498
10052.0,7,1005.0,28366,518
7280.0,10,728.0,27239,701
6100.0,7,610.0,28544,342
2297.0,0,230.0,27964,15
5784.0,11,578.0,28409,2023
5287.0,17,529.0,27278,1437
3585.0,0,359.0,27979,65
9513.0,14,951.0,28217,2937
8523.0,4,852.0,28369,191
0.0,0,0.0,28735,0
10148.0,66,1015.0,28043,2179
8429.0,40,843.0,27330,3332
4155.0,14,415.0,27516,1833
9705.0,5,971.0,28638,1219
6550.0,1,655.0,27608,760
11009.0,45,1101.0,28328,2967
7662.0,0,766.0,27047,98
8116.0,32,812.0,27537,2055
7082.0,13,708.0,27401,1432
6548.0,5,655.0,27040,861
7287.0,46,729.0,28078,4815
6281.0,1,628.0,27541,254
2851.0,0,285.0,27966,42
9643.0,7,964.0,27017,916
10516.0,58,1052.0,28086,2838
8434.0,47,843.0,27360,4076
7392.0,0,739.0,28622,195
