"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
7094.0,3,709.0,27006,1055
9685.0,1,969.0,27865,194
8471.0,7,847.0,28119,257
8165.0,36,817.0,27021,1468
9865.0,26,987.0,28621,1026
8244.0,2,824.0,27846,253
7340.0,16,734.0,27962,546
5041.0,2,504.0,28768,398
4434.0,6,443.0,27539,1178
6963.0,3,696.0,27596,1299
5377.0,27,538.0,27712,1186
5324.0,18,532.0,28739,1171
5436.0,28,544.0,28786,1187
,0,,28561,0
8069.0,1,807.0,27009,237
4737.0,2,474.0,28772,92
9553.0,16,955.0,28023,1418
7632.0,1,763.0,27875,39
11028.0,81,1103.0,28601,5497
8001.0,36,800.0,28262,3495
7710.0,29,771.0,27292,3197
5435.0,1,543.0,27242,145
9805.0,68,980.0,28054,3940
5086.0,6,509.0,27850,377
8295.0,10,829.0,28073,465
0.0,0,0.0,28629,0
9720.0,3,972.0,27840,52
7999.0,14,800.0,28574,1416
8554.0,46,855.0,28472,1711
4164.0,2,416.0,28785,346
,0,,27969,0
8037.0,2,804.0,28318,368
7916.0,3,792.0,28523,180
7608.0,39,761.0,27604,3625
6805.0,25,680.0,28173,4344
6466.0,3,647.0,27883,282
6093.0,28,609.0,27612,2389
6823.0,28,682.0,28501,1331
4627.0,0,463.0,27941,31
8011.0,38,801.0,28562,3045
11494.0,39,1149.0,28658,2972
6905.0,37,691.0,27262,1710
7457.0,1,746.0,27544,320
10843.0,0,1084.0,28347,198
4320.0,14,432.0,28801,725
8497.0,8,850.0,28572,542
7189.0,1,719.0,28395,191
5264.0,15,526.0,27403,1120
7124.0,23,712.0,27332,2390
3879.0,10,388.0,27513,1901
8945.0,20,894.0,27932,1131
5489.0,0,549.0,27343,101
8710.0,65,871.0,27886,1881
6327.0,6,633.0,28391,337
4368.0,0,437.0,27411,37
6357.0,2,636.0,28429,543
6333.0,8,633.0,28420,324
8009.0,11,801.0,28518,705
10398.0,12,1040.0,28630,2118
6070.0,39,607.0,28716,1132
8969.0,45,897.0,28146,2725
5912.0,5,591.0,28751,221
8372.0,8,837.0,28128,678
0.0,0,0.0,28672,0
6741.0,8,674.0,28722,462
7096.0,6,710.0,28439,109
4457.0,0,446.0,27842,64
6673.0,0,667.0,28649,69
8611.0,2,861.0,27042,62
9670.0,48,967.0,28215,5827
0.0,0,0.0,27821,0
5039.0,2,504.0,27806,123
5906.0,4,591.0,27408,1028
