Second Doses Administered,First Doses Administered,Total Doses Administered,County
6328,11540,17868,Robeson 
919,2874,3793,Perquimans 
7875,20316,28191,Johnston 
5375,11241,16616,Randolph 
363,1035,1398,Hyde 
537,2020,2557,Alleghany 
1718,5078,6796,Duplin 
654,1970,2624,Gates 
3878,8449,12327,Haywood 
1852,6813,8665,Stanly 
12924,30824,43748,Missing 
4185,8730,12915,Wilson 
200,604,804,Tyrrell 
3855,10051,13906,Wayne 
865,3106,3971,Montgomery 
3010,7344,10354,Lenoir 
657,4462,5119,Scotland 
8493,18094,26587,Alamance 
706,1754,2460,Camden 
604,2631,3235,Greene 
5122,12722,17844,Rowan 
759,2641,3400,Northampton 
2724,7301,10025,Wilkes 
3654,8165,11819,Lincoln 
6158,10392,16550,Caldwell 
835,2533,3368,Polk 
3723,9350,13073,Surry 
999,4154,5153,Macon 
252,1210,1462,Clay 
3053,4401,7454,Yadkin 
5624,13066,18690,Onslow 
1354,5841,7195,Richmond 
11891,27455,39346,Buncombe 
10281,19473,29754,Union 
9887,18217,28104,Cabarrus 
454,1812,2266,Washington 
5238,11128,16366,Harnett 
5527,11399,16926,Burke 
4030,7826,11856,Granville 
10325,20613,30938,Gaston 
1324,4994,6318,Edgecombe 
3269,6573,9842,Watauga 
1536,3525,5061,Hoke 
603,3806,4409,Bertie 
2470,4782,7252,Person 
1618,7889,9507,Beaufort 
9640,17712,27352,Catawba 
1088,4663,5751,Jackson 
48175,116638,164813,Wake 
2807,9731,12538,Cleveland 
2490,7417,9907,Sampson 
1556,5002,6558,Columbus 
1059,2818,3877,Caswell 
722,2391,3113,Yancey 
2617,6688,9305,Lee 
929,3310,4239,Hertford 
2654,8353,11007,Rockingham 
43136,88178,131314,Mecklenburg 
4495,9547,14042,Carteret 
375,1798,2173,Swain 
1047,2859,3906,Avery 
2093,5680,7773,Vance 
1830,6231,8061,Halifax 
2196,5870,8066,Rutherford 
3893,10063,13956,Nash 
891,2915,3806,Ashe 
1530,4688,6218,Stokes 
377,1267,1644,Graham 
2473,6740,9213,Pender 
5771,12048,17819,Craven 
25645,50719,76364,Guilford 
962,3094,4056,Madison 
5955,13205,19160,Chatham 
10113,23552,33665,Pitt 
7300,16014,23314,Moore 
23346,43731,67077,Forsyth 
8355,17732,26087,Iredell 
1104,3725,4829,Transylvania 
714,3106,3820,Martin 
451,2527,2978,Warren 
464,1263,1727,Jones 
3531,6341,9872,Davie 
17354,27949,45303,Cumberland 
1599,6281,7880,Mcdowell 
1273,3172,4445,Cherokee 
945,3508,4453,Chowan 
13349,24580,37929,Orange 
1855,4228,6083,Alexander 
22337,42855,65192,Durham 
6667,13975,20642,Henderson 
3715,8406,12121,Pasquotank 
863,2498,3361,Pamlico 
614,1594,2208,Mitchell 
1623,4709,6332,Currituck 
7340,23277,30617,Brunswick 
8798,14981,23779,Davidson 
2852,6996,9848,Franklin 
2695,7943,10638,Dare 
2343,4405,6748,Bladen 
17528,31969,49497,New Hanover
573,2746,3319,Anson 
