Second Doses Administered,First Doses Administered,Total Doses Administered,County
6662,11660,18322,Robeson 
1159,2874,4033,Perquimans 
8287,20490,28777,Johnston 
5477,11309,16786,Randolph 
395,1061,1456,Hyde 
697,2020,2717,Alleghany 
1782,5098,6880,Duplin 
657,1970,2627,Gates 
4044,8467,12511,Haywood 
2234,6889,9123,Stanly 
13502,31186,44688,Missing 
4262,8756,13018,Wilson 
223,606,829,Tyrrell 
4447,10099,14546,Wayne 
1128,3110,4238,Montgomery 
3167,7367,10534,Lenoir 
692,4478,5170,Scotland 
8953,18571,27524,Alamance 
825,1784,2609,Camden 
667,2634,3301,Greene 
5373,13024,18397,Rowan 
815,2669,3484,Northampton 
2746,7321,10067,Wilkes 
3895,8215,12110,Lincoln 
6212,10896,17108,Caldwell 
846,2535,3381,Polk 
3827,9366,13193,Surry 
1296,4177,5473,Macon 
267,1211,1478,Clay 
3082,4414,7496,Yadkin 
6127,13083,19210,Onslow 
1768,5894,7662,Richmond 
13434,27526,40960,Buncombe 
10858,19590,30448,Union 
10566,18351,28917,Cabarrus 
487,1845,2332,Washington 
5442,11411,16853,Harnett 
5601,11430,17031,Burke 
4153,7941,12094,Granville 
11046,20697,31743,Gaston 
1450,5041,6491,Edgecombe 
3650,6604,10254,Watauga 
1620,3625,5245,Hoke 
609,3844,4453,Bertie 
2523,4871,7394,Person 
1950,8014,9964,Beaufort 
10601,17772,28373,Catawba 
1385,4675,6060,Jackson 
51548,118867,170415,Wake 
3265,9742,13007,Cleveland 
2633,7440,10073,Sampson 
1786,5045,6831,Columbus 
1117,2860,3977,Caswell 
724,2393,3117,Yancey 
3750,6741,10491,Lee 
935,3319,4254,Hertford 
2752,8478,11230,Rockingham 
44226,89673,133899,Mecklenburg 
4683,9566,14249,Carteret 
428,1798,2226,Swain 
1055,2859,3914,Avery 
2276,5734,8010,Vance 
1979,6267,8246,Halifax 
2216,5881,8097,Rutherford 
4067,10184,14251,Nash 
937,2919,3856,Ashe 
1676,4745,6421,Stokes 
413,1271,1684,Graham 
2683,6895,9578,Pender 
6027,12331,18358,Craven 
26711,51464,78175,Guilford 
1030,3100,4130,Madison 
6270,13505,19775,Chatham 
11348,23595,34943,Pitt 
8293,16082,24375,Moore 
24145,44120,68265,Forsyth 
8541,17898,26439,Iredell 
1170,3737,4907,Transylvania 
776,3226,4002,Martin 
555,2541,3096,Warren 
484,1276,1760,Jones 
3556,6385,9941,Davie 
18654,29046,47700,Cumberland 
1890,6361,8251,Mcdowell 
1395,3174,4569,Cherokee 
1037,3532,4569,Chowan 
13871,25195,39066,Orange 
1979,4293,6272,Alexander 
23393,43551,66944,Durham 
7348,13995,21343,Henderson 
4298,8459,12757,Pasquotank 
877,2562,3439,Pamlico 
616,1595,2211,Mitchell 
1649,4710,6359,Currituck 
7847,23681,31528,Brunswick 
9141,15128,24269,Davidson 
3115,7056,10171,Franklin 
2709,7944,10653,Dare 
2562,4438,7000,Bladen 
18449,32433,50882,New Hanover
705,2775,3480,Anson 
