First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Race,Age Group,Second Doses ~ Percent of Total,Data Format
,0.0005118390599964394,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00046845349958552846,Statewide
0.07828864314855852,0.024735178921132278,Missing or Undisclosed,0.0425373983431491,North Carolina,Race,Missing or Undisclosed,Asian or Pacific Islander,Missing or Undisclosed,0.028733034572234247,Statewide
,0.0005700414949124224,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,6.953606634472688e-05,Statewide
0.07113167005239446,0.14742419988770353,Missing or Undisclosed,0.024328508791673052,North Carolina,Race,Missing or Undisclosed,Black or African-American,Missing or Undisclosed,0.10779920179915423,Statewide
0.048620243947868985,0.007372879034798208,Missing or Undisclosed,0.02311916870332846,North Carolina,Race,Missing or Undisclosed,American Indian or Alaskan Native,Missing or Undisclosed,0.007495255993368455,Statewide
0.12119821146431904,0.7801283192506265,Missing or Undisclosed,0.05963452194062451,North Carolina,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.8206573354145356,Statewide
,0.039257542350830586,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Other,Missing or Undisclosed,0.03477718265477722,Statewide
,0.002040508894701524,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.000494072050344112,Statewide
0.027463614828967763,0.024113782336588105,Missing or Undisclosed,0.01284423344998684,North Carolina,Ethnicity,Hispanic,Missing or Undisclosed,Missing or Undisclosed,0.02411071605679267,Statewide
0.12024397146810897,0.9738457087687103,Missing or Undisclosed,0.056332560931042434,North Carolina,Ethnicity,Non-Hispanic,Missing or Undisclosed,Missing or Undisclosed,0.9753952118928633,Statewide
,0.0018128346640007668,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0007960049699988472,Statewide
,0.0005614823133071309,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0005800771850336426,Statewide
0.12879086532215256,0.5939233234275072,Female,0.06192968584696593,North Carolina,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.6105742398152536,Statewide
0.09123723791552751,0.39828782131167745,Male,0.04097434956308144,North Carolina,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.3824117669663427,Statewide
,0.0044987058517412795,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.005288400835164755,Statewide
,0.0009158324317662043,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00034951022820639034,Statewide
0.5190551614707076,0.3130255337505649,Missing or Undisclosed,0.28672156415256617,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,75+,0.36967568744636115,Statewide
0.0007465829955633801,0.0002533517755166322,Missing or Undisclosed,0.0003178022210844118,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,15-17,0.00023056695682725228,Statewide
0.07222541498719322,0.12596205201243477,Missing or Undisclosed,0.04167171756086716,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,50-64,0.15537651035080946,Statewide
0.05575284726511438,0.16263386560030677,Missing or Undisclosed,0.037263045777773215,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,25-49,0.23238953372407722,Statewide
1.890348958417724e-05,5.9914271237041395e-06,Missing or Undisclosed,1.890348958417724e-05,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,2-4,1.2809275379291794e-05,Statewide
,6.419386203968722e-05,Missing or Undisclosed,,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,3.842782613787538e-05,Statewide
0.0025431372876543006,0.0005212541597622601,Missing or Undisclosed,0.0019459802562346534,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,0-1,0.0008527317609642823,Statewide
0.019153289917998115,0.016239335259719805,Missing or Undisclosed,0.011640572710927964,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,18-24,0.021100536342659095,Statewide
9.540983293738252e-06,5.135508963174977e-06,Missing or Undisclosed,1.5901638822897089e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,5-9,1.8298964827559705e-06,Statewide
0.42566707564586226,0.381280727461963,Missing or Undisclosed,0.11504737660868336,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,65-74,0.22031587673085334,Statewide
1.5023903029720286e-05,8.559181605291629e-06,Missing or Undisclosed,4.507170908916085e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,10-14,5.489689448267911e-06,Statewide
,,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Missing or Undisclosed,0-17,,Statewide
0.5190551614707076,0.3130255337505649,Missing or Undisclosed,0.28672156415256617,North Carolina,Age Group,Missing or Undisclosed,Missing or Undisclosed,75+,0.36967568744636115,Statewide
0.07222541498719322,0.12596205201243477,Missing or Undisclosed,0.04167171756086716,North Carolina,Age Group,Missing or Undisclosed,Missing or Undisclosed,50-64,0.15537651035080946,Statewide
0.05575284726511438,0.16263386560030677,Missing or Undisclosed,0.037263045777773215,North Carolina,Age Group,Missing or Undisclosed,Missing or Undisclosed,25-49,0.23238953372407722,Statewide
,0.0008584859150107503,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0011418554052397257,Statewide
0.019153289917998115,0.016239335259719805,Missing or Undisclosed,0.011640572710927964,North Carolina,Age Group,Missing or Undisclosed,Missing or Undisclosed,18-24,0.021100536342659095,Statewide
0.42566707564586226,0.381280727461963,Missing or Undisclosed,0.11504737660868336,North Carolina,Age Group,Missing or Undisclosed,Missing or Undisclosed,65-74,0.22031587673085334,Statewide
0.05886171824280459,0.13604858878170775,Missing or Undisclosed,0.04399171484218011,Henderson ,Age Group,Missing or Undisclosed,Missing or Undisclosed,25-49,0.19365813826891673,County
0.04798206278026906,0.11223776223776225,Missing or Undisclosed,0.025261584454409566,Caswell ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,25-49,0.1512981199641898,County
0.06703567035670356,0.12657860357091014,Missing or Undisclosed,0.03989852398523985,Stanly ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,50-64,0.23231871083258726,County
0.08123921370543419,0.3828605435429478,Male,0.020120385570568673,Edgecombe ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.3296551724137931,County
,0.0084790182838467,Missing or Undisclosed,,New Hanover ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.01116591685186189,County
0.07179337516416168,0.14823742090991263,Missing or Undisclosed,0.02553626149131767,Hertford ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,25-49,0.1871657754010695,County
