First Doses ~ Percent of Population Vaccinated,Demographic,Ethnicity,First Doses ~ Percent of Total,Aggregation Level,Race,Age Group,Gender,Second Doses ~ Percent of Total,Second Doses ~ Percent of Population Vaccinated,County
,Race,Missing or Undisclosed,0.0004798185290905795,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00039338430225597344,,North Carolina
0.07991406914562192,Race,Missing or Undisclosed,0.02487551281132338,Statewide,Asian or Pacific Islander,Missing or Undisclosed,Missing or Undisclosed,0.027788325038055655,0.04401382695714835,North Carolina
,Race,Missing or Undisclosed,0.0007867674650993157,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00015393298783929397,,North Carolina
0.07243131047282216,Race,Missing or Undisclosed,0.1478987911777479,Statewide,Black or African-American,Missing or Undisclosed,Missing or Undisclosed,0.108137923957104,0.026110507016695445,North Carolina
0.049156455136056536,Race,Missing or Undisclosed,0.00734400627390133,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,Missing or Undisclosed,0.007369969384439085,0.024321410630527913,North Carolina
0.12291183033963084,Race,Missing or Undisclosed,0.7794639356081847,Statewide,White,Missing or Undisclosed,Missing or Undisclosed,0.8213077462500213,0.06385268116795752,North Carolina
,Race,Missing or Undisclosed,0.03915116813465276,Statewide,Other,Missing or Undisclosed,Missing or Undisclosed,0.034848718080284606,,North Carolina
,Ethnicity,Missing or Undisclosed,0.0024100551074532094,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.000496006294148836,,North Carolina
0.02794907538286071,Ethnicity,Hispanic,0.024177288308534276,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.02341320745035661,0.013344316309719934,North Carolina
0.12199376596739,Ethnicity,Non-Hispanic,0.9734126565840125,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.9760907862554945,0.06031237377478981,North Carolina
,Gender,Missing or Undisclosed,0.0018079629637437651,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0008825491302786187,,North Carolina
,Gender,Missing or Undisclosed,0.0005287279749381253,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.000496006294148836,,North Carolina
0.13070295592651573,Gender,Missing or Undisclosed,0.5938315069590552,Statewide,Missing or Undisclosed,Missing or Undisclosed,Female,0.6085107838609815,0.06603375762367711,North Carolina
0.09262402887379947,Gender,Missing or Undisclosed,0.3983649066293381,Statewide,Missing or Undisclosed,Missing or Undisclosed,Male,0.38459985974994443,0.0440886981536642,North Carolina
,Gender,Missing or Undisclosed,0.004548578463821768,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.005108864829733012,,North Carolina
,Gender,Missing or Undisclosed,0.0009183170091030598,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.000401936134913712,,North Carolina
0.523625221051795,Age Group K-12,Missing or Undisclosed,0.3111138283025471,Statewide,Missing or Undisclosed,75+,Missing or Undisclosed,0.37043289376913474,0.307387600661949,North Carolina
0.0007617164346626378,Age Group K-12,Missing or Undisclosed,0.0002546664249303251,Statewide,Missing or Undisclosed,15-17,Missing or Undisclosed,0.0002274787486958455,0.0003354579000335458,North Carolina
0.07345038974908139,Age Group K-12,Missing or Undisclosed,0.12620492214543813,Statewide,Missing or Undisclosed,50-64,Missing or Undisclosed,0.15090221834539141,0.04330010949193484,North Carolina
0.05648756856836444,Age Group K-12,Missing or Undisclosed,0.1623414132300051,Statewide,Missing or Undisclosed,25-49,Missing or Undisclosed,0.2227820822002155,0.03821900504534058,North Carolina
1.890348958417724e-05,Age Group K-12,Missing or Undisclosed,5.902864154014158e-06,Statewide,Missing or Undisclosed,2-4,Missing or Undisclosed,1.1972565720833975e-05,1.890348958417724e-05,North Carolina
,Age Group K-12,Missing or Undisclosed,6.493150569415575e-05,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,4.275916328869277e-05,,North Carolina
0.0025473132109509414,Age Group K-12,Missing or Undisclosed,0.0005143924477069481,Statewide,Missing or Undisclosed,0-1,Missing or Undisclosed,0.0008021619032958763,0.0019585080261245763,North Carolina
0.019476330700887452,Age Group K-12,Missing or Undisclosed,0.01626913687477074,Statewide,Missing or Undisclosed,18-24,Missing or Undisclosed,0.02040296235483264,0.012042354684646579,North Carolina
9.540983293738252e-06,Age Group K-12,Missing or Undisclosed,5.0595978462978505e-06,Statewide,Missing or Undisclosed,5-9,Missing or Undisclosed,1.7103665315477108e-06,1.5901638822897089e-06,North Carolina
0.4342479942819357,Age Group K-12,Missing or Undisclosed,0.38321731394383,Statewide,Missing or Undisclosed,65-74,Missing or Undisclosed,0.23438862948329828,0.13094978729259596,North Carolina
1.5023903029720286e-05,Age Group K-12,Missing or Undisclosed,8.432663077163084e-06,Statewide,Missing or Undisclosed,10-14,Missing or Undisclosed,5.131099594643132e-06,4.507170908916085e-06,North Carolina
,Age Group,Missing or Undisclosed,,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,North Carolina
0.523625221051795,Age Group,Missing or Undisclosed,0.3111138283025471,Statewide,Missing or Undisclosed,75+,Missing or Undisclosed,0.37043289376913474,0.307387600661949,North Carolina
0.07345038974908139,Age Group,Missing or Undisclosed,0.12620492214543813,Statewide,Missing or Undisclosed,50-64,Missing or Undisclosed,0.15090221834539141,0.04330010949193484,North Carolina
0.05648756856836444,Age Group,Missing or Undisclosed,0.1623414132300051,Statewide,Missing or Undisclosed,25-49,Missing or Undisclosed,0.2227820822002155,0.03821900504534058,North Carolina
,Age Group,Missing or Undisclosed,0.0008533855034089041,Statewide,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0010912138471274393,,North Carolina
0.019476330700887452,Age Group,Missing or Undisclosed,0.01626913687477074,Statewide,Missing or Undisclosed,18-24,Missing or Undisclosed,0.02040296235483264,0.012042354684646579,North Carolina
0.4342479942819357,Age Group,Missing or Undisclosed,0.38321731394383,Statewide,Missing or Undisclosed,65-74,Missing or Undisclosed,0.23438862948329828,0.13094978729259596,North Carolina
0.05935635453055925,Age Group,Missing or Undisclosed,0.13537333427342593,County,Missing or Undisclosed,25-49,Missing or Undisclosed,0.1808843793060253,0.0446409249698581,Henderson 
0.048729446935724965,Age Group K-12,Missing or Undisclosed,0.11249137336093859,County,Missing or Undisclosed,25-49,Missing or Undisclosed,0.13101983002832862,0.02765321375186846,Caswell 
0.06711254612546126,Age Group K-12,Missing or Undisclosed,0.1264118158123371,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.21052631578947367,0.041820418204182044,Stanly 
0.08136549227596077,Gender,Missing or Undisclosed,0.3819403279984193,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.33505487411233054,0.021846192701098624,Edgecombe 
,Gender,Missing or Undisclosed,0.008393614748344169,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.01083051288726894,,New Hanover 
0.0742740405661754,Age Group K-12,Missing or Undisclosed,0.1501917969902626,County,Missing or Undisclosed,25-49,Missing or Undisclosed,0.19254658385093165,0.02714139792791478,Hertford 
,Age Group,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Martin 
,Gender,Missing or Undisclosed,0.004830917874396135,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.007082152974504249,,Caswell 
0.01105311636475284,Age Group,Missing or Undisclosed,0.004438416964615954,County,Missing or Undisclosed,18-24,Missing or Undisclosed,0.00664599025254763,0.00460546515198035,Beaufort 
0.00016849199663016007,Age Group K-12,Missing or Undisclosed,8.802042073761113e-05,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00016512549537648613,0.00016849199663016007,Randolph 
0.05053598774885146,Age Group,Missing or Undisclosed,0.10332681017612524,County,Missing or Undisclosed,25-49,Missing or Undisclosed,0.22758620689655173,0.02526799387442573,Warren 
0.006355932203389831,Age Group,Missing or Undisclosed,0.0037476577139287947,County,Missing or Undisclosed,18-24,Missing or Undisclosed,0.004601226993865031,0.0031779661016949155,Mitchell 
,Age Group K-12,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Wayne 
0.11339681788608269,Gender,Missing or Undisclosed,0.6386834565927111,County,Missing or Undisclosed,Missing or Undisclosed,Female,0.6231513228596285,0.07202342225113859,Cumberland 
0.00034965034965034965,Age Group K-12,Missing or Undisclosed,0.00015047776690993905,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,0.0,Rowan 
0.11334537097833224,Race,Missing or Undisclosed,0.0460057298953961,County,Asian or Pacific Islander,Missing or Undisclosed,Missing or Undisclosed,0.04912747556419835,0.07879185817465528,Cumberland 
,Age Group,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Avery 
0.17912696320289254,Ethnicity,Non-Hispanic,0.9816305469556244,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.9850119904076738,0.06188090844036006,Currituck 
0.46455223880597013,Age Group,Missing or Undisclosed,0.37016848364717536,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.27438321420336637,0.18501243781094528,Granville 
,Gender,Missing or Undisclosed,0.0014806458436155963,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.001503194287861706,,Henderson 
0.01669213588809216,Ethnicity,Hispanic,0.03254144068443969,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.03831188266985932,0.010030954899886368,Onslow 
,Age Group K-12,Missing or Undisclosed,,County,Missing or Undisclosed,Suppressed,Missing or Undisclosed,,,Warren 
0.42469018112488083,Age Group,Missing or Undisclosed,0.3521043272080616,County,Missing or Undisclosed,75+,Missing or Undisclosed,0.47320852162685606,0.17469018112488083,Edgecombe 
0.12323956815719676,Age Group,Missing or Undisclosed,0.1287615627805316,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.15204116638078902,0.0827823228361164,Orange 
0.031046351537402476,Age Group,Missing or Undisclosed,0.10179820931457377,County,Missing or Undisclosed,25-49,Missing or Undisclosed,0.14123760037789324,0.020582836163377697,Rowan 
,Gender,Missing or Undisclosed,0.0018604651162790697,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.004576659038901602,,Hyde 
