Facility_Type,Category,County,Outbreak Count
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Hertford,1
Correctional Facility,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Columbus,2
Residential Care Facility,Ongoing Outbreaks,Columbus,2
Correctional Facility,Ongoing Outbreaks,Columbus,2
Nursing Home,Ongoing Outbreaks,Macon,2
Residential Care Facility,Ongoing Outbreaks,Macon,1
Nursing Home,Ongoing Outbreaks,Rutherford,3
Residential Care Facility,Ongoing Outbreaks,Rutherford,2
Correctional Facility,Ongoing Outbreaks,Rutherford,1
Nursing Home,Ongoing Outbreaks,Wilkes,3
Correctional Facility,Ongoing Outbreaks,Wilkes,2
Residential Care Facility,Ongoing Outbreaks,Wilkes,2
Nursing Home,Ongoing Outbreaks,Anson,2
Correctional Facility,Ongoing Outbreaks,Anson,1
Nursing Home,Ongoing Outbreaks,Cherokee,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
K-12 School,,Gaston,1
Residential Care Facility,Ongoing Outbreaks,Gaston,6
Nursing Home,Ongoing Outbreaks,Gaston,9
Nursing Home,Ongoing Outbreaks,Stanly,4
Correctional Facility,Ongoing Outbreaks,Stanly,1
Residential Care Facility,Ongoing Outbreaks,Stanly,2
Residential Care Facility,Ongoing Outbreaks,Lincoln,6
Nursing Home,Ongoing Outbreaks,Lincoln,1
Nursing Home,Ongoing Outbreaks,Pender,2
Correctional Facility,Ongoing Outbreaks,Pender,2
Nursing Home,Ongoing Outbreaks,Swain,1
Correctional Facility,Ongoing Outbreaks,Swain,1
Residential Care Facility,Ongoing Outbreaks,Cabarrus,8
K-12 School,,Cabarrus,1
Correctional Facility,Ongoing Outbreaks,Cabarrus,1
Child Care,,Cabarrus,1
Nursing Home,Ongoing Outbreaks,Cabarrus,7
K-12 School,,Davidson,1
Residential Care Facility,Ongoing Outbreaks,Davidson,6
Nursing Home,Ongoing Outbreaks,Davidson,9
Residential Care Facility,Ongoing Outbreaks,Henderson,6
K-12 School,,Henderson,2
Nursing Home,Ongoing Outbreaks,Henderson,6
Nursing Home,Ongoing Outbreaks,Pasquotank,1
Residential Care Facility,Ongoing Outbreaks,Pasquotank,2
Correctional Facility,Ongoing Outbreaks,Pasquotank,2
,,Chatham,0
Residential Care Facility,Ongoing Outbreaks,Franklin,1
Correctional Facility,Ongoing Outbreaks,Franklin,2
Nursing Home,Ongoing Outbreaks,Franklin,2
Correctional Facility,Ongoing Outbreaks,Johnston,1
Nursing Home,Ongoing Outbreaks,Johnston,4
Residential Care Facility,Ongoing Outbreaks,Johnston,4
Nursing Home,Ongoing Outbreaks,Rowan,6
Correctional Facility,Ongoing Outbreaks,Rowan,2
Residential Care Facility,Ongoing Outbreaks,Rowan,3
K-12 School,,Rowan,1
Nursing Home,Ongoing Outbreaks,Bladen,1
Correctional Facility,Ongoing Outbreaks,Bladen,1
Residential Care Facility,Ongoing Outbreaks,Bladen,1
Residential Care Facility,Ongoing Outbreaks,Guilford,12
Nursing Home,Ongoing Outbreaks,Guilford,18
K-12 School,,Guilford,2
Correctional Facility,Ongoing Outbreaks,Guilford,2
