"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
5706.0,286,571.0,Buncombe,14903
7232.0,132,723.0,Onslow,14315
7232.0,537,723.0,Guilford,38848
5079.0,92,508.0,Orange,7541
6515.0,515,652.0,Wake,72435
9568.0,22,957.0,Chowan,1334
6555.0,193,655.0,Durham,21073
6068.0,32,607.0,Madison,1320
10278.0,87,1028.0,Sampson,6530
7268.0,60,727.0,Person,2870
10278.0,55,1028.0,McDowell,4703
8546.0,149,855.0,Davidson,14324
9020.0,37,902.0,Martin,2024
9906.0,193,991.0,Rutherford,6640
8884.0,196,888.0,Randolph,12763
10886.0,84,1089.0,Montgomery,2958
9521.0,121,952.0,Duplin,5593
7362.0,42,736.0,Franklin,5130
8022.0,28,802.0,Davie,3437
7874.0,113,787.0,Craven,8042
9103.0,87,910.0,Richmond,4081
9781.0,71,978.0,Scotland,3406
8492.0,39,849.0,Bertie,1609
10201.0,72,1020.0,Alexander,3825
8092.0,56,809.0,Hertford,1916
7127.0,9,713.0,Pamlico,907
7017.0,23,702.0,Macon,2516
8200.0,15,820.0,Mitchell,1227
6828.0,138,683.0,Harnett,9285
8378.0,189,838.0,Union,20095
9403.0,76,940.0,Pitt,16996
6182.0,43,618.0,Carteret,4295
8101.0,332,810.0,Forsyth,30969
8770.0,177,877.0,Iredell,15945
7632.0,170,763.0,Moore,7699
8822.0,79,882.0,Beaufort,4146
9995.0,163,999.0,Nash,9425
9443.0,45,944.0,Yadkin,3557
8187.0,28,819.0,Washington,948
9014.0,217,901.0,Alamance,15279
10196.0,211,1020.0,Cleveland,9987
7226.0,48,723.0,Jackson,3175
7168.0,17,717.0,Cherokee,2051
8743.0,38,874.0,Bladen,2861
7141.0,53,714.0,Pender,4503
5153.0,5,515.0,Camden,560
12518.0,8,1252.0,Hyde,618
8400.0,76,840.0,Granville,5077
9993.0,135,999.0,Burke,9042
10911.0,197,1091.0,Robeson,14252
8493.0,833,849.0,Mecklenburg,94306
10190.0,269,1019.0,Rowan,14479
10700.0,271,1070.0,Catawba,17072
10458.0,105,1046.0,Stanly,6568
5408.0,125,541.0,Brunswick,7723
10261.0,67,1026.0,Caldwell,8432
5440.0,74,544.0,Chatham,4051
10321.0,371,1032.0,Gaston,23173
8266.0,224,827.0,Cabarrus,17893
7249.0,127,725.0,Henderson,8512
8279.0,181,828.0,Johnston,17332
9310.0,78,931.0,Vance,4146
6345.0,25,635.0,Polk,1315
6761.0,29,676.0,Watauga,3798
8207.0,208,821.0,Wayne,10105
4780.0,15,478.0,Currituck,1327
9478.0,104,948.0,Lenoir,5303
7521.0,74,752.0,Pasquotank,2995
10217.0,135,1022.0,Columbus,5671
9143.0,51,914.0,Anson,2235
9966.0,66,997.0,Lincoln,8582
8594.0,100,859.0,Wilkes,5879
6528.0,12,653.0,Graham,551
7891.0,18,789.0,Warren,1557
5726.0,12,573.0,Gates,662
5374.0,26,537.0,Transylvania,1848
4947.0,8,495.0,Dare,1831
6477.0,7,648.0,Perquimans,872
7395.0,6,740.0,Tyrrell,297
,0,,Missing,1
6944.0,256,694.0,Cumberland,23299
9989.0,145,999.0,Wilson,8171
8505.0,28,850.0,Northampton,1657
5716.0,18,572.0,Clay,642
7844.0,64,784.0,Stokes,3576
6672.0,139,667.0,New Hanover,15645
9832.0,95,983.0,Halifax,4917
10178.0,20,1018.0,Avery,1787
10043.0,38,1004.0,Greene,2116
8587.0,65,859.0,Lee,5305
7247.0,53,725.0,Hoke,4003
8781.0,99,878.0,Edgecombe,4520
10002.0,129,1000.0,Surry,7180
8428.0,19,843.0,Caswell,1905
7340.0,59,734.0,Rockingham,6680
6672.0,40,667.0,Ashe,1815
6026.0,83,603.0,Haywood,3755
7988.0,15,799.0,Swain,1140
8063.0,4,806.0,Alleghany,898
7294.0,16,729.0,Jones,687
7754.0,23,775.0,Yancey,1401
