COVID Suspected Race Other,COVID Confirmed 50-59,Date Filter,COVID Suspected Hispanic,COVID Confirmed 60-69,COVID Confirmed 80-,COVID Suspected Alaskan Native American Indian,COVID Confirmed Race Not Disclosed,COVID Suspected 18-19,COVID Confirmed White,COVID Suspected Black African American,COVID Suspected Race Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Alaskan Native American Indian,COVID Suspected Age Unknown,COVID Confirmed Black African American,COVID Suspected Ethnicity Missing,COVID Suspected 20-29,COVID Confirmed Asian,COVID Suspected 70-79,COVID Suspected Asian,COVID Suspected Gender Not Disclosed,Max Date,COVID Confirmed 0-17,COVID Suspected White,COVID Suspected Female,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Confirmed Age Missing,COVID Suspected 40-49,COVID Suspected Gender Unknown,COVID Confirmed Female,COVID Confirmed 20-29,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Missing,COVID Suspected Non-Hispanic,COVID Confirmed Gender Not Disclosed,COVID Suspected 80-,COVID Suspected 50-59,today,COVID Confirmed 30-39,COVID Confirmed Male,COVID Suspected Male,COVID Confirmed Race Other,COVID Suspected Native Hawaiian Pacific Islander,COVID Confirmed Non-Hispanic,COVID Suspected 60-69,COVID Confirmed 70-79,COVID Confirmed Gender Unknown,COVID Suspected Race Not Disclosed,Date,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed 40-49,COVID Suspected 0-17,COVID Confirmed Age Unknown,COVID Suspected 30-39,COVID Confirmed 18-19,COVID Suspected Age Missing
20,31,T,16,66,76,4,5,2,165,98,0,0,3,0,79,0,17,5,73,4,24,2021-02-15,2,207,176,0,0,17,26,0,36,0,136,9,0,0,304,0,63,50,2021-02-19,10,144,146,23,0,245,68,59,0,13,2020-12-02,18,26,14,0,23,1,0
22,62,T,18,113,118,4,17,2,339,102,0,0,8,1,147,0,25,4,72,0,29,2021-02-15,1,203,182,0,0,25,27,0,23,3,274,20,1,0,300,11,70,43,2021-02-19,29,251,131,20,1,457,62,138,0,13,2021-01-05,54,39,23,13,24,3,0
18,16,T,21,21,21,1,5,2,65,87,53,36,2,4,29,50,26,1,52,5,3,2021-02-15,2,164,160,52,36,2,19,23,20,1,45,3,0,29,249,2,47,49,2021-02-19,3,56,123,7,1,83,49,35,0,10,2020-10-02,17,12,18,2,26,0,42
9,44,T,11,45,56,6,5,4,155,61,0,2,7,0,86,0,11,1,28,2,26,2021-02-15,2,116,95,0,2,10,7,2,22,0,136,13,0,0,182,0,37,31,2021-02-19,18,128,79,12,0,242,38,62,0,6,2021-02-01,12,24,11,0,18,0,0
10,27,T,12,60,51,1,3,2,142,68,0,3,4,0,74,0,10,3,41,2,0,2021-02-15,4,144,109,24,0,9,4,1,19,0,120,7,0,0,209,0,45,27,2021-02-19,15,120,91,13,0,211,53,58,0,2,2021-02-04,16,14,8,0,18,2,1
16,36,T,7,40,45,1,4,3,136,71,0,0,2,0,47,0,6,1,50,1,0,2021-02-15,1,147,107,18,0,18,18,0,20,0,106,6,0,0,219,2,41,53,2021-02-19,9,102,119,20,0,179,48,47,0,8,2020-11-30,13,20,10,3,13,3,0
8,34,T,7,41,43,2,6,0,133,71,0,1,1,3,54,0,22,1,51,1,18,2021-02-15,2,156,123,0,1,16,25,1,26,2,104,6,0,1,214,0,35,41,2021-02-19,7,106,103,15,1,172,43,57,0,7,2020-11-22,22,16,6,4,19,0,0
19,51,T,16,86,83,7,10,1,235,76,1,1,12,1,102,1,11,9,51,2,21,2021-02-15,0,131,118,1,1,21,17,0,20,0,179,13,0,0,207,2,49,37,2021-02-19,9,202,101,17,0,334,50,112,0,5,2021-01-11,29,26,9,4,11,1,0
11,47,T,16,61,67,1,2,3,200,59,0,0,1,0,80,0,9,0,59,0,25,2021-02-15,2,143,90,0,0,14,11,0,17,1,138,8,1,0,192,1,41,27,2021-02-19,13,160,103,15,0,269,48,87,0,5,2020-12-26,16,13,5,1,10,0,0
20,66,T,17,87,105,5,13,1,302,80,0,1,10,0,120,0,17,7,70,2,33,2021-02-15,3,192,143,0,1,16,22,1,37,1,225,15,0,1,269,5,49,45,2021-02-19,21,234,131,14,1,417,53,129,2,8,2021-01-14,33,29,10,9,26,2,0
16,72,T,11,91,95,3,3,1,286,68,2,2,8,1,120,2,9,10,59,4,21,2021-02-15,3,177,120,2,2,17,17,2,22,1,239,10,1,0,249,0,53,45,2021-02-19,9,206,135,22,1,403,50,134,2,8,2021-01-15,27,30,20,2,17,1,1
17,45,T,16,77,80,1,16,3,216,72,0,1,5,0,119,0,12,3,45,2,20,2021-02-15,6,120,92,0,1,18,15,1,21,1,189,8,0,1,188,0,48,27,2021-02-19,13,184,106,14,1,326,42,103,0,6,2021-01-17,29,39,10,1,11,1,0
15,60,T,12,95,86,1,6,3,246,76,0,8,9,0,134,0,25,2,56,2,27,2021-02-15,7,163,126,4,8,19,17,6,22,0,225,17,1,5,236,0,47,37,2021-02-19,18,193,108,21,0,367,47,99,0,8,2021-01-22,30,36,17,0,11,0,0
12,32,T,8,51,47,1,2,0,146,48,0,0,2,0,78,0,8,1,27,1,18,2021-02-15,3,106,81,0,0,10,3,0,11,1,115,9,0,0,159,0,35,29,2021-02-19,11,121,70,7,0,215,36,65,0,2,2021-02-08,11,17,9,0,15,1,0
14,27,T,12,64,43,2,7,0,149,67,1,6,2,0,64,1,21,1,52,3,23,2021-02-15,2,178,121,1,6,12,12,6,32,0,118,9,0,4,246,0,56,31,2021-02-19,11,114,126,11,1,196,40,60,0,5,2020-11-21,24,14,15,0,24,2,0
12,50,T,13,84,92,6,7,0,235,69,0,0,13,0,101,0,13,7,72,2,37,2021-02-15,6,193,132,0,0,25,15,0,26,0,185,11,2,0,258,3,62,47,2021-02-19,16,194,117,17,1,319,46,93,0,3,2020-12-29,38,25,6,3,14,2,0
