First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.00046943241279248383,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00038935190196149173
0.08297799715008641,0.025093743113147958,Missing or Undisclosed,0.04827515211278289,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.026788613486308042
,0.0011281124474960737,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00022248680112085242
0.0758400273556344,0.1504494016580058,Missing or Undisclosed,0.030514499849056697,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.11107653545958557
0.0508779752665534,0.00738475352340567,Missing or Undisclosed,0.027132286122290017,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.007226311168837416
0.1260120882800277,0.7763691164266117,Missing or Undisclosed,0.07245109331463914,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.8190776418804344
,0.03910544041854037,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.03521905930175223
,0.003389252865135263,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0006103354138855817
0.029342093719232232,0.024659538612659272,Missing or Undisclosed,0.014833841864636441,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.022875551707135212
0.12538090818530132,0.9719512085222055,Missing or Undisclosed,0.06865013346714219,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9765141128789792
,0.001798262035042761,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0010342629673726113
