First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.00045685287268131246,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.000361226693010674
0.085838746904918,0.02521923366512207,Missing or Undisclosed,0.051509749846939054,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.02601653159433695
,0.0015185980506549552,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00045426993211948396
0.07915747619494028,0.1525562271275097,Missing or Undisclosed,0.034384512680269874,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.11392323659116937
0.05209715017864299,0.007346257865589746,Missing or Undisclosed,0.029203754607182972,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.007079495869837982
0.12927178045892063,0.7737591350676764,Missing or Undisclosed,0.07938721403893599,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.816890905433862
,0.0391436953507659,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.03527433388566354
,0.00435442868717676,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.000871596225181058
0.030444615579579462,0.024857094192874688,Missing or Undisclosed,0.015980230642504117,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.022430262039863556
0.1289037474580581,0.9707884771199485,Missing or Undisclosed,0.07543794533522351,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9766981417349554
,0.0017860241224684063,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.001279344537746137
,0.0005038116174342697,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00044606023455105953
0.1385458311524884,0.5941156713269905,Female,0.08181936293343134,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.6031774266155658
0.09809021650643966,0.3981830945335246,Male,0.055829659013729487,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.38961309063642946
,0.0045056517634998435,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.004825933887305482
,0.0009057466360824628,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0006581440884020234
0.5429344324184698,0.30447095004703834,Missing or Undisclosed,0.376409693067986,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3628864202024238
0.0008626060286576892,0.00027220153738154857,Missing or Undisclosed,0.00040860285567995803,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,15-17,0.00022166183434745902
0.0789225326156892,0.127992028156145,Missing or Undisclosed,0.048759982979917973,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.1359430137526117
0.059596049992737876,0.16165667267844722,Missing or Undisclosed,0.04192987578104484,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.19552899870423607
1.890348958417724e-05,5.571376496113567e-06,Missing or Undisclosed,1.890348958417724e-05,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,2-4,9.577980496495142e-06
,6.844833980939525e-05,Missing or Undisclosed,,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,5.062646833861719e-05
0.002584896520620709,0.0004926688644420426,Missing or Undisclosed,0.0019835635659044217,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,0-1,0.000649934390833599
0.020671581597578002,0.016297868072988216,Missing or Undisclosed,0.013662606111325911,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.018518341148509324
9.540983293738252e-06,4.7754655680973435e-06,Missing or Undisclosed,1.5901638822897089e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,5-9,1.3682829280707347e-06
0.4667045067978458,0.3887308563524039,Missing or Undisclosed,0.19986087062879596,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.2861845841035626
1.5023903029720286e-05,7.959109280162239e-06,Missing or Undisclosed,6.009561211888114e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,10-14,5.473131712282939e-06
,,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,
0.5429344324184698,0.30447095004703834,Missing or Undisclosed,0.376409693067986,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3628864202024238
