COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Asian,COVID Confirmed Black African American,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Other,COVID Confirmed White,COVID Suspected 0-17,COVID Suspected 18-19,COVID Suspected 20-29,COVID Suspected 30-39,COVID Suspected 40-49,COVID Suspected 50-59,COVID Suspected 60-69,COVID Suspected 70-79,COVID Suspected 80-,COVID Suspected Age Unknown,COVID Suspected Hispanic,COVID Suspected Non-Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Suspected Female,COVID Suspected Male,COVID Suspected Gender Not Disclosed,COVID Suspected Gender Unknown,COVID Suspected Alaskan Native American Indian,COVID Suspected Asian,COVID Suspected Black African American,COVID Suspected Native Hawaiian Pacific Islander,COVID Suspected Race Not Disclosed,COVID Suspected Race Other,COVID Suspected White
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-02,2,1,9,10,26,31,66,59,76,0,17,245,18,136,144,0,0,3,5,79,0,5,23,165,14,2,17,23,36,50,68,73,63,0,16,304,26,176,146,24,0,4,4,98,0,13,20,207
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-05,1,3,20,29,39,62,113,138,118,13,25,457,54,274,251,11,0,8,4,147,1,17,20,339,23,2,25,24,23,43,62,72,70,1,18,300,27,182,131,29,3,4,0,102,1,13,22,203
50,42,53,52,35,36,29,23,2021-02-23,T,2021-02-19,2020-10-02,2,0,3,3,12,16,21,35,21,2,2,83,17,45,56,2,0,2,1,29,0,5,7,65,18,2,26,26,20,49,49,52,47,4,21,249,19,160,123,3,1,1,5,87,1,10,18,164
0,0,0,0,2,2,0,2,2021-02-23,T,2021-02-19,2021-02-01,2,0,13,18,24,44,45,62,56,0,10,242,12,136,128,0,0,7,1,86,0,5,12,155,11,4,11,18,22,31,38,28,37,0,11,182,7,95,79,26,0,6,2,61,0,6,9,116
0,0,0,18,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-30,1,3,6,9,20,36,40,47,45,3,18,179,13,106,102,2,0,2,1,47,0,4,20,136,10,3,6,13,20,53,48,50,41,0,7,219,18,107,119,0,0,1,1,71,0,8,16,147
0,1,0,24,0,3,0,1,2021-02-23,T,2021-02-19,2021-02-04,4,2,7,15,14,27,60,58,51,0,9,211,16,120,120,0,0,4,3,74,0,3,13,142,8,2,10,18,19,27,53,41,45,0,12,209,4,109,91,0,0,1,2,68,0,2,10,144
0,0,0,0,1,1,1,1,2021-02-23,T,2021-02-19,2020-11-22,2,0,6,7,16,34,41,57,43,4,16,172,22,104,106,0,0,1,1,54,0,6,15,133,6,0,22,19,26,41,43,51,35,3,7,214,25,123,103,18,2,2,1,71,1,7,8,156
1,0,1,1,2,1,0,0,2021-02-23,T,2021-02-19,2021-01-11,0,1,13,9,26,51,86,112,83,4,21,334,29,179,202,2,0,12,9,102,0,10,17,235,9,1,11,11,20,37,50,51,49,1,16,207,17,118,101,21,0,7,2,76,0,5,19,131
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-26,2,0,8,13,13,47,61,87,67,1,14,269,16,138,160,1,0,1,0,80,1,2,15,200,5,3,9,10,17,27,48,59,41,0,16,192,11,90,103,25,1,1,0,59,0,5,11,143
0,0,0,0,1,1,1,1,2021-02-23,T,2021-02-19,2021-01-14,3,2,15,21,29,66,87,129,105,9,16,417,33,225,234,5,2,10,7,120,0,13,14,302,10,1,17,26,37,45,53,70,49,0,17,269,22,143,131,33,1,5,2,80,1,8,20,192
2,1,2,2,2,2,0,2,2021-02-23,T,2021-02-19,2021-01-15,3,1,10,9,30,72,91,134,95,2,17,403,27,239,206,0,2,8,10,120,1,3,22,286,20,1,9,17,22,45,50,59,53,1,11,249,17,120,135,21,1,3,4,68,1,8,16,177
0,0,0,0,1,1,1,1,2021-02-23,T,2021-02-19,2021-01-17,6,1,8,13,39,45,77,103,80,1,18,326,29,189,184,0,0,5,3,119,0,16,14,216,10,3,12,11,21,27,42,45,48,0,16,188,15,92,106,20,1,1,2,72,1,6,17,120
0,0,0,4,6,8,5,6,2021-02-23,T,2021-02-19,2021-01-22,7,0,17,18,36,60,95,99,86,0,19,367,30,225,193,0,0,9,2,134,1,6,21,246,17,3,25,11,22,37,47,56,47,0,12,236,17,126,108,27,0,1,2,76,0,8,15,163
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-02-08,3,1,9,11,17,32,51,65,47,0,10,215,11,115,121,0,0,2,1,78,0,2,7,146,9,0,8,15,11,29,36,27,35,0,8,159,3,81,70,18,1,1,1,48,0,2,12,106
1,0,1,1,6,6,4,6,2021-02-23,T,2021-02-19,2020-11-21,2,2,9,11,14,27,64,60,43,0,12,196,24,118,114,0,0,2,1,64,0,7,11,149,15,0,21,24,32,31,40,52,56,0,12,246,12,121,126,23,0,2,3,67,1,5,14,178
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-29,6,2,11,16,25,50,84,93,92,3,25,319,38,185,194,3,0,13,7,101,2,7,17,235,6,0,13,14,26,47,46,72,62,0,13,258,15,132,117,37,0,6,2,69,1,3,12,193
