Facility_Type,Category,County,Outbreak Count
K-12 School,,Martin,1
Nursing Home,Ongoing Outbreaks,Martin,1
Residential Care Facility,Ongoing Outbreaks,Orange,2
Nursing Home,Ongoing Outbreaks,Orange,2
Child Care,,Orange,2
Correctional Facility,Ongoing Outbreaks,Beaufort,1
Residential Care Facility,Ongoing Outbreaks,Beaufort,1
Correctional Facility,Ongoing Outbreaks,Cleveland,1
K-12 School,,Cleveland,1
Nursing Home,Ongoing Outbreaks,Cleveland,4
Residential Care Facility,Ongoing Outbreaks,Mitchell,1
Residential Care Facility,Ongoing Outbreaks,Caldwell,2
K-12 School,,Caldwell,1
Nursing Home,Ongoing Outbreaks,Caldwell,3
Nursing Home,Ongoing Outbreaks,Davie,2
Nursing Home,Ongoing Outbreaks,Montgomery,1
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Montgomery,3
Correctional Facility,Ongoing Outbreaks,Robeson,3
Nursing Home,Ongoing Outbreaks,Robeson,5
Residential Care Facility,Ongoing Outbreaks,Robeson,4
K-12 School,,Robeson,3
Residential Care Facility,Ongoing Outbreaks,Washington,1
Correctional Facility,Ongoing Outbreaks,Washington,1
Nursing Home,Ongoing Outbreaks,Washington,1
K-12 School,,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,3
Nursing Home,Ongoing Outbreaks,Greene,1
Nursing Home,Ongoing Outbreaks,Perquimans,1
Residential Care Facility,Ongoing Outbreaks,Transylvania,2
Nursing Home,Ongoing Outbreaks,Transylvania,2
Correctional Facility,Ongoing Outbreaks,Harnett,2
Nursing Home,Ongoing Outbreaks,Harnett,3
Correctional Facility,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Nursing Home,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,Polk,1
Nursing Home,Ongoing Outbreaks,Polk,3
K-12 School,,Polk,1
Other,Ongoing Outbreaks,Alamance,1
Residential Care Facility,Ongoing Outbreaks,Alamance,18
K-12 School,,Alamance,1
Correctional Facility,Ongoing Outbreaks,Alamance,1
Child Care,,Alamance,3
Nursing Home,Ongoing Outbreaks,Alamance,8
Correctional Facility,Ongoing Outbreaks,Caswell,1
Nursing Home,Ongoing Outbreaks,Caswell,1
Residential Care Facility,Ongoing Outbreaks,Caswell,3
Nursing Home,Ongoing Outbreaks,Edgecombe,2
Correctional Facility,Ongoing Outbreaks,Edgecombe,2
Correctional Facility,Ongoing Outbreaks,Avery,2
Nursing Home,Ongoing Outbreaks,Graham,1
Child Care,,Surry,2
Nursing Home,Ongoing Outbreaks,Surry,3
Correctional Facility,Ongoing Outbreaks,Surry,1
K-12 School,,Alleghany,1
Correctional Facility,Ongoing Outbreaks,Durham,1
Child Care,,Durham,2
Nursing Home,Ongoing Outbreaks,Durham,7
Residential Care Facility,Ongoing Outbreaks,Durham,3
Other,Ongoing Outbreaks,Durham,3
Child Care,,Person,2
K-12 School,,Person,2
Residential Care Facility,Ongoing Outbreaks,Person,1
Nursing Home,Ongoing Outbreaks,Person,2
Correctional Facility,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Alexander,2
Nursing Home,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Catawba,6
Residential Care Facility,Ongoing Outbreaks,Catawba,1
K-12 School,,Catawba,1
K-12 School,,Wilson,1
Child Care,,Wilson,1
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Residential Care Facility,Ongoing Outbreaks,Haywood,1
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Haywood,4
Nursing Home,Ongoing Outbreaks,Ashe,1
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Nursing Home,Ongoing Outbreaks,Lee,2
