First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.1007682846879453,0.02442397130345883,Missing or Undisclosed,0.06286605947975532,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.025409067815910725
,0.005621906129532342,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0009733974527425938
0.09976216621603931,0.1586162835667915,Missing or Undisclosed,0.0481333620215087,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.12761689528915052
0.0648702651141001,0.007546433911085635,Missing or Undisclosed,0.03466746439839927,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.006725092412536571
0.1552615559239194,0.7666725105074227,Missing or Undisclosed,0.09731897831242249,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.8013524640423259
,0.03711889458170904,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.03792308298733379
,0.012524860946137516,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0011978591825651268
0.04014212881276625,0.027038597583276373,Missing or Undisclosed,0.020450756948032327,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.02297064697535082
0.15458441508756793,0.9604365414705861,Missing or Undisclosed,0.09418717781196742,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.975831493842084
,0.0017748204003884512,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.001596415619908551
,0.0004116952982033144,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0005003854172141343
0.17000456585409313,0.6014257658221989,Female,0.10140576336997152,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.5982244529703404
0.11649847929440516,0.3901407183721817,Male,0.07065712676833984,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.3945818223226643
,0.005373050438911837,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.004258203255023563
,0.0008739496681158079,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008387204148490741
0.5917702026438221,0.27377606008256233,Missing or Undisclosed,0.43892016020755453,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.33861639599866855
0.0013947986369815851,0.00036310606045683076,Missing or Undisclosed,0.0005321926083238959,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,15-17,0.00023103134142709483
0.11250234958600662,0.15051763953483027,Missing or Undisclosed,0.05691273968844612,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.12697416828717087
0.08252146727130552,0.18466602450079483,Missing or Undisclosed,0.04701424109363148,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.17544038296455913
1.890348958417724e-05,4.596279246288997e-06,Missing or Undisclosed,1.890348958417724e-05,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,2-4,7.664546871988928e-06
,5.7125184918163247e-05,Missing or Undisclosed,,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,4.160754016222561e-05
0.0024220355120517147,0.0003808345661210883,Missing or Undisclosed,0.0019919154124977034,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,0-1,0.0005222841225626741
0.028284239546854544,0.018396935988932158,Missing or Undisclosed,0.015330304152992115,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.016627686971146267
9.540983293738252e-06,3.939667925390569e-06,Missing or Undisclosed,1.5901638822897089e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,5-9,1.0949352674269898e-06
0.5411129203025682,0.371825202187041,Missing or Undisclosed,0.29805887771522055,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.34153330355109407
1.9531073938636372e-05,8.535947171679566e-06,Missing or Undisclosed,6.009561211888114e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,10-14,4.379741069707959e-06
,,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,
0.5917702026438221,0.27377606008256233,Missing or Undisclosed,0.43892016020755453,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.33861639599866855
0.11250234958600662,0.15051763953483027,Missing or Undisclosed,0.05691273968844612,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.12697416828717087
0.08252146727130552,0.18466602450079483,Missing or Undisclosed,0.04701424109363148,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.17544038296455913
,0.0008181377058394415,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008080622273611184
0.028284239546854544,0.018396935988932158,Missing or Undisclosed,0.015330304152992115,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.016627686971146267
0.5411129203025682,0.371825202187041,Missing or Undisclosed,0.29805887771522055,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.34153330355109407
0.08170773178347296,0.14682517637909004,Missing or Undisclosed,0.05246236126997867,Henderson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.1512073420654014
0.07070254110612854,0.11486158329286061,Missing or Undisclosed,0.03692077727952167,Caswell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.11461716937354989
0.08963714637146371,0.1385127108576859,Missing or Undisclosed,0.05273677736777368,Stanly ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.15770114942528737
,0.016406966086159488,Missing or Undisclosed,,Wake ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0009958742353108551
0.10350633497495475,0.38201025322355137,Male,0.05173212105905628,Edgecombe ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.37653186274509803
,0.007802308695759187,Missing or Undisclosed,,New Hanover ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.009287810677267154
0.08696921056471618,0.1482587064676617,Missing or Undisclosed,0.03866919597256676,Hertford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.1557907113462669
,,Missing or Undisclosed,,Martin ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
