"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
7739.0,5,774.0,27006,1151
9985.0,4,999.0,27865,200
9031.0,8,903.0,28119,274
8849.0,43,885.0,27021,1591
10615.0,31,1062.0,28621,1104
8961.0,3,896.0,27846,275
8200.0,20,820.0,27962,610
5459.0,2,546.0,28768,431
4803.0,6,480.0,27539,1276
7837.0,5,784.0,27596,1462
5713.0,28,571.0,27712,1260
5824.0,19,582.0,28739,1281
5889.0,31,589.0,28786,1286
,0,,28561,0
8546.0,1,855.0,27009,251
5098.0,2,510.0,28772,99
10362.0,17,1036.0,28023,1538
8023.0,2,802.0,27875,41
11651.0,91,1165.0,28601,5808
8749.0,40,875.0,28262,3822
8164.0,32,816.0,27292,3385
6184.0,4,618.0,27242,165
10464.0,73,1046.0,28054,4205
5531.0,6,553.0,27850,410
9008.0,10,901.0,28073,505
0.0,0,0.0,28629,0
10280.0,3,1028.0,27840,55
8395.0,14,839.0,28574,1486
9489.0,51,949.0,28472,1898
4525.0,2,453.0,28785,376
,0,,27969,0
8954.0,4,895.0,28318,410
8663.0,3,866.0,28523,197
8158.0,41,816.0,27604,3887
7391.0,29,739.0,28173,4718
7108.0,3,711.0,27883,310
6496.0,32,650.0,27612,2547
7443.0,33,744.0,28501,1452
5075.0,0,507.0,27941,34
8677.0,40,868.0,28562,3298
12286.0,44,1229.0,28658,3177
7418.0,42,742.0,27262,1837
8553.0,2,855.0,27544,367
11172.0,0,1117.0,28347,204
4672.0,17,467.0,28801,784
9186.0,9,919.0,28572,586
8054.0,1,805.0,28395,214
5677.0,16,568.0,27403,1208
7669.0,25,767.0,27332,2573
4255.0,12,425.0,27513,2085
9538.0,21,954.0,27932,1206
6467.0,0,647.0,27343,119
9298.0,70,930.0,27886,2008
4486.0,0,449.0,27411,38
6872.0,6,687.0,28391,366
6724.0,11,672.0,28420,344
7176.0,3,718.0,28429,613
8724.0,11,872.0,28518,768
11066.0,22,1107.0,28630,2254
6483.0,41,648.0,28716,1209
9611.0,48,961.0,28146,2920
6581.0,5,658.0,28751,246
9076.0,9,908.0,28128,735
0.0,0,0.0,28672,0
7076.0,9,708.0,28722,485
4735.0,0,474.0,27842,68
7487.0,7,749.0,28439,115
7544.0,0,754.0,28649,78
8750.0,2,875.0,27042,63
10411.0,53,1041.0,28215,6273
6337.0,5,634.0,27408,1103
6104.0,2,610.0,27806,149
0.0,0,0.0,27821,0
6896.0,13,690.0,27409,1238
0.0,0,0.0,28587,0
7457.0,3,746.0,27808,185
0.0,0,0.0,27881,0
7531.0,16,753.0,28403,3159
8406.0,6,841.0,27013,546
7868.0,31,787.0,27104,2312
6748.0,0,675.0,28611,66
8213.0,48,821.0,28269,6691
6783.0,3,678.0,27050,277
9438.0,0,944.0,28444,215
8126.0,5,813.0,28673,538
7528.0,3,753.0,27810,318
0.0,0,0.0,27157,0
10926.0,8,1093.0,28366,563
22538.0,37,2254.0,27509,1563
7914.0,12,791.0,27239,762
6349.0,7,635.0,28544,356
2603.0,0,260.0,27964,17
6482.0,12,648.0,28409,2267
5666.0,17,567.0,27278,1540
4744.0,0,474.0,27979,86
10040.0,18,1004.0,28217,3100
9772.0,5,977.0,28369,219
0.0,0,0.0,28735,0
10679.0,71,1068.0,28043,2293
9057.0,48,906.0,27330,3580
10231.0,7,1023.0,28638,1285
4583.0,15,458.0,27516,2022
7171.0,1,717.0,27608,832
11762.0,49,1176.0,28328,3170
8053.0,0,805.0,27047,103
9131.0,34,913.0,27537,2312
7913.0,18,791.0,27401,1600
7034.0,7,703.0,27040,925
7895.0,47,790.0,28078,5217
6825.0,1,682.0,27541,276
2987.0,0,299.0,27966,44
10317.0,9,1032.0,27017,980
11298.0,62,1130.0,28086,3049
9056.0,55,906.0,27360,4377
8188.0,0,819.0,28622,216
10839.0,5,1084.0,28203,2067
6608.0,2,661.0,27849,98
3779.0,0,378.0,28449,74
6632.0,6,663.0,27601,805
10710.0,26,1071.0,28340,1150
10157.0,5,1016.0,27020,620
5102.0,13,510.0,28462,730
8780.0,6,878.0,28508,262
10225.0,43,1023.0,28213,4636
6789.0,20,679.0,28311,2447
8354.0,8,835.0,28124,586
9749.0,52,975.0,28677,3472
12321.0,13,1232.0,27869,267
7585.0,41,759.0,27405,3983
7602.0,6,760.0,27214,893
3915.0,0,392.0,27927,24
6917.0,1,692.0,28428,494
7510.0,47,751.0,27407,3743
9203.0,6,920.0,28344,351
8783.0,18,878.0,27379,532
4218.0,0,422.0,27974,58
7259.0,6,726.0,27350,545
5942.0,10,594.0,28390,1396
11931.0,20,1193.0,28360,1783
4538.0,4,454.0,27518,1033
6163.0,2,616.0,27814,111
9343.0,3,934.0,28430,192
5854.0,3,585.0,27935,98
3928.0,0,393.0,27965,24
6568.0,6,657.0,28326,1470
7824.0,4,782.0,28305,392
8271.0,2,827.0,28423,189
0.0,0,0.0,28581,0
7860.0,0,786.0,27813,54
6756.0,6,676.0,28773,237
7806.0,12,781.0,28090,664
6065.0,1,607.0,27981,113
8258.0,23,826.0,28031,2564
0.0,0,0.0,28733,0
