First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.12093169418151674,0.025604669410679626,Missing or Undisclosed,0.06995291682695173,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.025044517983713595
,0.008918615695937668,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0013006234457501329
0.11702338981076954,0.16253286620871935,Missing or Undisclosed,0.05900417066050394,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.13857313557908296
0.0738616800907608,0.007505884944179067,Missing or Undisclosed,0.041649498501430834,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.0071568235691202315
0.17571966806828732,0.7579716329630293,Missing or Undisclosed,0.10823683284616577,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.7894697025539162
,0.037466330777455044,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.03845519686841687
,0.019130083651097377,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0018728589662516829
0.052966865854966225,0.031165540152985605,Missing or Undisclosed,0.023793416063090374,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.023673092515935305
0.17498420566600728,0.949704376195917,Missing or Undisclosed,0.10618030333998643,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.974454048517813
,0.0019444406205690844,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0016924592936867875
,0.0003544732458736561,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0005198614220149674
0.19271208021054897,0.5955483207833744,Female,0.11403833090192322,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.5959183119246123
0.13517927699428892,0.39545563004464757,Male,0.0801482040929646,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.39646901587129163
,0.005816688003891176,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.004545877770492821
,0.0008804473016441135,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008544737179014669
0.6157105023375429,0.24883161488374655,Missing or Undisclosed,0.4766061204735831,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3256990002366533
0.0032864785243887982,0.0007473764391154917,Missing or Undisclosed,0.0006179487632196896,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,15-17,0.00023762322461505037
0.1487667065994043,0.1738674063571163,Missing or Undisclosed,0.06314852868065408,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.12479680789568631
0.10509654220319563,0.20544477788637583,Missing or Undisclosed,0.050615959942431184,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.1673100275061006
1.890348958417724e-05,4.015069128018758e-06,Missing or Undisclosed,1.890348958417724e-05,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,2-4,6.789234989001439e-06
,5.7931711704270656e-05,Missing or Undisclosed,,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,4.0735409934008636e-05
0.0024637947450181236,0.0003384129693615811,Missing or Undisclosed,0.0020169709522775484,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,0-1,0.00046845721424109934
0.04086163052816159,0.02321685044211647,Missing or Undisclosed,0.016739569568346848,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.016082727798231694
1.113114717602796e-05,4.015069128018758e-06,Missing or Undisclosed,1.5901638822897089e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,5-9,9.698907127144913e-07
0.5788794734488413,0.3474767011274314,Missing or Undisclosed,0.3599532922825244,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.3653520121352726
2.854541575646854e-05,1.0898044776050915e-05,Missing or Undisclosed,7.511951514860143e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,10-14,4.849453563572456e-06
,,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,
0.6157105023375429,0.24883161488374655,Missing or Undisclosed,0.4766061204735831,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3256990002366533
0.1487667065994043,0.1738674063571163,Missing or Undisclosed,0.06314852868065408,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.12479680789568631
0.10509654220319563,0.20544477788637583,Missing or Undisclosed,0.050615959942431184,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.1673100275061006
,0.001162649303213432,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0007594244280554467
0.04086163052816159,0.02321685044211647,Missing or Undisclosed,0.016739569568346848,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.016082727798231694
0.5788794734488413,0.3474767011274314,Missing or Undisclosed,0.3599532922825244,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.3653520121352726
0.10121495038179738,0.15727530383820915,Missing or Undisclosed,0.05481188363681331,Henderson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.14594995060915378
0.08071748878923767,0.12091356918943126,Missing or Undisclosed,0.042152466367713005,Caswell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.12097812097812098
0.10693419434194341,0.15245506356861027,Missing or Undisclosed,0.05681119311193112,Stanly ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.14995941558441558
,0.025041174025372672,Missing or Undisclosed,,Wake ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0018695491254875536
0.11865976343814455,0.3828082563824009,Male,0.06284463526539547,Edgecombe ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.37702020202020203
,0.007331762241424457,Missing or Undisclosed,,New Hanover ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.009062291328818087
0.10666861228658982,0.15693430656934307,Missing or Undisclosed,0.045673427695899604,Hertford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.15776209677419356
,,Missing or Undisclosed,,Martin ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.0035826242722794446,Missing or Undisclosed,,Caswell ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.005148005148005148
0.030703101013202335,0.00894774516821761,Missing or Undisclosed,0.006140620202640466,Beaufort ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.0034494653328734047
0.002358887952822241,0.0007783399121587813,Missing or Undisclosed,0.00016849199663016007,Randolph ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,9.941346058256288e-05
0.10260336906584992,0.131436978911231,Missing or Undisclosed,0.043836140888208266,Warren ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.12807606263982102
0.013771186440677966,0.005469078670593185,Missing or Undisclosed,0.005296610169491525,Mitchell ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.0037936267071320183
,0.035151625535015024,Missing or Undisclosed,,Wilkes ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.001316439032417311
,,Missing or Undisclosed,,Wayne ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.0005244755244755245,0.00017479461632581716,Missing or Undisclosed,0.00034965034965034965,Rowan ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00017389792191983307
