"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
9463.0,231,946.0,Alamance,16040
10585.0,76,1058.0,Alexander,3969
8369.0,5,837.0,Alleghany,932
9613.0,53,961.0,Anson,2350
6985.0,40,698.0,Ashe,1900
10651.0,20,1065.0,Avery,1870
9169.0,83,917.0,Beaufort,4309
8830.0,41,883.0,Bertie,1673
9153.0,41,915.0,Bladen,2995
5739.0,138,574.0,Brunswick,8197
6071.0,293,607.0,Buncombe,15857
10318.0,145,1032.0,Burke,9336
8712.0,238,871.0,Cabarrus,18857
10642.0,89,1064.0,Caldwell,8745
5521.0,5,552.0,Camden,600
6487.0,44,649.0,Carteret,4507
8861.0,24,886.0,Caswell,2003
11093.0,286,1109.0,Catawba,17699
5651.0,79,565.0,Chatham,4208
7476.0,19,748.0,Cherokee,2139
9940.0,22,994.0,Chowan,1386
5903.0,18,590.0,Clay,663
10716.0,218,1072.0,Cleveland,10496
10726.0,147,1073.0,Columbus,5954
8302.0,116,830.0,Craven,8480
7360.0,282,736.0,Cumberland,24693
5068.0,15,507.0,Currituck,1407
5083.0,8,508.0,Dare,1881
8847.0,172,885.0,Davidson,14829
8426.0,34,843.0,Davie,3610
9857.0,128,986.0,Duplin,5790
6814.0,210,681.0,Durham,21906
9259.0,100,926.0,Edgecombe,4766
8473.0,352,847.0,Forsyth,32391
8020.0,45,802.0,Franklin,5589
10736.0,381,1074.0,Gaston,24106
5925.0,12,592.0,Gates,685
6729.0,12,673.0,Graham,568
8836.0,76,884.0,Granville,5341
10205.0,42,1020.0,Greene,2150
7585.0,561,758.0,Guilford,40744
10096.0,101,1010.0,Halifax,5049
7305.0,157,730.0,Harnett,9933
6284.0,88,628.0,Haywood,3916
7731.0,151,773.0,Henderson,9077
8316.0,62,832.0,Hertford,1969
7611.0,54,761.0,Hoke,4204
12741.0,8,1274.0,Hyde,629
9211.0,196,921.0,Iredell,16746
7706.0,55,771.0,Jackson,3386
8787.0,199,879.0,Johnston,18394
7899.0,16,790.0,Jones,744
8929.0,73,893.0,Lee,5516
9882.0,108,988.0,Lenoir,5529
10404.0,75,1040.0,Lincoln,8959
10733.0,62,1073.0,McDowell,4911
7245.0,28,725.0,Macon,2598
6376.0,40,638.0,Madison,1387
9345.0,37,934.0,Martin,2097
8871.0,887,887.0,Mecklenburg,98496
8454.0,16,845.0,Mitchell,1265
11460.0,89,1146.0,Montgomery,3114
8057.0,182,806.0,Moore,8128
10544.0,172,1054.0,Nash,9943
7080.0,154,708.0,New Hanover,16600
8926.0,33,893.0,Northampton,1739
7534.0,137,753.0,Onslow,14912
5273.0,96,527.0,Orange,7829
7701.0,10,770.0,Pamlico,980
7817.0,78,782.0,Pasquotank,3113
7650.0,60,765.0,Pender,4824
6915.0,9,692.0,Perquimans,931
7777.0,64,778.0,Person,3071
9830.0,84,983.0,Pitt,17767
6591.0,27,659.0,Polk,1366
9477.0,206,948.0,Randolph,13615
9509.0,91,951.0,Richmond,4263
11780.0,214,1178.0,Robeson,15387
7606.0,61,761.0,Rockingham,6922
10650.0,291,1065.0,Rowan,15132
10160.0,200,1016.0,Rutherford,6810
11003.0,93,1100.0,Sampson,6990
10108.0,79,1011.0,Scotland,3520
11088.0,111,1109.0,Stanly,6964
8120.0,74,812.0,Stokes,3702
10394.0,140,1039.0,Surry,7461
8219.0,16,822.0,Swain,1173
5697.0,28,570.0,Transylvania,1959
7595.0,6,759.0,Tyrrell,305
8834.0,203,883.0,Union,21188
9992.0,82,999.0,Vance,4450
6857.0,559,686.0,Wake,76232
8261.0,18,826.0,Warren,1630
8636.0,31,864.0,Washington,1000
7220.0,30,722.0,Watauga,4056
8419.0,226,842.0,Wayne,10367
8924.0,104,892.0,Wilkes,6105
10543.0,151,1054.0,Wilson,8624
9818.0,46,982.0,Yadkin,3698
8124.0,26,812.0,Yancey,1468
