"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
7766.0,6,777.0,27006,1155
9985.0,5,999.0,27865,200
9064.0,8,906.0,28119,275
8855.0,43,885.0,27021,1592
10663.0,31,1066.0,28621,1109
8993.0,3,899.0,27846,276
5472.0,2,547.0,28768,432
8227.0,20,823.0,27962,612
4822.0,6,482.0,27539,1281
7869.0,5,787.0,27596,1468
5718.0,28,572.0,27712,1261
5852.0,19,585.0,28739,1287
5898.0,31,590.0,28786,1288
,0,,28561,0
8546.0,1,855.0,27009,251
5098.0,2,510.0,28772,99
10369.0,17,1037.0,28023,1539
8023.0,2,802.0,27875,41
11673.0,91,1167.0,28601,5819
8770.0,40,877.0,28262,3831
8180.0,32,818.0,27292,3392
6222.0,4,622.0,27242,166
10479.0,73,1048.0,28054,4211
5531.0,6,553.0,27850,410
0.0,0,0.0,28629,0
9044.0,10,904.0,28073,507
10280.0,3,1028.0,27840,55
8440.0,14,844.0,28574,1494
9519.0,51,952.0,28472,1904
4525.0,2,453.0,28785,376
8998.0,4,900.0,28318,412
,0,,27969,0
8663.0,3,866.0,28523,197
8173.0,41,817.0,27604,3894
7400.0,29,740.0,28173,4724
7200.0,3,720.0,27883,314
6514.0,32,651.0,27612,2554
7443.0,33,744.0,28501,1452
8708.0,40,871.0,28562,3310
5075.0,0,507.0,27941,34
12317.0,44,1232.0,28658,3185
7426.0,42,743.0,27262,1839
8646.0,2,865.0,27544,371
11227.0,0,1123.0,28347,205
4684.0,17,468.0,28801,786
9218.0,9,922.0,28572,588
5682.0,16,568.0,27403,1209
8054.0,1,805.0,28395,214
7687.0,25,769.0,27332,2579
4265.0,13,427.0,27513,2090
9554.0,21,955.0,27932,1208
6467.0,0,647.0,27343,119
9326.0,70,933.0,27886,2014
4486.0,0,449.0,27411,38
6872.0,6,687.0,28391,366
7200.0,3,720.0,28429,615
6763.0,11,676.0,28420,346
8747.0,11,875.0,28518,770
11081.0,22,1108.0,28630,2257
6493.0,41,649.0,28716,1211
9631.0,48,963.0,28146,2926
6581.0,5,658.0,28751,246
9089.0,9,909.0,28128,736
0.0,0,0.0,28672,0
7076.0,9,708.0,28722,485
7487.0,7,749.0,28439,115
4735.0,0,474.0,27842,68
7544.0,0,754.0,28649,78
8750.0,2,875.0,27042,63
