First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.12611680311214898,0.026003332385638456,Missing or Undisclosed,0.0717435944670499,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.025036325976121758
,0.009504504529664991,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0013830814070560787
0.12023346448124442,0.1626188551808654,Missing or Undisclosed,0.06116404336429702,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.14001453984418355
0.07550417962510371,0.00747189451653318,Missing or Undisclosed,0.04285174042863029,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.0071772754903415914
0.18012598363212737,0.7566341899638555,Missing or Undisclosed,0.11083698055221425,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.7879990508450221
,0.03776722342344255,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.038389726437274944
,0.020242315711980447,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.002086439279133811
0.056464521411929855,0.03235363280863806,Missing or Undisclosed,0.024403653626819257,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.023666479797841335
0.17925390715573689,0.9474040514793814,Missing or Undisclosed,0.10891083667802619,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9742470809230248
,0.001966141040457262,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0016856009219282215
,0.0003468674960579431,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0005284637775422748
0.19725343459878023,0.593621548012103,Female,0.11689885705164613,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.5954245814122556
