Facility_Type,Category,County,Outbreak Count
Nursing Home,Ongoing Outbreaks,Bertie,1
Correctional Facility,Ongoing Outbreaks,Bertie,1
K-12 School,,Bertie,1
Nursing Home,Ongoing Outbreaks,Iredell,4
K-12 School,,Iredell,2
K-12 School,,New Hanover,2
Residential Care Facility,Ongoing Outbreaks,New Hanover,1
Correctional Facility,Ongoing Outbreaks,New Hanover,2
Nursing Home,Ongoing Outbreaks,New Hanover,6
,,Clay,0
Residential Care Facility,Ongoing Outbreaks,Lenoir,2
K-12 School,,Lenoir,1
Nursing Home,Ongoing Outbreaks,Lenoir,3
Nursing Home,Ongoing Outbreaks,Onslow,1
Residential Care Facility,Ongoing Outbreaks,Onslow,3
Correctional Facility,Ongoing Outbreaks,Onslow,1
K-12 School,,Onslow,1
K-12 School,,Yadkin,3
Nursing Home,Ongoing Outbreaks,Yadkin,2
Nursing Home,Ongoing Outbreaks,Carteret,3
Residential Care Facility,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Carteret,1
Child Care,,Craven,1
Nursing Home,Ongoing Outbreaks,Craven,1
Residential Care Facility,Ongoing Outbreaks,Craven,1
Correctional Facility,Ongoing Outbreaks,Craven,2
Residential Care Facility,Ongoing Outbreaks,Brunswick,2
Nursing Home,Ongoing Outbreaks,Brunswick,1
K-12 School,,Brunswick,6
Child Care,,Brunswick,2
Residential Care Facility,Ongoing Outbreaks,Granville,1
Correctional Facility,Ongoing Outbreaks,Granville,2
Nursing Home,Ongoing Outbreaks,Granville,1
Residential Care Facility,Ongoing Outbreaks,Northampton,3
Nursing Home,Ongoing Outbreaks,Northampton,2
Correctional Facility,Ongoing Outbreaks,Sampson,1
Residential Care Facility,Ongoing Outbreaks,Sampson,1
Other,Ongoing Outbreaks,Sampson,1
Residential Care Facility,Ongoing Outbreaks,Moore,2
Correctional Facility,Ongoing Outbreaks,Moore,1
Nursing Home,Ongoing Outbreaks,Moore,2
Nursing Home,Ongoing Outbreaks,Dare,1
Correctional Facility,Ongoing Outbreaks,Dare,1
Child Care,,Mecklenburg,4
Other,Ongoing Outbreaks,Mecklenburg,1
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,7
Correctional Facility,Ongoing Outbreaks,Mecklenburg,1
Nursing Home,Ongoing Outbreaks,Mecklenburg,11
Correctional Facility,Ongoing Outbreaks,Randolph,1
Nursing Home,Ongoing Outbreaks,Randolph,3
Residential Care Facility,Ongoing Outbreaks,Randolph,3
Residential Care Facility,Ongoing Outbreaks,Buncombe,4
Child Care,,Buncombe,1
K-12 School,,Buncombe,1
Correctional Facility,Ongoing Outbreaks,Buncombe,2
Nursing Home,Ongoing Outbreaks,Buncombe,9
Nursing Home,Ongoing Outbreaks,Currituck,1
,,Vance,0
K-12 School,,Cumberland,2
Residential Care Facility,Ongoing Outbreaks,Cumberland,4
Nursing Home,Ongoing Outbreaks,Cumberland,5
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Residential Care Facility,Ongoing Outbreaks,Halifax,1
Correctional Facility,Ongoing Outbreaks,Halifax,2
Nursing Home,Ongoing Outbreaks,Halifax,1
Residential Care Facility,Ongoing Outbreaks,Pitt,6
Nursing Home,Ongoing Outbreaks,Pitt,4
K-12 School,,Pitt,2
K-12 School,,Union,1
Residential Care Facility,Ongoing Outbreaks,Union,3
Nursing Home,Ongoing Outbreaks,Union,5
,,Jones,0
Nursing Home,Ongoing Outbreaks,Yancey,1
Residential Care Facility,Ongoing Outbreaks,Yancey,2
K-12 School,,Yancey,1
Other,Ongoing Outbreaks,Richmond,1
Nursing Home,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Nursing Home,Ongoing Outbreaks,Warren,1
Correctional Facility,Ongoing Outbreaks,Warren,1
Correctional Facility,Ongoing Outbreaks,Scotland,1
Nursing Home,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Hyde,1
Nursing Home,Ongoing Outbreaks,Nash,3
Correctional Facility,Ongoing Outbreaks,Nash,2
Nursing Home,Ongoing Outbreaks,Wayne,3
Residential Care Facility,Ongoing Outbreaks,Wayne,1
Correctional Facility,Ongoing Outbreaks,Wayne,2
K-12 School,,Madison,1
Nursing Home,Ongoing Outbreaks,Madison,1
Residential Care Facility,Ongoing Outbreaks,Tyrrell,1
Correctional Facility,Ongoing Outbreaks,Forsyth,1
Nursing Home,Ongoing Outbreaks,Forsyth,9
Residential Care Facility,Ongoing Outbreaks,Forsyth,6
Child Care,,Forsyth,4
Nursing Home,Ongoing Outbreaks,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Rockingham,2
Nursing Home,Ongoing Outbreaks,Rockingham,3
Correctional Facility,Ongoing Outbreaks,Wake,5
Child Care,,Wake,13
Nursing Home,Ongoing Outbreaks,Wake,13
Residential Care Facility,Ongoing Outbreaks,Wake,19
K-12 School,,Wake,10
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Nursing Home,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Caldwell,1
Nursing Home,Ongoing Outbreaks,Caldwell,3
K-12 School,,Caldwell,1
Nursing Home,Ongoing Outbreaks,Davie,2
Nursing Home,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Montgomery,2
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Robeson,2
Nursing Home,Ongoing Outbreaks,Robeson,4
Correctional Facility,Ongoing Outbreaks,Robeson,3
K-12 School,,Robeson,3
Residential Care Facility,Ongoing Outbreaks,Washington,1
Nursing Home,Ongoing Outbreaks,Washington,1
Correctional Facility,Ongoing Outbreaks,Washington,1
K-12 School,,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,3
Nursing Home,Ongoing Outbreaks,Greene,1
Nursing Home,Ongoing Outbreaks,Perquimans,1
